Código ;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON;3.593.627.402;7,822
BBAS3;BRASIL;ON NM;828.582.888;2,246
BBDC3;BRADESCO;ON EJ N1;445.673.151;1,564
BBDC4;BRADESCO;PN EJ N1;2.432.420.397;8,432
BBSE3;BBSEGURIDADE;ON NM;675.000.000;2,679
BRAP4;BRADESPAR;PN N1;222.476.686;0,261
BRFS3;BRF SA;ON NM;471.340.184;3,343
BRKM5;BRASKEM;PNA ED N1;264.665.622;0,349
BRML3;BR MALLS PAR;ON NM;459.540.434;0,918
BRPR3;BR PROPERT;ON NM;294.698.306;0,402
BVMF3;BMFBOVESPA;ON NM;1.815.000.000;2,467
CCRO3;CCR SA;ON NM;861.282.756;1,587
CESP6;CESP;PNB N1;181.791.331;0,506
CIEL3;CIELO;ON EB NM;798.082.087;3,661
CMIG4;CEMIG;PN N1;758.933.452;1,224
CPFE3;CPFL ENERGIA;ON NM;293.274.238;0,672
CPLE6;COPEL;PNB N1;100.948.359;0,411
CRUZ3;SOUZA CRUZ;ON;378.068.610;1,099
CSAN3;COSAN;ON NM;132.898.602;0,44
CSNA3;SID NACIONAL;ON;702.056.615;0,445
CTIP3;CETIP;ON NM;255.556.642;0,983
CYRE3;CYRELA REALT;ON NM;250.463.857;0,376
DTEX3;DURATEX;ON NM;261.597.936;0,249
ECOR3;ECORODOVIAS;ON NM;198.444.859;0,203
ELET3;ELETROBRAS;ON N1;223.455.547;0,153
ELET6;ELETROBRAS;PNB N1;219.731.566;0,19
EMBR3;EMBRAER;ON NM;603.342.711;1,636
ENBR3;ENERGIAS BR;ON ED NM;232.602.924;0,281
ESTC3;ESTACIO PART;ON NM;288.655.435;0,631
EVEN3;EVEN;ON NM;210.307.738;0,107
FIBR3;FIBRIA;ON NM;222.308.001;1,13
GFSA3;GAFISA;ON NM;378.066.162;0,107
GGBR4;GERDAU;PN N1;876.090.759;0,946
GOAU4;GERDAU MET;PN N1;268.577.413;0,312
GOLL4;GOL;PN N2;105.735.457;0,093
HGTX3;CIA HERING;ON NM;127.537.447;0,244
HYPE3;HYPERMARCAS;ON NM;372.121.056;0,886
ITSA4;ITAUSA;PN N1;3.138.320.248;3,69
ITUB4;ITAUUNIBANCO;PN N1;2.680.430.933;11,006
JBSS3;JBS;ON NM;1.653.729.368;2,958
KLBN11;KLABIN S/A;UNT N2;382.961.180;0,779
KROT3;KROTON;ON NM;1.352.161.425;1,726
LAME4;LOJAS AMERIC;PN;428.103.759;0,827
LIGT3;LIGHT S/A;ON ED NM;97.629.475;0,164
LREN3;LOJAS RENNER;ON NM;126.711.043;1,324
MRFG3;MARFRIG;ON NM;346.968.736;0,169
MRVE3;MRV;ON NM;274.943.975;0,264
MULT3;MULTIPLAN;ON N2;75.442.416;0,484
NATU3;NATURA;ON NM;168.827.352;0,522
OIBR4;OI;PN N1;322.209.631;0,234
PCAR4;P.ACUCAR-CBD;PN N1;155.424.159;1,772
PDGR3;PDG REALT;ON NM;1.300.363.699;0,083
PETR3;PETROBRAS;ON;2.708.485.740;3,761
PETR4;PETROBRAS;PN;4.037.414.651;5,538
POMO4;MARCOPOLO;PN N2;538.014.578;0,147
QUAL3;QUALICORP;ON NM;217.849.295;0,555
RENT3;LOCALIZA;ON NM;149.142.340;0,634
RUMO3;RUMO LOG;ON NM;1.252.734.615;0,238
SANB11;SANTANDER BR;UNT;400.076.102;0,675
SBSP3;SABESP;ON EJ NM;339.985.611;0,67
SUZB5;SUZANO PAPEL;PNA N1;461.173.399;0,762
TBLE3;TRACTEBEL;ON NM;203.919.927;0,814
TIMP3;TIM PART S/A;ON NM;807.753.067;0,945
UGPA3;ULTRAPAR;ON NM;379.944.030;2,82
USIM5;USIMINAS;PNA N1;481.427.177;0,26
VALE3;VALE;ON N1;1.262.807.257;2,575
VALE5;VALE;PNA N1;1.878.758.554;3,175
VIVT4;TELEF BRASIL;PN ED;261.308.985;1,374
;;;;
;;;;
