"datas","BVSP","ABEV3.SA","BBAS3.SA","BBDC3.SA","BRFS3.SA","BRML3.SA","CCRO3.SA","CPFE3.SA","CRUZ3.SA","CSAN3.SA","CSNA3.SA","CYRE3.SA","DTEX3.SA","ELET3.SA","ELPL4.SA","EMBR3.SA","ENBR3.SA","EVEN3.SA","GFSA3.SA","HGTX3.SA","ITSA4.SA","JBSS3.SA","LIGT3.SA","LREN3.SA","MRFG3.SA","MRVE3.SA","NATU3.SA","PDGR3.SA","PETR3.SA","POMO4.SA","RENT3.SA","RSID3.SA","SBSP3.SA","SUZB5.SA","TBLE3.SA","VALE3.SA"
2014-12-30,50007,16.04655,23.30837,28.37455,62.90585,16.201,15.35749,17.9176,18.845,28.5488,5.16809,11.023,8.03,5.8,8.66,24.37704,8.86,5.15,2.2,19.9,8.27356,11.2,16.14,75.5566,6.1,7.14747,30.696,0.78054,9.59,3.3026,35.30646,3.39,16.67602,11.1441,33.59,21.20682
2014-12-29,50594,16.06618,23.82808,28.77963,63.29257,16.309,15.78602,18.3731,19.157,28.40036,5.41815,10.983,8.1,5.92,9.02,24.68624,8.85971,5.02,2.15,19.66,8.37929,11.42,16.28,75.1811,6.15,7.26183,31.322,0.78054,9.87,3.3323,36.1864,4.11,17.37208,11.17382,33.74,21.4004
2014-12-26,50145,15.91897,24.07322,28.5564,62.3704,16.368,15.6465,17.8982,18.835,28.05402,5.59413,11.063,8.17,5.86,9.04,24.47678,8.68731,5.03,2.16,19.6,8.35286,10.94,16.38,74.6377,6.05,7.24277,30.262,0.78961,9.85,3.2927,35.23725,3.57,17.06816,11.05495,34.15,20.9842
2014-12-23,50890,16.06618,24.00458,28.99462,63.30249,16.368,15.6764,17.8401,19.42,28.04412,5.91829,11.073,8.24,5.61,8.88,25.19493,8.76393,5.01,2.16,19.81,8.48503,11.19,16.46,74.5982,5.99,7.3476,30.648,0.77146,10.5,3.2827,35.40533,3.29,16.97993,11.06485,33.9,21.50687
2014-12-22,50121,16.04655,24.09283,28.54122,63.05459,16.023,15.45715,17.6366,19.005,27.46028,5.44594,11.103,8.2,5.63,8.64,24.49673,8.61068,5,2.02,20.29,8.47622,11.16,16.48,75.4973,5.84,7.19512,30.359,0.77146,9.91,3.3387,35.90956,2.58,16.86229,10.85683,33.83,20.68415
2014-12-19,49651,15.65398,23.87711,28.07137,63.85777,15.56,15.44718,17.53,18.713,27.55924,5.27923,10.744,8.17,5.56,8.64,24.10774,8.62026,4.88,2,20.18,8.4152,12.22,16.28,74.5982,5.71,7.05217,30.195,0.70793,9.44,3.4273,35.48442,2.39,17.02895,10.89645,33.16,20.87773
2014-12-18,48496,15.52639,22.8475,27.55291,60.98219,15.53,14.96882,17.0455,18.323,27.31185,4.89949,10.804,7.98,5.5,8.3,23.93818,8.52448,4.74,1.99,20.15,8.24847,11.97,16.36,73.1161,5.75,6.91875,29.8,0.72608,9.02,3.3781,33.31917,2.18,16.72503,10.8073,32.76,19.3194
2014-12-17,48714,15.52639,22.72983,27.82833,61.47798,15.284,15.25783,17.4428,18.274,27.59882,5.11251,10.824,7.95,5.6,8.56,23.78856,8.63942,4.98,1.97,19.93,8.30112,12.05,16.89,73.7126,5.58,7.02358,29.588,0.74423,9.04,3.4273,32.52821,2.19,16.22505,10.94598,33.03,19.07743
2014-12-16,47008,15.16326,21.07265,26.32954,58.55282,14.643,14.29113,16.6482,17.904,26.32229,4.57533,10.525,7.6,5.15,7.83,23.55915,8.4287,4.88,1.98,19.57,7.8536,11.51,16.28,70.5077,5.21,6.85204,29.067,0.74423,8.7,3.4273,31.68782,2.09,15.66624,10.81721,31.48,18.72898
2014-12-15,47019,15.14363,21.68061,26.34577,57.01587,14.416,14.7396,17.2102,18.031,25.59001,4.30674,10.754,7.59,5.39,8.21,22.89088,8.76393,4.91,2.07,20.04,7.86237,11.8,16.77,70.5767,5.3,6.84251,29.395,0.73516,8.52,3.5061,31.63838,2.06,16.6368,10.54975,32.22,18.09016
2014-12-12,48002,15.21233,22.77886,26.86423,58.15619,14.889,14.68977,17.656,17.738,26.9655,4.20486,10.814,7.55,5.38,8.57,23.12901,8.76393,4.93,2.09,20.01,8.0291,11.72,17.38,72.0855,5.49,7.01405,29.645,0.78054,9.46,3.5553,32.55787,2.4,16.96032,10.6389,32.74,18.3031
2014-12-11,49861,15.69323,24.13211,28.4197,59.88153,15.629,15.12827,18.3634,18.031,28.06391,4.48271,11.232,7.52,5.3,8.72,23.96249,9.09916,5.12,2.18,20.6,8.47662,11.97,17.5,73.3675,5.75,7.3476,30.744,0.81684,10.04,3.6538,33.04233,2.07,17.4407,10.88655,33.14,18.74834
2014-12-10,49548,15.50676,23.14555,27.87694,60.12943,15.757,15.39735,18.218,17.729,27.90558,4.51976,11.402,7.55,5.3,8.62,23.39692,9.05127,5.14,2.24,21,8.37132,11.39,18.02,74.3536,5.55,7.51913,30.744,0.79869,10.11,3.5652,33.49714,2.34,17.38188,10.76768,32.22,19.29037
2014-12-09,50193,15.38899,24.33522,28.19289,60.83345,15.875,15.2379,17.9467,17.417,28.59827,4.67721,11.551,7.51,5.51,8.56,23.26793,9.25241,5.29,2.33,20.5,8.52927,11.25,18.09,73.1505,5.49,7.7002,30.84,0.82592,10.55,3.6834,34.16945,2.53,17.56815,10.7974,32.5,20.03566
2014-12-08,50274,15.45769,24.96391,28.15235,61.47798,16.073,15.59667,17.7626,17.475,29.4394,4.85318,11.661,7.53,5.67,8.72,22.58329,9.26199,5.4,2.36,20.26,8.4503,10.95,17.87,72.4799,5.36,7.76691,31.226,0.88037,10.72,3.6341,33.36861,2.76,17.35247,10.9757,32.53,20.50025
2014-12-05,51992,15.70305,26.33737,29.08408,62.3704,16.467,15.99531,18.4603,18.07,30.7753,5.12178,11.711,7.84,5.66,9.09,23.01987,9.46313,5.52,2.56,21.23,8.78375,11.39,18.5,74.6889,5.61,7.8908,32.286,0.93483,11.45,3.8016,34.59459,3.03,17.91128,10.92617,33.85,21.17778
2014-12-04,51427,15.41843,25.76671,28.84911,62.86619,16.319,15.92555,18.1696,18.499,30.67635,5.03842,11.621,7.85,5.88,8.78,22.8115,9.26199,5.44,2.58,21.03,8.59947,11.52,18.38,73.9591,5.64,7.82409,32.045,0.93483,11.43,3.8311,33.62567,3.33,17.89167,10.75777,32.99,20.97452
2014-12-03,52320,15.4675,26.11491,29.52962,64.45272,16.808,15.99531,18.4894,18.616,31.27008,5.2607,11.661,7.93,5.9,9.15,22.71228,9.3003,5.38,2.67,21.69,8.79252,11.77,18.49,75.6158,6.03,7.90986,31.997,0.9439,12,3.8902,33.93216,3.58,18.37205,10.69834,33.75,21.24554
2014-12-02,51612,15.3301,26.07622,29.21367,63.42147,16.358,16.23449,18.3828,18.352,31.468,5.20513,11.661,7.91,5.82,9.06,22.55352,9.26199,5.17,2.59,21.88,8.71355,10.84,18.81,73.6436,5.49,7.7955,32.103,0.93483,11.46,3.9394,33.48725,3.52,17.93089,10.60918,33.6,20.78094
2014-12-01,52277,15.70305,26.62753,29.34929,64.62128,16.778,16.38398,18.0145,19.2,30.57739,5.3348,11.83,7.98,5.63,9.04,22.37492,9.05127,5.31,2.62,22.32,8.72232,11.19,18.3,71.5924,6.01,7.7955,32.093,0.93483,11.57,3.9493,33.26974,3.73,17.66619,10.34173,33.26,21.41976
2014-11-28,54664,16.44894,28.7264,30.96859,65.65253,18.029,17.54003,18.877,19.97,31.468,5.60339,12.508,8.36,6.01,9.37,23.45645,9.65469,5.49,2.75,23.92,9.19921,11.91,19.63,75.389,6.52,8.10046,33.992,1.00744,12.18,4.0675,34.31776,3.84,18.91125,10.72805,34.16,22.54253
2014-11-27,54721,16.25266,28.18475,30.70948,65.30548,18.371,17.93866,18.9642,20.311,32.33881,5.55708,12.159,8.56,6.04,9.09,23.01987,9.6068,5.52,2.66,23.88,9.14665,11.9,19.8,75.4285,6.4,8.19576,33.452,1.01651,12.75,4.0379,34.70335,3.98,19.02889,10.50022,33.93,22.24248
2014-11-26,55098,16.33117,27.89459,31.19526,65.4443,18.176,17.60979,18.7994,20.37,33.34816,5.69601,12.269,8.51,6.05,9.09,22.89088,9.3482,5.47,2.75,24.33,9.21673,11.85,19.44,74.6396,6.47,8.33871,33.606,1.05282,13.27,4.1069,35.09883,4.01,19.13673,10.32191,33.8,22.30056
2014-11-25,55561,16.51764,28.25246,32.03731,65.85085,17.902,16.84241,18.7026,20.321,32.01225,6.18688,12.339,8.57,6.11,8.78,22.92065,9.51102,5.47,2.72,24.34,9.3569,11.97,19.63,72.7758,6.37,8.41495,33.25,1.03466,13.28,4.1463,34.32764,4.03,19.01909,10.61909,33.04,23.19103
2014-11-24,55407,16.5569,27.84623,31.15484,66.63419,17.931,17.47027,19.2355,20.467,32.55651,6.26098,12.369,8.52,6.08,9.09,23.06948,9.64511,5.58,2.69,24.15,9.18169,12.01,20.39,73.5647,6.25,8.21482,33.539,1.07097,13.43,4.1364,35.02962,4.18,19.55829,10.64881,33.91,22.93937
2014-11-21,56084,16.81208,28.85213,31.59205,67.27872,18.508,17.81907,19.4875,20.692,32.25964,6.18688,12.359,8.45,6.09,8.55,23.48622,9.63554,5.62,2.65,24.11,9.36567,11.98,20.49,75.1622,6.42,8.10999,34.696,1.05282,13.63,4.2349,35.43499,4.54,20.09749,10.42097,33.79,22.8329
2014-11-19,53402,16.23303,26.63721,29.65698,67.05067,17.589,17.14139,18.2568,19.961,30.48833,5.90903,11.88,8.3,5.69,7.72,24.32962,9.09916,5.34,2.4,23.92,8.84876,11.58,20,71.7897,5.89,7.57631,33.404,0.96206,12.26,4.1069,33.70477,3.9,19.70535,10.91627,33.41,21.4488
2014-11-18,52062,15.87971,25.14769,28.57204,64.83944,16.827,16.19463,17.4234,19.347,29.61752,6.14984,11.651,8.2,5.26,7.5,24.5876,8.78309,5.2,2.24,23.6,8.51584,11.29,19.19,71.0008,5.55,7.33807,32.758,0.93483,11.94,3.969,33.17086,3.85,19.47986,11.02523,32.26,21.32297
2014-11-17,51257,15.57546,24.25785,27.28472,64.17508,16.026,15.93551,17.249,18.674,29.70658,6.39064,11.362,8.3,5.21,7.37,23.81366,8.66815,5.02,2.23,23.41,8.27929,11.03,18.95,70.2316,5.62,7.19512,31.708,0.91668,12.13,3.9296,32.65674,3.95,18.79361,10.87664,31.84,22.19409
