"data","BBAS3.SA_bovespa","BBDC3.SA_bovespa","BBDC4.SA_bovespa","BRAP4.SA_bovespa","BRKM5.SA_bovespa","BRML3.SA_bovespa","CCRO3.SA_bovespa","CESP6.SA_bovespa","CMIG4.SA_bovespa","CPFE3.SA_bovespa","CPLE6.SA_bovespa","CRUZ3.SA_bovespa","CSAN3.SA_bovespa","CSNA3.SA_bovespa","CYRE3.SA_bovespa","ELET3.SA_bovespa","ELET6.SA_bovespa","EMBR3.SA_bovespa","ENBR3.SA_bovespa","EVEN3.SA_bovespa","GFSA3.SA_bovespa","GGBR4.SA_bovespa","GOAU4.SA_bovespa","GOLL4.SA_bovespa","HGTX3.SA_bovespa","ITSA4.SA_bovespa","JBSS3.SA_bovespa","LAME4.SA_bovespa","LIGT3.SA_bovespa","LREN3.SA_bovespa","MRFG3.SA_bovespa","MRVE3.SA_bovespa","NATU3.SA_bovespa","PDGR3.SA_bovespa","PETR3.SA_bovespa","PETR4.SA_bovespa","POMO4.SA_bovespa","RENT3.SA_bovespa","RSID3.SA_bovespa","SBSP3.SA_bovespa","SUZB5.SA_bovespa","TBLE3.SA_bovespa","USIM5.SA_bovespa","VALE3.SA_bovespa","VALE5.SA_bovespa","BVSP_yahoo","ABEV3.SA_yahoo","ALLL3.SA_yahoo","BBAS3.SA_yahoo","BBDC3.SA_yahoo","BRFS3.SA_yahoo","BRML3.SA_yahoo","CCRO3.SA_yahoo","CPFE3.SA_yahoo","CRUZ3.SA_yahoo","CSAN3.SA_yahoo","CSNA3.SA_yahoo","CYRE3.SA_yahoo","DTEX3.SA_yahoo","ELET3.SA_yahoo","ELPL4.SA_yahoo","EMBR3.SA_yahoo","ENBR3.SA_yahoo","EVEN3.SA_yahoo","GFSA3.SA_yahoo","HGTX3.SA_yahoo","ITSA4.SA_yahoo","JBSS3.SA_yahoo","LIGT3.SA_yahoo","LREN3.SA_yahoo","MRFG3.SA_yahoo","MRVE3.SA_yahoo","NATU3.SA_yahoo","PDGR3.SA_yahoo","PETR3.SA_yahoo","POMO4.SA_yahoo","RENT3.SA_yahoo","RSID3.SA_yahoo","SBSP3.SA_yahoo","SUZB5.SA_yahoo","TBLE3.SA_yahoo","VALE3.SA_yahoo"
"2008-01-02",29.8,48.1,53,46.5,14.1,23.24,28.09,45.77,32.6,33.3,26.6,46,20.9,155.02,23.71,23.3,23.05,20.1,28,16.75,32.27,50.25,68.5,42.4,10,11.3,5.95,15.11,27.8,35.46,15.24,38.5,17.75,24,104.31,87,7.15,17.81,43,41.6,28.3,20.5,79.8,57.9,49.3,62815,0.51,3.39,22.02,17.69,20.42,10.45,3.19,8.88,1.81,16.65,15.47,21.07,7.57,16.66,17.1,18.37,4.42,13.32,13.53,8.21,6.77,5.79,15.35,30.41,15.19,10.67,12.73,9.35,47.84,2.82,15.98,103.8,8.02,23.07,15.85,44.65
"2008-01-03",29.35,47.5,51.91,46.1,13.99,22.49,27.4,49.1,32.9,33.53,27.21,45.05,21.25,158.3,23.49,23.1,22.8,20.5,27.62,17.39,32.2,51.9,70.1,40.2,10.06,11.15,5.85,16.05,26.81,35,15.25,38.4,17.73,25.89,102.8,85.6,7.15,18.54,43.51,42.74,28.15,20.25,80.9,58.2,50,62892,0.51,6.96,21.69,17.48,20.52,10.11,3.11,8.94,1.77,16.93,15.8,20.87,7.51,16.51,17.58,18.73,4.36,13.83,13.5,8.26,6.68,5.7,14.8,30.01,15.2,10.64,12.71,10.08,47.15,2.82,16.64,105.03,8.24,22.94,15.65,44.88
"2008-01-04",29.01,48.5,51.3,44.2,13.42,21.5,26.21,47.35,32.2,32.4,26,43.15,21.2,153.21,23,22.86,22.65,20.4,27.1,16.8,30.33,50,68.32,38.17,9.79,11.1,5.8,15.31,25.9,34.5,15.25,37.3,16.86,25,96.7,81.4,7.2,17.7,42.9,41.94,27,20.25,78.5,56.1,48.21,61037,0.5,7.33,21.44,17.85,19.79,9.66,2.98,8.64,1.7,16.89,15.29,20.43,6.75,16.34,16.95,18.64,4.27,13.36,12.72,8.04,6.65,5.65,14.3,29.58,15.2,10.34,12.09,9.74,44.35,2.84,15.89,103.56,8.08,22.01,15.65,43.26
"2008-01-07",29.7,48.98,52.25,43.79,13.6,20.21,26.8,45.9,32.39,32.36,26,45.5,22.5,148.2,23,23.15,23.05,20.3,28,16,31.15,48.22,66.5,39.2,9.85,11.1,5.78,14.49,25.36,32.48,15.15,36,17.1,25.3,93.38,79.01,6.91,17,43.7,41.5,26.8,21.6,74.7,55.1,47.51,60772,0.49,7.26,21.95,18.02,20.42,9.08,3.04,8.63,1.79,17.92,14.79,20.43,6.94,16.55,17.51,18.55,4.42,12.73,13.06,8.09,6.65,5.63,14,27.85,15.1,9.98,12.26,9.85,42.83,2.73,15.26,105.49,8,21.84,16.7,42.49
"2008-01-08",30.31,50.09,53.05,43.85,13.63,20.4,27.74,47.09,33.42,32.42,26.4,46.3,23.6,151,24.35,23.17,23.1,20.35,27.4,14.95,30.49,49.55,66,38.21,9.9,11.2,5.64,14.1,26.08,31.2,15.2,36.29,17.2,25,99,83.35,7.15,16.5,43.9,41.6,26.6,21.2,77.35,56.2,48.4,62081,0.5,6.96,22.4,18.43,20.47,9.17,3.15,8.64,1.82,18.8,15.07,21.63,7,16.56,17.36,18.6,4.32,11.89,12.78,8.13,6.71,5.49,14.4,26.75,15.15,10.06,12.33,9.74,45.41,2.82,14.81,105.97,8.02,21.68,16.39,43.34
"2008-01-09",30.85,48.8,52.59,44,14.44,19.98,28.05,48.02,34.5,33.4,26.2,49.19,25,149,24.2,23.8,23.98,20.85,27.99,14.5,31.28,50.06,65.5,37.4,10.2,11.1,6.1,14.25,27.02,31,15.1,35.9,16.95,23.9,100.68,84.92,7.1,16,41.05,43,26,21,79.73,55.6,48.5,62674,0.49,6.97,22.8,17.96,20.95,8.98,3.19,8.9,1.93,19.91,14.87,21.5,7.1,17.01,17.33,19.05,4.41,11.53,13.11,8.38,6.65,5.94,14.92,26.58,15.05,9.95,12.15,9.31,46.18,2.8,14.36,99.09,8.29,21.19,16.23,42.88
"2008-01-10",31.74,48.7,53.3,44.12,14.62,20.7,27.8,47.7,34.3,34.8,26.95,48.75,24.75,154.5,24.3,23.3,23.14,21,28.2,14,31.6,51.6,68.51,37.5,10.5,11.29,6.95,14.81,27.18,32.93,15.26,34.8,16.8,25.25,98.6,84.1,7.24,15.96,41,42.15,26.05,21.65,78,56.81,50,63515,0.51,6.96,23.45,17.92,21.85,9.3,3.16,9.28,1.92,19.71,15.42,21.59,7.1,16.66,17.57,19.19,4.45,11.13,13.25,8.62,6.76,6.77,15.01,28.24,15.21,9.64,12.05,9.83,45.22,2.86,14.32,98.97,8.12,21.23,16.74,43.81
"2008-01-11",30.12,48,52.44,43.3,14.19,20.29,27.69,45.15,33.27,33.45,26.3,48.54,24,150.5,23.93,22.83,22.8,20.3,27.6,13.3,30.1,51.06,68.35,36.85,10.7,10.95,6.55,14.06,27.49,32,15.15,34.5,16.55,23.8,97,81.56,7.6,16.16,42.29,42.61,26.4,21.3,76.07,56.1,48.42,61942,0.51,6.96,22.26,17.66,21.62,9.12,3.14,8.92,1.91,19.12,15.02,21.26,6.78,16.32,17.33,18.55,4.35,10.58,12.62,8.79,6.56,6.38,15.18,27.44,15.1,9.56,11.87,9.27,44.49,3,14.5,102.08,8.21,21.52,16.47,43.26
"2008-01-14",30,48.69,52.97,43.5,14.1,19.82,27.7,46.47,33.09,33.05,26.45,49.16,24.55,153.79,23.23,22.93,22.75,20,27.55,12.9,28.99,51.95,68.2,36.3,10.15,11.03,6.38,14.65,27.22,31.25,15,32.49,16.79,22.75,96.5,81.09,7.4,16.55,42.9,42.45,26.59,22.45,80.4,56,48.88,62188,0.5,7.36,22.17,17.91,21.43,8.91,3.15,8.81,1.93,19.55,15.35,20.64,6.78,16.39,17.84,18.28,4.35,10.26,12.15,8.34,6.61,6.21,15.03,26.8,14.95,9,12.04,8.86,44.26,2.92,14.85,103.56,8.18,21.67,17.36,43.18
"2008-01-15",29.31,47.8,50.7,42.3,13.69,18.99,27,44.9,31.84,32.8,25.65,47.15,23.75,150,21.8,22.45,22.35,19.59,26.49,11.98,27.65,50.1,66.75,35.3,10,10.6,5.96,14,25.76,29.8,14.99,30.3,16.02,21.73,91.8,77.52,6.98,16,40,41.5,26.3,21.85,79.01,53.9,47.3,59907,0.49,6.92,21.66,17.59,20.22,8.54,3.07,8.74,1.85,18.92,14.97,19.37,6.69,16.05,16.9,17.9,4.18,9.53,11.59,8.21,6.35,5.8,14.22,25.55,14.94,8.4,11.49,8.46,42.1,2.76,14.36,96.56,8,21.44,16.89,41.56
"2008-01-16",29.3,46.51,49.8,40.45,14.11,18.2,25.95,44,32.15,33,26.19,46.16,23.25,141.71,22.4,23,22.88,19.3,26,11.7,27.9,47.9,64.95,35.84,9.7,10.48,5.8,13.95,25.3,29.4,14.31,30.95,16.61,21.5,87.8,74.6,6.98,15.9,36.11,40.41,26.01,21.55,79.45,51.41,45.35,58777,0.48,6.92,21.65,17.11,19.29,8.18,2.95,8.8,1.82,18.52,14.14,19.9,6.49,16.44,16.37,17.64,4.1,9.31,11.7,7.97,6.28,5.65,13.97,25.21,14.26,8.58,11.91,8.37,40.27,2.76,14.27,87.17,7.79,21.2,16.66,39.64
"2008-01-17",28.99,44.85,47.72,39.5,13.36,17.11,25,44,31.29,31.8,25,47.7,23.59,139.01,22.34,22.4,22.47,19.2,26,11.11,26.95,45.55,61,34.1,9.8,10.27,5.62,13.67,23.96,27.75,13.9,29.1,16.08,20.4,83.11,70.85,6.82,16.1,34.5,38.06,25.6,20.85,75.6,51.05,45.7,57037,0.47,6.88,21.42,16.5,18.45,7.69,2.84,8.48,1.88,18.79,13.87,19.85,6.21,16.01,15.92,17.55,4.1,8.84,11.3,8.05,6.15,5.47,13.23,23.8,13.85,8.06,11.53,7.94,38.12,2.69,14.45,83.28,7.33,20.86,16.12,39.37
