"data","BBAS3.SA_bovespa","BBDC3.SA_bovespa","BRML3.SA_bovespa","CCRO3.SA_bovespa","CPFE3.SA_bovespa","CRUZ3.SA_bovespa","CSAN3.SA_bovespa","CSNA3.SA_bovespa","CYRE3.SA_bovespa","ELET3.SA_bovespa","EMBR3.SA_bovespa","ENBR3.SA_bovespa","EVEN3.SA_bovespa","GFSA3.SA_bovespa","HGTX3.SA_bovespa","ITSA4.SA_bovespa","JBSS3.SA_bovespa","LIGT3.SA_bovespa","LREN3.SA_bovespa","MRFG3.SA_bovespa","MRVE3.SA_bovespa","NATU3.SA_bovespa","PDGR3.SA_bovespa","PETR3.SA_bovespa","POMO4.SA_bovespa","RENT3.SA_bovespa","RSID3.SA_bovespa","SBSP3.SA_bovespa","SUZB5.SA_bovespa","TBLE3.SA_bovespa","VALE3.SA_bovespa","BBAS3.SA_yahoo","BBDC3.SA_yahoo","BRML3.SA_yahoo","CCRO3.SA_yahoo","CPFE3.SA_yahoo","CRUZ3.SA_yahoo","CSAN3.SA_yahoo","CSNA3.SA_yahoo","CYRE3.SA_yahoo","ELET3.SA_yahoo","EMBR3.SA_yahoo","ENBR3.SA_yahoo","EVEN3.SA_yahoo","GFSA3.SA_yahoo","HGTX3.SA_yahoo","ITSA4.SA_yahoo","JBSS3.SA_yahoo","LIGT3.SA_yahoo","LREN3.SA_yahoo","MRFG3.SA_yahoo","MRVE3.SA_yahoo","NATU3.SA_yahoo","PDGR3.SA_yahoo","PETR3.SA_yahoo","POMO4.SA_yahoo","RENT3.SA_yahoo","RSID3.SA_yahoo","SBSP3.SA_yahoo","SUZB5.SA_yahoo","TBLE3.SA_yahoo","VALE3.SA_yahoo"
"2008-01-02",29.8,48.1,23.24,28.09,33.3,46,20.9,155.02,23.71,23.3,20.1,28,16.75,32.27,10,11.3,5.95,27.8,35.46,15.24,38.5,17.75,24,104.31,7.15,17.81,43,41.6,28.3,20.5,57.9,22.02,17.69,10.45,3.19,8.88,1.81,16.65,15.47,21.07,16.66,18.37,4.42,13.32,13.53,8.21,6.77,5.79,15.35,30.41,15.19,10.67,12.73,9.35,47.84,2.82,15.98,103.8,8.02,23.07,15.85,44.65
"2008-01-03",29.35,47.5,22.49,27.4,33.53,45.05,21.25,158.3,23.49,23.1,20.5,27.62,17.39,32.2,10.06,11.15,5.85,26.81,35,15.25,38.4,17.73,25.89,102.8,7.15,18.54,43.51,42.74,28.15,20.25,58.2,21.69,17.48,10.11,3.11,8.94,1.77,16.93,15.8,20.87,16.51,18.73,4.36,13.83,13.5,8.26,6.68,5.7,14.8,30.01,15.2,10.64,12.71,10.08,47.15,2.82,16.64,105.03,8.24,22.94,15.65,44.88
"2008-01-04",29.01,48.5,21.5,26.21,32.4,43.15,21.2,153.21,23,22.86,20.4,27.1,16.8,30.33,9.79,11.1,5.8,25.9,34.5,15.25,37.3,16.86,25,96.7,7.2,17.7,42.9,41.94,27,20.25,56.1,21.44,17.85,9.66,2.98,8.64,1.7,16.89,15.29,20.43,16.34,18.64,4.27,13.36,12.72,8.04,6.65,5.65,14.3,29.58,15.2,10.34,12.09,9.74,44.35,2.84,15.89,103.56,8.08,22.01,15.65,43.26
"2008-01-07",29.7,48.98,20.21,26.8,32.36,45.5,22.5,148.2,23,23.15,20.3,28,16,31.15,9.85,11.1,5.78,25.36,32.48,15.15,36,17.1,25.3,93.38,6.91,17,43.7,41.5,26.8,21.6,55.1,21.95,18.02,9.08,3.04,8.63,1.79,17.92,14.79,20.43,16.55,18.55,4.42,12.73,13.06,8.09,6.65,5.63,14,27.85,15.1,9.98,12.26,9.85,42.83,2.73,15.26,105.49,8,21.84,16.7,42.49
"2008-01-08",30.31,50.09,20.4,27.74,32.42,46.3,23.6,151,24.35,23.17,20.35,27.4,14.95,30.49,9.9,11.2,5.64,26.08,31.2,15.2,36.29,17.2,25,99,7.15,16.5,43.9,41.6,26.6,21.2,56.2,22.4,18.43,9.17,3.15,8.64,1.82,18.8,15.07,21.63,16.56,18.6,4.32,11.89,12.78,8.13,6.71,5.49,14.4,26.75,15.15,10.06,12.33,9.74,45.41,2.82,14.81,105.97,8.02,21.68,16.39,43.34
"2008-01-09",30.85,48.8,19.98,28.05,33.4,49.19,25,149,24.2,23.8,20.85,27.99,14.5,31.28,10.2,11.1,6.1,27.02,31,15.1,35.9,16.95,23.9,100.68,7.1,16,41.05,43,26,21,55.6,22.8,17.96,8.98,3.19,8.9,1.93,19.91,14.87,21.5,17.01,19.05,4.41,11.53,13.11,8.38,6.65,5.94,14.92,26.58,15.05,9.95,12.15,9.31,46.18,2.8,14.36,99.09,8.29,21.19,16.23,42.88
"2008-01-10",31.74,48.7,20.7,27.8,34.8,48.75,24.75,154.5,24.3,23.3,21,28.2,14,31.6,10.5,11.29,6.95,27.18,32.93,15.26,34.8,16.8,25.25,98.6,7.24,15.96,41,42.15,26.05,21.65,56.81,23.45,17.92,9.3,3.16,9.28,1.92,19.71,15.42,21.59,16.66,19.19,4.45,11.13,13.25,8.62,6.76,6.77,15.01,28.24,15.21,9.64,12.05,9.83,45.22,2.86,14.32,98.97,8.12,21.23,16.74,43.81
"2008-01-11",30.12,48,20.29,27.69,33.45,48.54,24,150.5,23.93,22.83,20.3,27.6,13.3,30.1,10.7,10.95,6.55,27.49,32,15.15,34.5,16.55,23.8,97,7.6,16.16,42.29,42.61,26.4,21.3,56.1,22.26,17.66,9.12,3.14,8.92,1.91,19.12,15.02,21.26,16.32,18.55,4.35,10.58,12.62,8.79,6.56,6.38,15.18,27.44,15.1,9.56,11.87,9.27,44.49,3,14.5,102.08,8.21,21.52,16.47,43.26
"2008-01-14",30,48.69,19.82,27.7,33.05,49.16,24.55,153.79,23.23,22.93,20,27.55,12.9,28.99,10.15,11.03,6.38,27.22,31.25,15,32.49,16.79,22.75,96.5,7.4,16.55,42.9,42.45,26.59,22.45,56,22.17,17.91,8.91,3.15,8.81,1.93,19.55,15.35,20.64,16.39,18.28,4.35,10.26,12.15,8.34,6.61,6.21,15.03,26.8,14.95,9,12.04,8.86,44.26,2.92,14.85,103.56,8.18,21.67,17.36,43.18
"2008-01-15",29.31,47.8,18.99,27,32.8,47.15,23.75,150,21.8,22.45,19.59,26.49,11.98,27.65,10,10.6,5.96,25.76,29.8,14.99,30.3,16.02,21.73,91.8,6.98,16,40,41.5,26.3,21.85,53.9,21.66,17.59,8.54,3.07,8.74,1.85,18.92,14.97,19.37,16.05,17.9,4.18,9.53,11.59,8.21,6.35,5.8,14.22,25.55,14.94,8.4,11.49,8.46,42.1,2.76,14.36,96.56,8,21.44,16.89,41.56
"2008-01-16",29.3,46.51,18.2,25.95,33,46.16,23.25,141.71,22.4,23,19.3,26,11.7,27.9,9.7,10.48,5.8,25.3,29.4,14.31,30.95,16.61,21.5,87.8,6.98,15.9,36.11,40.41,26.01,21.55,51.41,21.65,17.11,8.18,2.95,8.8,1.82,18.52,14.14,19.9,16.44,17.64,4.1,9.31,11.7,7.97,6.28,5.65,13.97,25.21,14.26,8.58,11.91,8.37,40.27,2.76,14.27,87.17,7.79,21.2,16.66,39.64
"2008-01-17",28.99,44.85,17.11,25,31.8,47.7,23.59,139.01,22.34,22.4,19.2,26,11.11,26.95,9.8,10.27,5.62,23.96,27.75,13.9,29.1,16.08,20.4,83.11,6.82,16.1,34.5,38.06,25.6,20.85,51.05,21.42,16.5,7.69,2.84,8.48,1.88,18.79,13.87,19.85,16.01,17.55,4.1,8.84,11.3,8.05,6.15,5.47,13.23,23.8,13.85,8.06,11.53,7.94,38.12,2.69,14.45,83.28,7.33,20.86,16.12,39.37
"2008-01-18",28.55,45,17.89,24.39,31.3,50.2,24,143,21.4,23.52,19,25.9,10.96,26.82,9.8,10.09,5.26,23.68,29.99,13.85,30.3,15.8,21.8,84.4,6.7,16.5,35.4,37.7,25.7,21,51.59,21.1,16.56,8.04,2.77,8.34,1.97,19.12,14.27,19.01,16.81,17.36,4.09,8.72,11.24,8.05,6.04,5.12,13.08,25.72,13.8,8.4,11.33,8.49,38.71,2.65,14.81,85.45,7.26,20.95,16.23,39.78
"2008-01-21",27.09,43,16.3,21.74,29.75,48.2,22.48,130.41,20,21.8,18.2,24.5,10.49,25.5,9.53,9.73,4.68,23.07,28.09,13.05,25.7,15.7,19.3,78,6.55,16,33.6,34.29,24.85,20,46.22,20.02,15.82,7.33,2.47,7.93,1.9,17.9,13.01,17.77,15.58,16.63,3.86,8.34,10.69,7.83,5.83,4.56,12.74,24.09,13.01,7.12,11.26,7.52,35.78,2.59,14.36,81.11,6.61,20.25,15.46,35.64
"2008-01-22",28.7,43,17.14,23.5,30.2,50,22.39,144,21.15,21.69,18.6,24.89,11.3,27.1,9.8,9.81,4.58,23.6,29.3,13.58,28.2,15.14,18.99,86.26,6.71,16,35,36.82,25,19.82,47.6,21.21,15.82,7.7,2.67,8.05,1.97,17.83,14.37,18.79,15.5,17,3.93,8.99,11.31,8.05,5.88,4.46,13.03,25.13,13.53,7.82,10.86,7.4,39.56,2.65,14.36,84.49,7.09,20.38,15.32,36.71
"2008-01-23",27.4,41.4,17,23.15,30.4,49.1,22.7,46,20.2,20.64,18.22,23.7,10.5,26.77,9.5,9.6,4.45,22.7,28.43,13.8,27.32,14.7,19,84.6,6.45,15.9,33.8,35.1,24.7,19.13,45,20.25,15.23,7.64,2.63,8.1,1.93,18.08,13.77,17.95,14.75,16.65,3.74,8.35,11.22,7.8,5.75,4.33,12.54,24.38,13.75,7.57,10.54,7.4,38.8,2.55,14.27,81.59,6.76,20.13,14.79,34.7
"2008-01-24",29.45,44.75,18.3,25.13,31.65,50,23.5,50.6,21.75,20.99,18.65,23.8,11.45,28.53,9.95,10.25,5,23.55,30.07,14.99,30.3,16.25,19.35,91.2,7,16.47,35.85,36.58,26,19.16,50.12,21.76,16.47,8.23,2.85,8.44,1.97,18.72,15.15,19.32,15.15,17.04,3.75,9.11,11.96,8.25,6.14,4.87,13,25.79,14.94,8.4,11.65,7.54,41.83,2.76,14.78,86.54,7.05,21.19,14.81,38.65
"2008-01-28",29.1,44.75,17.42,25.17,33,52.3,24.4,53.2,21.7,22,18.81,24.6,11.5,29.49,9.7,10.3,4.93,24,28.2,14.5,30.81,16.61,18.4,97.12,6.8,16.68,37.01,37.15,26.6,20.5,50.25,21.5,16.47,7.83,2.86,8.8,2.06,19.43,15.93,19.28,15.73,17.19,3.88,9.15,12.36,8.04,6.17,4.8,13.25,24.18,14.45,8.54,11.91,7.17,44.54,2.69,14.97,89.34,7.16,21.68,15.85,38.75
