Setor;Código;Ação;Tipo;Qtde. Teórica;%Setor
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON NM;603.342.711;1,636
;POMO4;MARCOPOLO;PN N2;538.014.578;0,147
Cons N Básico / Alimentos Processados;BRFS3;BRF SA;ON NM;471.340.184;3,343
;CSAN3;COSAN;ON NM;132.898.602;0,44
;JBSS3;JBS;ON NM;1.653.729.368;2,958
;MRFG3;MARFRIG;ON NM;346.968.736;0,169
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;3.593.627.402;7,822
Cons N Cíclico / Comércio Distr.;PCAR4;P.ACUCAR-CBD;PN N1;155.424.159;1,772
Cons N Cíclico / Fumo;CRUZ3;SOUZA CRUZ;ON;378.068.610;1,099
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON NM;168.827.352;0,522
Cons N Cíclico/Diversos;HYPE3;HYPERMARCAS;ON NM;372.121.056;0,886
Const e Transp / Constr e Engenh;CYRE3;CYRELA REALT;ON NM;250.463.857;0,376
;EVEN3;EVEN;ON NM;210.307.738;0,107
;GFSA3;GAFISA;ON NM;378.066.162;0,107
;MRVE3;MRV;ON NM;274.943.975;0,264
;PDGR3;PDG REALT;ON NM;1.300.363.699;0,083
Const e Transp / Transporte;CCRO3;CCR SA;ON NM;861.282.756;1,587
;ECOR3;ECORODOVIAS;ON NM;198.444.859;0,203
;GOLL4;GOL;PN N2;105.735.457;0,093
Consumo Cíclico / Comércio;LAME4;LOJAS AMERIC;PN;428.103.759;0,827
;LREN3;LOJAS RENNER;ON NM;126.711.043;1,324
Consumo Cíclico / Tecid Vest Calç;HGTX3;CIA HERING;ON NM;127.537.447;0,244
Consumo não Cíclico/Saúde;QUAL3;QUALICORP;ON NM;217.849.295;0,555
Diversos;ESTC3;ESTACIO PART;ON NM;288.655.435;0,631
;KROT3;KROTON;ON NM;1.352.161.425;1,726
;RENT3;LOCALIZA;ON NM;149.142.340;0,634
Financ e Outros / Explor Imóveis;BRML3;BR MALLS PAR;ON NM;459.540.434;0,918
;BRPR3;BR PROPERT;ON NM;294.698.306;0,402
;MULT3;MULTIPLAN;ON N2;75.442.416;0,484
Financ e Outros / Holdings Divers;BRAP4;BRADESPAR;PN N1;222.476.686;0,261
;UGPA3;ULTRAPAR;ON NM;379.944.030;2,82
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON EJ N1;445.673.151;1,564
;BBDC4;BRADESCO;PN EJ N1;2.432.420.397;8,432
;BBAS3;BRASIL;ON NM;828.582.888;2,246
;ITSA4;ITAUSA;PN N1;3.138.320.248;3,69
;ITUB4;ITAUUNIBANCO;PN N1;2.680.430.933;11,006
;SANB11;SANTANDER BR;UNT;400.076.102;0,675
Financ e Outros / Previd Seguros;BBSE3;BBSEGURIDADE;ON NM;675.000.000;2,679
Financeiro e Outros/Serviços Financeiros Diversos;BVMF3;BMFBOVESPA;ON NM;1.815.000.000;2,467
;CTIP3;CETIP;ON NM;255.556.642;0,983
;CIEL3;CIELO;ON EB NM;798.082.087;3,661
Mats Básicos / Madeira e Papel;DTEX3;DURATEX;ON NM;261.597.936;0,249
;FIBR3;FIBRIA;ON NM;222.308.001;1,13
;KLBN11;KLABIN S/A;UNT N2;382.961.180;0,779
;SUZB5;SUZANO PAPEL;PNA N1;461.173.399;0,762
Mats Básicos / Mineração;VALE3;VALE;ON N1;1.262.807.257;2,575
;VALE5;VALE;PNA N1;1.878.758.554;3,175
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA ED N1;264.665.622;0,349
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN N1;876.090.759;0,946
;GOAU4;GERDAU MET;PN N1;268.577.413;0,312
;CSNA3;SID NACIONAL;ON;702.056.615;0,445
;USIM5;USIMINAS;PNA N1;481.427.177;0,26
N Classificados / N Classificados;RUMO3;RUMO LOG;ON NM;1.252.734.615;0,238
Petróleo, Gás e Biocombustíveis;PETR3;PETROBRAS;ON;2.708.485.740;3,761
;PETR4;PETROBRAS;PN;4.037.414.651;5,538
Telecomunicação / Telefonia Fixa;OIBR4;OI;PN N1;322.209.631;0,234
;VIVT4;TELEF BRASIL;PN ED;261.308.985;1,374
Telecomunicação / Telefonia Móvel;TIMP3;TIM PART S/A;ON NM;807.753.067;0,945
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON EJ NM;339.985.611;0,67
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN N1;758.933.452;1,224
;CESP6;CESP;PNB N1;181.791.331;0,506
;CPLE6;COPEL;PNB N1;100.948.359;0,411
;CPFE3;CPFL ENERGIA;ON NM;293.274.238;0,672
;ELET3;ELETROBRAS;ON N1;223.455.547;0,153
;ELET6;ELETROBRAS;PNB N1;219.731.566;0,19
;ENBR3;ENERGIAS BR;ON ED NM;232.602.924;0,281
;LIGT3;LIGHT S/A;ON ED NM;97.629.475;0,164
;TBLE3;TRACTEBEL;ON NM;203.919.927;0,814
