dia;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;ano
1;;16358,64;;17301,09;;;18818,74;19023,94;17377,42;16711,82;;15304,9;2008
2;17005,44;;;17595,35;18446,99;19004,96;18462,92;;17174,56;16210,94;;15612,87;2008
3;17241,1;;17914,8;17783,27;;18866,45;18249,37;;16865,61;16010,06;14431,89;15753,21;2008
4;16893,17;;17721,61;17795,22;;19062,25;18253,77;18956,99;16299,81;;14741,3;15825,4;2008
5;;;17879,79;;18992,35;19489,21;;19090,8;16248,79;;14249,78;15880,94;2008
6;;16029,98;17512,18;;18826,32;19073,25;;19276,63;;15346,43;14284,13;;2008
7;16934,5;15976,08;17220,38;17581,55;18386,73;;18079,85;19045,88;;14758,74;14504,59;;2008
8;17054,26;15908,74;;17664,15;18480,16;;18400,85;18858,23;16046,55;13789,12;;16065,94;2008
9;17213,81;;;17409,86;18418,32;19432,65;;;15622,69;13539,62;;15873,87;2008
10;17365,78;;16866,22;17498,21;;19224,21;18811,29;;15569,61;13072,37;14393,27;15618,06;2008
11;16940,24;16301,24;17171,1;17329,5;;19295,37;18860,11;17977,67;15792,21;;14681,39;15295,39;2008
12;;16576,18;17149,66;;18657,86;19380,68;;17826,8;16068,81;;14423,14;15608,88;2008
13;;16868,03;17088,47;;18538,14;19153,61;;17759,67;;14680,05;15007,52;;2008
14;17027,87;16739,67;17068,63;17094,1;18400,36;;19142;17968,58;;15176,78;14899,18;;2008
15;16609,8;16682,78;;17043,93;18723,37;;19453,13;17880,15;15595,45;14198,04;;15158,71;2008
16;16448,88;;;17233,65;19063,24;19164,42;19634,44;;15473,82;14485,37;;15603,48;2008
17;16203,85;;16764,65;17399,52;;19087,53;19250,82;;14729,72;14322,56;15483,16;15233,67;2008
18;16211,9;16940,05;17017,8;17525,56;;18672,55;19169,06;17715,09;15149,56;;15422,45;15574,06;2008
19;;16792,65;16724,71;;18996,56;18849,15;;17830,35;16368,44;;15620,43;15587,47;2008
20;;17127,54;16867,74;;18866,79;18604,77;;17981,73;;14908,7;;;2008
21;15443,79;17039,65;;;18604,79;;19517,23;17874,39;;14853,73;15349,61;;2008
22;15957,79;17354,56;;17511,29;;;19309,24;17874;16156,65;13819,65;;15309;2008
23;15537,14;;;17461,47;18537,94;18619,02;19236,94;;16065,16;13601,09;;15056,53;2008
24;15987,42;;16852,97;17565,5;;18499,47;18892,66;;15981,18;12924,14;15688,6;;2008
25;;17469,08;16695,05;17737,49;;18959,79;18937,1;17633,4;16481,1;;15595,75;;2008
26;;17665,56;16624,97;;18471,06;18706,83;;17618,31;16590,08;;15696,02;15173,54;2008
27;;17697,79;16676,06;;18295,16;18979,93;;17685,69;;12683,83;15805,31;;2008
28;16341,31;17630,94;16507,74;17790,82;18934,46;;18741,28;17769,5;;13910,87;15785,5;;2008
29;16261,43;17467,5;;17306,61;18822,43;;19046,84;17483,2;15476,59;14078,76;;15188,37;2008
30;16168,05;;;18024,52;19174,93;19166,32;19079,28;;16392,7;14205,22;;15291,33;2008
31;16089,95;;16859;;;;19167,96;;;14375,72;;;2008
1;;;;17200,38;;19794,04;20645,62;;21249,24;22234,12;;23321,77;2009
2;15812,72;15044,99;15712,04;17367,69;;19599,37;20762,6;;21178,68;22481,38;;23823,52;2009
3;;15135,19;15668,82;17670,34;;19429,83;20814,99;21222,09;21276,02;;22213,63;23926,18;2009
4;;15059,31;15849,29;;19115,42;19682,69;;21305,31;21345,29;;22445,39;23800,76;2009
5;15662,34;15357,18;15656,71;;19039,56;19753,8;;21340,68;;22935,83;22611,7;;2009
6;15445,83;15631,87;15827,16;17607,45;19224,26;;20803,02;21456,37;;23038,73;22571,65;;2009
7;15233,23;;;17449,13;18975,53;;20699,39;21556,69;;23064,55;;24178,3;2009
8;15343,37;;;17588,51;19465,88;19763,62;20643,51;;21715,08;23125,58;;24260,02;2009
9;15422,06;15574,28;15760,93;17813,42;;19674,76;;;21872,04;23127,24;23120,19;24456,63;2009
10;;15625,81;16150,11;;;19867,54;20648,25;21429,11;22078,14;;22950,64;24815,65;2009
11;;15725,28;15928,26;;19371,98;;;21181,09;21999,58;;23051,32;24917,45;2009
12;15265,69;15713,97;15980,15;;19500,98;20197,47;;21333,33;;;22673,71;;2009
13;15494,74;15892,96;15977,77;17794,88;19317,69;;20469,63;21099,1;;23192,59;23110,01;;2009
14;15276,12;;;17512,07;19637,39;;20060,19;21114,58;22138,38;23313,38;;24690,09;2009
15;15503,51;;;17590,26;19614,87;20006,22;20419,94;;22151,98;23469,73;;24574,44;2009
16;15482,53;15935,42;15845,24;17818,38;;19961,24;20696,34;;22266,17;23497;23338,8;24044;2009
17;;15814,58;16132,92;17784,65;;19984,83;20744,14;20731,03;22340,8;;23367,86;23933,78;2009
18;;15945,51;16406,04;;19938,3;20000,37;;20977,43;22305,22;;23082,58;23817,1;2009
19;15380,56;16120,82;16408,72;;19673,05;20404,95;;20926,46;;23705,5;22917,88;;2009
20;14970,04;15992,83;16270,09;17572,13;19508,33;;20913,26;20925,08;;23161,79;;;2009
