"datas","valor_fechamento"
2015-07-31,29605.9
2015-07-30,29121.69
2015-07-29,28568.04
2015-07-28,28770.82
2015-07-27,28871.16
2015-07-24,28758.31
2015-07-23,29468.97
2015-07-22,30199.53
2015-07-21,30322.56
2015-07-20,30430.94
2015-07-17,30564.79
2015-07-16,31009.43
2015-07-15,30861.82
2015-07-14,30868.06
2015-07-13,30580.02
2015-07-10,30360.01
2015-07-08,30315.74
2015-07-07,30521.04
2015-07-06,30541.15
2015-07-03,30695.39
2015-07-02,30690.95
2015-07-01,30426.82
2015-06-30,30253.31
2015-06-29,30106.9
2015-06-26,30291.98
2015-06-25,29708.42
2015-06-24,30186.85
2015-06-23,30535.58
2015-06-22,30730.55
2015-06-19,30445.47
2015-06-18,30447.39
2015-06-17,30018.53
2015-06-16,29959.76
2015-06-15,30092.94
2015-06-12,29992.89
2015-06-11,30229.78
2015-06-10,30335.84
2015-06-09,30326.71
2015-06-08,30469.38
2015-06-05,30520.38
2015-06-03,30745.99
2015-06-02,30903.25
2015-06-01,30787.59
2015-05-29,30202.54
2015-05-28,30963.53
2015-05-27,31242.23
2015-05-26,30668.65
2015-05-25,30994.33
2015-05-22,30518.72
2015-05-21,30595.89
2015-05-20,30948.28
2015-05-19,31124.97
2015-05-18,31089.73
2015-05-15,31260.31
2015-05-14,30959.91
2015-05-13,30517.47
2015-05-12,31399.24
2015-05-11,31534.55
2015-05-08,31261.94
2015-05-07,30817.55
2015-05-06,31076.97
2015-05-05,30907.03
2015-05-04,30089.77
2015-04-30,29453.36
2015-04-29,29538.56
2015-04-28,29682.04
2015-04-27,29022.05
2015-04-24,29391.29
2015-04-23,29283.42
2015-04-22,28896.67
2015-04-20,28613.14
2015-04-17,28700.43
2015-04-16,28855.62
2015-04-15,28836.53
2015-04-14,28628.85
2015-04-13,28693.97
2015-04-10,28551.62
2015-04-09,28478.11
2015-04-08,28333.25
2015-04-07,28471.9
2015-04-06,28824.31
2015-04-02,28457.1
2015-04-01,28250.33
2015-03-31,27504.07
2015-03-30,27561.98
2015-03-27,26927.19
2015-03-26,27030.8
2015-03-25,27492.58
2015-03-24,27768.84
2015-03-23,27561.09
2015-03-20,27658.17
2015-03-19,26684.7
2015-03-18,26779.68
2015-03-17,26259.15
2015-03-16,25805.63
2015-03-13,25765.34
2015-03-12,25997.75
2015-03-11,25418.63
2015-03-10,25175.39
2015-03-09,25158.03
2015-03-06,25788.51
2015-03-05,25796.68
2015-03-04,25799.7
2015-03-03,26220.84
2015-03-02,26284.22
2015-02-27,26521.88
2015-02-26,26844.04
2015-02-25,26180.72
2015-02-24,25831.39
2015-02-23,25476.54
2015-02-20,25673.35
2015-02-19,26097.6
2015-02-18,25795.79
2015-02-13,25391.92
2015-02-12,24988.07
2015-02-11,24185.86
2015-02-10,24249.27
2015-02-09,24512.13
2015-02-06,24480.53
