dia;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;ano
1;;2.386,96;;2.430,33;;;2.396,93;2.429,32;2.494,31;2.392,39;;1.821,90;2008
2;2.633,96;;;2.460,90;2.918,13;2.891,88;2.367,52;;2.504,12;2.237,56;;1.855,16;2008
3;2.591,75;;2.622,66;2.469,89;;2.821,91;2.312,69;;2.486,82;2.069,90;1.909,76;1.845,03;2008
4;2.583,73;;2.572,60;2.461,43;;2.793,28;2.324,76;2.323,42;2.379,26;;2.037,43;1.859,00;2008
5;;;2.644,05;;2.911,86;2.876,67;;2.404,02;2.413,94;;1.866,62;1.902,79;2008
6;;2.302,98;2.567,12;;2.838,80;2.785,95;;2.461,57;;1.972,34;1.766,34;;2008
7;2.603,15;2.275,90;2.502,34;2.488,35;2.805,49;;2.313,30;2.419,29;;1.919,29;1.817,93;;2008
8;2.638,25;2.259,25;;2.505,97;2.823,49;;2.373,79;2.384,08;2.405,91;1.901,44;;2.050,06;2008
9;2.643,05;;;2.451,05;2.800,91;2.754,51;;;2.315,37;1.815,95;;2.049,00;2008
10;2.703,06;;2.460,94;2.434,67;;2.688,61;2.360,26;;2.343,67;1.735,52;1.835,00;2.055,14;2008
11;2.634,57;2.320,00;2.546,17;2.391,39;;2.630,37;2.322,18;2.315,03;2.341,46;;1.832,81;2.003,21;2008
12;;2.408,14;2.485,27;;2.837,19;2.681,19;;2.275,75;2.385,10;;1.699,31;2.056,36;2008
13;;2.477,75;2.501,80;;2.781,34;2.694,03;;2.239,50;;2.098,63;1.843,76;;2008
14;2.648,46;2.426,31;2.472,00;2.341,60;2.769,13;;2.309,72;2.295,92;;2.153,14;1.816,45;;2008
15;2.552,45;2.443,29;;2.356,65;2.815,07;;2.293,51;2.267,20;2.204,33;1.929,06;;1.941,39;2008
16;2.517,18;;;2.471,02;2.832,01;2.707,76;2.447,02;;2.219,13;1.836,66;;2.051,90;2008
17;2.454,20;;2.379,35;2.537,23;;2.744,60;2.442,92;;2.092,19;1.761,06;1.812,97;2.088,86;2008
18;2.429,07;2.516,54;2.453,74;2.580,26;;2.654,59;2.495,23;2.222,28;2.218,34;;1.692,50;2.075,93;2008
19;;2.482,39;2.346,92;;2.858,27;2.628,97;;2.223,81;2.416,07;;1.627,50;2.027,86;2008
20;;2.534,17;2.368,63;;2.827,20;2.561,96;;2.299,64;;1.873,76;;;2008
21;2.335,83;2.544,68;;;2.774,81;;2.475,22;2.487,80;;1.839,97;1.490,88;;2008
22;2.369,49;2.574,76;;2.541,55;;;2.477,89;2.506,74;2.315,15;1.618,12;;1.942,39;2008
23;2.312,28;;;2.507,49;2.748,87;2.542,32;2.503,18;;2.276,99;1.497,31;;1.852,23;2008
24;2.492,29;;2.357,92;2.524,47;;2.509,05;2.437,58;;2.271,33;1.379,18;1.672,50;;2008
25;;2.609,31;2.447,97;2.577,68;;2.572,82;2.405,72;2.436,72;2.357,08;;1.730,71;;2008
26;;2.637,46;2.418,02;;2.741,24;2.462,73;;2.410,70;2.358,97;;1.845,31;1.852,62;2008
27;;2.675,68;2.353,78;;2.802,06;2.454,67;;2.489,80;;1.325,48;1.853,23;;2008
28;2.488,60;2.666,24;2.312,92;2.609,76;2.907,66;;2.356,39;2.560,88;;1.485,32;1.889,25;;2008
29;2.498,52;2.582,65;;2.550,66;2.892,42;;2.433,57;2.512,17;2.151,48;1.614,29;;1.866,37;2008
30;2.503,09;;;2.784,28;2.979,87;2.469,00;2.497,47;;2.369,84;1.791,88;;1.888,96;2008
31;2.430,92;;2.343,74;;;;2.478,81;;;1.776,21;;;2008
1;;;;2.034,02;;2.717,69;2.664,98;;2.825,40;3.215,67;;3.358,76;2009
2;2.036,14;1.753,89;1.647,27;2.095,09;;2.716,10;2.641,53;;2.795,52;3.227,76;;3.383,99;2009
3;;1.775,58;1.649,05;2.156,43;;2.634,16;2.628,56;2.827,38;2.806,51;;3.115,43;3.355,99;2009
4;;1.799,50;1.730,88;;2.449,01;2.705,20;;2.827,75;2.880,04;;3.195,00;3.350,46;2009
5;2.062,50;1.856,30;1.704,51;;2.539,19;2.687,02;;2.878,22;;3.309,96;3.227,93;;2009
6;2.123,71;1.970,54;1.720,26;2.165,43;2.557,94;;2.627,92;2.840,02;;3.290,09;3.206,78;;2009
7;2.029,64;;;2.156,24;2.433,49;;2.579,29;2.890,61;;3.215,70;;3.410,88;2009
8;2.037,94;;;2.158,63;2.499,32;2.715,48;2.538,20;;2.929,02;3.274,60;;3.383,41;2009
9;2.030,35;1.931,30;1.697,24;2.215,33;;2.675,04;;;2.943,67;3.307,22;3.285,63;3.373,96;2009
10;;1.876,55;1.801,99;;;2.681,88;2.518,06;2.917,43;2.962,48;;3.291,03;3.406,84;2009
11;;1.872,59;1.801,58;;2.469,13;;;2.861,14;2.978,53;;3.306,53;3.426,62;2009
12;1.963,13;1.846,08;1.844,67;;2.448,11;2.691,80;;2.866,55;;;3.221,00;;2009
13;1.921,62;1.910,03;1.848,01;2.217,98;2.375,79;;2.539,18;2.838,13;;3.324,53;3.287,00;;2009
14;1.815,74;;;2.155,00;2.439,99;;2.531,76;2.816,58;2.997,32;3.392,92;;3.416,39;2009
15;1.852,09;;;2.158,44;2.425,56;2.601,15;2.638,56;;3.026,89;3.397,94;;3.426,81;2009
16;1.810,36;1.910,95;1.850,17;2.230,72;;2.590,17;2.669,57;;3.075,19;3.365,92;3.327,31;3.392,48;2009
17;;1.821,29;1.892,41;2.229,05;;2.579,43;2.648,68;2.747,31;3.091,80;;3.342,03;3.319,43;2009
18;;1.799,31;1.941,10;;2.541,07;2.591,64;;2.801,19;3.123,19;;3.282,27;3.315,43;2009
19;1.820,30;1.786,68;1.910,20;;2.520,76;2.650,49;;2.841,64;;3.377,72;3.229,61;;2009
20;1.712,70;1.749,19;1.880,56;2.166,93;2.502,54;;2.692,62;2.874,19;;3.247,92;;;2009
21;1.772,65;;;;2.467,45;;2.682,96;2.875,83;3.112,55;3.240,94;;3.297,34;2009
22;1.746,38;;;2.151,59;2.505,75;2.557,46;2.692,19;;3.114,34;3.302,94;;3.319,52;2009
23;1.763,95;;2.026,29;2.221,60;;2.521,72;2.761,98;;3.068,75;3.241,97;3.260,34;3.309,84;2009
24;;;1.980,53;2.271,41;;2.533,90;2.789,92;2.864,87;3.070,66;;3.278,44;;2009
25;;1.747,81;1.998,46;;2.517,16;2.634,09;;2.881,12;3.090,82;;3.315,34;;2009
26;1.773,66;1.743,43;2.057,41;;2.568,68;2.646,31;;2.922,53;;3.219,12;3.226,00;;2009
27;1.761,98;1.725,78;2.055,56;2.213,18;2.584,36;;2.783,32;2.920,48;;3.120,57;3.264,07;;2009
28;1.853,42;;;2.218,03;2.644,49;;2.787,22;2.922,93;3.165,92;2.971,07;;3.316,31;2009
29;1.815,08;;;2.313,60;2.657,83;2.673,49;2.753,93;;3.211,51;3.146,96;;3.354,65;2009
30;1.797,17;;1.995,78;2.315,13;;2.651,65;2.801,40;;3.240,27;3.027,38;3.284,50;3.387,86;2009
31;;;1.997,47;;;;2.794,58;2.883,93;;;;;2009
1;;3.313,42;3.278,24;3.509,62;;3.172,99;3.144,46;;3.577,96;3.839,23;3.952,18;3.829,75;2010
2;;3.357,75;3.299,55;;;3.226,35;3.159,61;3.662,80;3.528,58;;;3.841,27;2010
3;;3.346,25;3.304,59;;3.373,79;;;3.590,91;3.511,65;;3.976,62;3.786,18;2010
4;3.506,50;3.211,14;3.303,37;;3.275,62;3.183,31;;3.574,28;;3.846,27;4.044,69;;2010
5;3.496,49;3.103,93;3.331,68;3.513,19;3.282,72;;3.112,06;3.591,97;;3.934,95;4.036,99;;2010
6;3.502,08;;;3.479,07;3.244,23;;3.190,74;3.611,33;3.502,53;3.897,60;;3.737,84;2010
7;3.505,26;;;3.443,28;3.226,45;3.138,57;3.319,61;;;3.888,36;;3.736,08;2010
8;3.472,96;3.102,60;3.305,46;3.542,48;;3.175,68;3.375,23;;3.527,80;3.977,16;4.039,45;3.695,58;2010
9;;3.221,78;3.344,70;3.536,09;;3.149,36;;3.626,46;3.535,74;;3.944,30;3.653,02;2010
10;;3.241,16;3.363,87;;3.358,81;3.224,63;;3.594,32;3.538,49;;3.949,13;3.640,52;2010
11;3.470,72;3.281,36;3.363,55;;3.307,36;3.261,21;;3.525,61;;3.985,90;3.897,93;;2010
12;3.445,69;3.262,70;3.320,90;3.496,50;3.359,04;;3.383,24;3.542,03;;;3.905,02;;2010
13;3.458,34;;;3.487,37;3.346,06;;3.432,86;3.543,46;3.633,59;4.060,27;;3.674,31;2010
14;3.422,53;;;3.493,70;3.281,01;3.239,77;3.409,06;;3.655,71;4.011,93;;3.682,72;2010
15;3.371,71;;3.322,52;3.474,54;;3.277,62;3.418,28;;3.675,00;4.019,91;;3.668,75;2010
16;;;3.348,33;3.400,98;;3.307,25;3.337,29;3.576,08;3.651,20;;3.851,03;3.628,84;2010
17;;3.315,65;3.317,33;;3.321,63;3.302,09;;3.593,34;3.622,93;;3.860,65;3.646,87;2010
18;3.391,75;3.336,33;3.344,21;;3.203,05;3.317,64;;3.593,86;;3.987,91;3.908,28;;2010
19;3.406,00;3.324,62;3.334,80;3.381,27;3.091,85;;3.398,73;3.559,78;;3.917,04;3.926,80;;2010
20;3.317,49;;;3.407,90;3.036,58;;3.411,96;3.548,98;3.675,99;3.950,71;;3.589,12;2010
21;3.250,68;;;;3.137,84;3.324,54;3.418,76;;3.662,58;3.891,40;;3.630,86;2010
22;3.282,25;3.301,07;3.371,15;3.406,01;;3.309,12;3.488,19;;3.689,09;3.914,99;3.859,01;3.685,59;2010
23;;3.243,80;3.351,30;3.397,44;;3.326,09;3.518,49;3.528,17;3.720,41;;3.779,32;3.690,54;2010
24;;3.209,78;3.312,81;;3.114,85;3.252,41;;3.473,41;3.667,87;;3.841,88;;2010
25;;3.190,47;3.333,43;;3.031,02;3.298,60;;3.464,78;;3.931,68;3.841,74;;2010
26;3.267,44;3.254,29;3.359,46;3.366,21;3.132,39;;3.508,61;3.398,17;;3.974,11;3.802,20;;2010
27;3.208,49;;;3.280,14;3.175,89;;3.506,67;3.489,50;3.687,77;3.919,82;;3.646,16;2010
28;3.269,68;;;3.326,14;3.159,43;3.261,50;3.594,86;;3.718,83;3.868,00;;3.651,13;2010
29;3.250,38;;3.405,27;3.393,77;;3.136,66;3.607,75;;3.757,00;3.888,71;3.785,09;3.710,92;2010
30;;;3.434,94;3.378,38;;3.064,65;3.642,94;3.426,74;3.800,33;;3.748,00;3.745,36;2010
31;;;3.477,54;;3.224,98;;;3.501,78;;;;;2010
1;;3.458,72;3.456,95;3.759,00;;3.466,35;3.558,19;3.237,39;3.324,58;;3.357,44;3.442,42;2011
2;;3.410,93;3.485,58;;3.561,75;3.498,18;;3.129,71;3.241,09;;;3.427,29;2011
3;3.773,56;3.374,03;3.545,10;;3.476,63;3.508,23;;3.076,93;;3.005,16;3.378,32;;2011
4;3.787,47;3.281,38;3.546,62;3.732,97;3.468,26;;3.577,35;2.957,23;;2.982,19;3.385,49;;2011
5;3.812,58;;;3.726,38;3.511,49;;3.551,45;2.989,75;3.139,72;3.009,33;;3.445,03;2011
6;3.756,73;;;3.695,54;3.592,54;3.453,72;3.516,93;;3.187,89;3.071,02;;3.459,81;2011
7;3.680,85;3.307,04;;3.714,26;;3.491,74;3.469,91;;;3.027,70;3.393,55;3.434,95;2011
8;;3.370,82;;3.654,92;;3.476,08;3.413,73;2.757,51;3.247,94;;3.397,95;3.412,53;2011
9;;3.310,86;3.504,15;;3.607,45;3.475,75;;2.903,76;3.147,67;;3.348,47;3.449,31;2011
10;3.702,98;3.327,79;3.404,77;;3.645,51;3.444,25;;2.878,10;;3.141,44;3.314,24;;2011
11;3.708,96;3.439,37;3.440,03;3.617,80;3.605,99;;3.315,40;2.951,45;;3.162,79;3.360,47;;2011
12;3.771,27;;;3.581,87;3.602,91;;3.258,54;2.978,12;3.092,98;;;3.417,79;2011
13;3.703,92;;;3.575,57;3.522,65;3.442,82;3.307,63;;3.077,11;3.198,11;;3.425,09;2011
14;3.726,79;3.468,09;3.469,85;3.539,74;;3.473,88;3.234,89;;3.109,18;3.214,95;3.384,87;3.395,83;2011
15;;3.492,31;3.494,56;3.541,85;;3.469,56;3.229,52;3.020,54;3.143,71;;;3.366,19;2011
16;;3.573,46;3.425,96;;3.484,94;3.434,31;;3.013,97;3.194,30;;3.399,25;3.363,47;2011
17;3.690,85;3.604,66;3.419,33;;3.492,49;3.435,75;;3.086,56;;3.198,51;3.307,45;;2011
18;3.671,83;3.599,53;3.472,47;3.534,86;3.416,75;;3.177,30;2.983,02;;3.239,37;3.255,25;;2011
19;3.620,71;;;3.564,25;3.405,82;;3.224,21;2.922,29;3.169,58;3.264,87;;3.347,58;2011
20;3.568,11;;;3.613,13;3.396,10;3.431,71;3.250,69;;3.154,66;3.234,99;;3.423,25;2011
21;3.558,88;3.548,29;3.475,68;;;3.425,10;3.312,89;;3.139,24;3.294,48;3.214,14;3.431,31;2011
22;;3.472,37;3.552,65;;;3.440,05;3.318,80;2.915,03;3.014,89;;3.175,43;3.482,06;2011
23;;3.490,55;3.536,44;;3.394,60;;;2.943,25;2.986,32;;3.131,09;3.495,18;2011
24;3.598,37;3.497,87;3.544,34;;3.455,97;3.426,56;;2.950,61;;3.357,19;3.148,92;;2011
25;;3.485,14;3.540,22;3.611,53;3.434,81;;3.277,11;2.944,53;;3.306,94;3.133,01;;2011
26;3.568,50;;;3.637,42;3.501,37;;3.250,45;2.961,29;3.020,83;3.341,90;;3.483,10;2011
27;3.565,75;;;3.617,85;3.501,49;3.421,23;3.170,57;;3.083,53;3.441,57;;3.498,79;2011
28;3.489,40;3.534,63;3.534,43;3.560,09;;3.504,01;3.197,51;;3.066,70;3.431,76;3.188,34;3.435,83;2011
29;;;3.535,09;3.585,47;;3.520,73;3.238,71;3.036,81;3.085,96;;3.170,80;3.468,11;2011
30;;;3.636,94;;3.484,62;3.534,55;;3.073,00;3.066,17;;3.330,49;;2011
31;3.429,66;;3.722,00;;3.516,91;;;3.141,79;;3.398,37;;;2011
1;;3.725,86;3.950,25;;;3.314,97;;3.654,45;;3.688,93;3.705,52;;2012
2;3.476,58;3.753,19;4.009,83;;3.494,60;;3.385,60;3.599,69;;3.686,38;;;2012
3;3.538,07;3.787,74;;3.828,96;3.483,59;;3.452,46;3.715,59;3.721,01;3.646,08;;3.833,89;2012
4;3.543,92;;;3.793,69;3.448,81;3.284,33;3.467,60;;3.677,26;3.659,50;;3.799,20;2012
5;3.507,10;;3.976,99;3.703,53;;3.249,21;3.487,36;;3.707,70;3.656,21;3.676,12;3.820,85;2012
6;3.510,80;3.785,75;3.887,27;3.665,72;;3.356,56;3.454,49;3.775,05;3.785,98;;3.739,95;3.795,22;2012
7;;3.829,70;3.947,22;;3.471,07;;;3.778,73;;;3.673,00;3.830,02;2012
8;;3.875,56;4.007,74;;3.461,94;3.353,83;;3.827,39;;3.656,49;3.603,27;;2012
9;3.534,17;3.845,11;4.047,54;;3.422,60;;;3.798,28;;3.584,15;3.587,69;;2012
10;3.573,51;3.779,73;;3.634,74;3.436,72;;3.349,60;3.839,09;3.779,40;3.538,06;;3.858,93;2012
11;3.579,91;;;3.603,82;3.463,15;3.359,76;3.348,49;;3.810,86;3.598,97;;3.895,22;2012
12;3.576,53;;4.014,03;3.593,62;;3.420,10;3.352,00;;3.868,45;;3.576,33;3.888,10;2012
13;3.557,50;3.861,59;4.060,17;3.691,42;;3.427,09;3.402,34;3.815,12;3.940,30;;3.626,81;3.891,54;2012
14;;3.864,36;4.054,96;3.588,17;3.371,97;3.424,20;;3.773,68;4.004,80;;3.580,64;3.874,85;2012
15;;3.845,91;4.036,28;;3.354,16;3.442,37;;3.815,54;;3.602,42;;;2012
16;3.585,07;3.870,84;4.050,45;;3.292,04;;3.377,09;3.865,84;;3.628,45;3.594,73;;2012
17;3.596,50;3.861,76;;3.557,13;3.195,80;;3.376,29;3.876,13;3.990,89;3.637,96;;3.863,14;2012
18;3.677,25;;;3.559,95;3.195,64;3.449,68;3.446,10;;3.952,51;3.619,00;;3.905,44;2012
19;3.696,95;;4.034,39;3.557,92;;3.496,59;3.498,11;;3.964,78;3.594,95;3.669,24;4.013,75;2012
20;3.714,17;;3.990,58;3.570,04;;3.473,00;3.465,17;3.868,50;3.959,07;;;4.013,87;2012
21;;;3.959,54;3.584,84;3.341,68;3.366,13;;3.845,59;3.965,11;;3.692,93;4.046,34;2012
22;;3.859,52;3.893,85;;3.328,73;3.350,55;;3.849,19;;3.559,14;3.710,81;;2012
23;3.689,68;3.824,87;3.886,64;;3.292,24;;3.368,33;3.822,72;;3.467,76;3.760,08;;2012
24;3.667,96;3.822,23;;3.553,75;3.254,24;;3.425,95;3.809,57;3.965,25;3.516,57;;;2012
25;;;;3.551,75;3.291,93;3.263,51;3.428,95;;3.777,43;3.582,55;;;2012
26;3.713,91;;3.946,50;3.459,66;;3.262,53;3.508,66;;3.769,43;3.549,07;3.722,18;4.009,96;2012
27;3.727,95;3.798,92;3.945,24;3.488,13;;3.279,07;3.652,52;3.798,78;3.756,85;;3.685,00;3.972,36;2012
28;;3.876,40;3.872,44;3.492,78;3.310,07;3.270,07;;3.803,29;3.652,20;;3.704,08;4.014,49;2012
29;;3.883,16;3.823,59;;3.301,29;3.361,96;;3.738,45;;3.554,05;3.765,82;;2012
30;3.706,96;;3.788,57;;3.279,48;;3.705,09;3.718,71;;3.588,12;3.785,24;;2012
31;3.672,12;;;3.522,65;3.360,37;;3.641,88;3.668,26;;3.556,57;;;2012
1;;4.091,45;4.133,55;4.256,90;;;3.869,63;3.947,77;;4.275,25;4.516,08;;2013
2;4.093,90;;;4.209,54;4.154,85;;3.701,41;3.912,97;3.925,74;4.264,89;;4.240,60;2013
3;4.208,75;;;4.224,34;4.181,83;4.268,27;3.662,61;;3.882,32;4.257,67;;4.148,83;2013
4;4.170,51;4.027,25;4.134,95;4.153,59;;4.260,08;3.687,24;;3.899,90;4.273,54;4.555,61;4.105,82;2013
5;;4.072,68;4.152,98;4.160,44;;4.150,73;3.635,40;3.855,36;3.939,92;;4.483,72;4.092,14;2013
6;;4.006,88;4.229,26;;4.154,14;4.161,32;;3.761,45;4.004,33;;4.434,65;4.126,72;2013
7;4.144,94;3.962,53;4.237,45;;4.252,55;4.102,68;;3.755,45;;4.284,98;4.400,73;;2013
8;4.161,04;3.995,06;4.328,96;4.153,91;4.273,38;;3.633,51;3.864,92;;4.261,07;4.303,03;;2013
9;4.188,40;;;4.227,77;4.263,70;;;3.882,57;4.095,90;4.306,23;;4.129,45;2013
10;4.167,24;;;4.307,19;4.254,68;4.099,87;3.655,10;;4.109,97;4.337,24;;4.097,58;2013
11;4.153,07;;4.315,12;4.303,57;;3.974,84;3.761,73;;4.115,44;4.335,35;4.308,23;4.008,49;2013
12;;;4.258,46;4.252,60;;3.951,13;3.724,51;3.944,57;4.074,80;;4.257,16;4.046,08;2013
13;;3.987,13;4.233,57;;4.195,22;3.975,51;;3.978,60;4.120,72;;4.307,97;4.052,45;2013
14;4.201,39;3.964,43;4.225,09;;4.227,04;3.920,67;;3.939,76;;4.383,37;4.389,61;;2013
15;4.149,61;4.106,69;4.237,56;4.179,03;4.245,53;;3.797,98;3.901,18;;4.388,10;;;2013
16;4.158,01;;;4.245,47;4.239,41;;3.803,46;3.886,91;4.135,85;4.433,33;;4.057,14;2013
17;4.208,24;;;4.136,96;4.276,61;3.939,67;3.839,57;;4.182,02;4.451,28;;4.060,33;2013
18;4.204,65;4.121,75;4.222,44;4.070,19;;3.933,09;3.839,25;;4.294,49;4.507,25;4.419,49;4.071,44;2013
19;;4.080,02;4.206,98;4.125,40;;3.831,10;3.802,42;3.835,27;4.279,94;;4.309,49;4.129,96;2013
20;;4.012,43;4.225,60;;4.333,25;3.799,70;;3.805,15;4.182,73;;;4.097,92;2013
21;4.198,03;4.002,09;4.185,23;;4.361,87;3.758,12;;3.789,27;;4.472,15;4.278,00;;2013
