"datas","valor_fechamento"
2015-07-31,5147.2
2015-07-30,5055.1
2015-07-29,5122.48
2015-07-28,5044.35
2015-07-27,4984.49
2015-07-24,4981.5
2015-07-23,5024.97
2015-07-22,5222.31
2015-07-21,5288.64
2015-07-20,5306.95
2015-07-17,5359.17
2015-07-16,5405.33
2015-07-15,5419.97
2015-07-14,5438.45
2015-07-13,5404.4
2015-07-10,5375.92
2015-07-08,5254.2
2015-07-07,5320.13
2015-07-06,5329.92
2015-07-03,5371.4
2015-07-02,5420.43
2015-07-01,5374.09
2015-06-30,5366.72
2015-06-29,5317.01
2015-06-26,5384.84
2015-06-25,5304.64
2015-06-24,5327.67
2015-06-23,5316.46
2015-06-22,5291.75
2015-06-19,5256.05
2015-06-18,5319.87
2015-06-17,5198.44
2015-06-16,5257.7
2015-06-15,5158.65
2015-06-12,5156.32
2015-06-11,5200.62
2015-06-10,5243.74
2015-06-09,5101.58
2015-06-08,5135.83
2015-06-05,5135.72
2015-06-03,5218.78
2015-06-02,5316.73
2015-06-01,5197.52
2015-05-29,5172.88
2015-05-28,5324.19
2015-05-27,5358.71
2015-05-26,5269.09
2015-05-25,5370.93
2015-05-22,5329.32
2015-05-21,5453.67
2015-05-20,5497.93
2015-05-19,5573.59
2015-05-18,5645.57
2015-05-15,5738.27
2015-05-14,5650.96
2015-05-13,5612.94
2015-05-12,5675.29
2015-05-11,5732.24
2015-05-08,5734.09
2015-05-07,5680.29
2015-05-06,5663.89
2015-05-05,5714.67
2015-05-04,5705.02
2015-04-30,5680.84
2015-04-29,5633.59
2015-04-28,5665.33
2015-04-27,5632.35
2015-04-24,5732.31
2015-04-23,5635.66
2015-04-22,5523.71
2015-04-20,5439.82
2015-04-17,5491.69
2015-04-16,5587.27
2015-04-15,5588.57
2015-04-14,5489.96
2015-04-13,5519.29
2015-04-10,5522.74
2015-04-09,5430.69
2015-04-08,5509.14
2015-04-07,5497.86
2015-04-06,5547.53
2015-04-02,5469.04
2015-04-01,5379.42
2015-03-31,5209.79
2015-03-30,5190.79
2015-03-27,5065.77
2015-03-26,5116.21
2015-03-25,5230
2015-03-24,5237.83
2015-03-23,5274.41
2015-03-20,5302.26
2015-03-19,5241.03
2015-03-18,5301.11
2015-03-17,5105.09
2015-03-16,4925.54
2015-03-13,4870.92
2015-03-12,4914.3
2015-03-11,4940.77
2015-03-10,4833.81
2015-03-09,4909.88
2015-03-06,5028.43
2015-03-05,5120.34
2015-03-04,5133.31
2015-03-03,5214.95
2015-03-02,5185.17
2015-02-27,5240.87
2015-02-26,5257.29
2015-02-25,5237.75
2015-02-24,5227.16
2015-02-23,5176.46
2015-02-20,5144.8
2015-02-19,5146.83
2015-02-18,5123.36
2015-02-13,5079.91
2015-02-12,4947.98
2015-02-11,4810.73
2015-02-10,4886.28
2015-02-09,4948.03
2015-02-06,4916.9
2015-02-05,4937.97
2015-02-04,4947.46
2015-02-03,4822.98
2015-02-02,4705.03
2015-01-30,4672.08
2015-01-29,4782.61
2015-01-28,4784.96
2015-01-27,4873.8
2015-01-26,4854.9
2015-01-23,4851.9
2015-01-22,4891.87
2015-01-21,4848.54
2015-01-20,4701.78
2015-01-19,4689.35
2015-01-16,4827.71
2015-01-15,4727.08
2015-01-14,4742.34
2015-01-13,4718.99
2015-01-12,4751.94
2015-01-09,4833.34
2015-01-08,4976.09
2015-01-07,4939.8
2015-01-06,4794.98
2015-01-05,4735.65
2015-01-02,4788.71
2014-12-30,4938.59
2014-12-29,4963.49
2014-12-26,4934.85
2014-12-23,4970.19
2014-12-22,4930.31
2014-12-19,4891.28
2014-12-18,4806.18
2014-12-17,4831.77
2014-12-16,4615.2
2014-12-15,4648.36
2014-12-12,4752.91
2014-12-11,4963.72
2014-12-10,4899.72
2014-12-09,4976.59
2014-12-08,4970.91
2014-12-05,5155.09
2014-12-04,5076.52
2014-12-03,5153.11
2014-12-02,5111.28
2014-12-01,5171.28
2014-11-28,5419.44
2014-11-27,5411.3
2014-11-26,5448.47
2014-11-25,5504.6
2014-11-24,5435.81
2014-11-21,5523.98
2014-11-19,5237.48
2014-11-18,5059.09
2014-11-17,4891.75
2014-11-14,4908.08
2014-11-13,4894.95
2014-11-12,5017.84
2014-11-11,4963.84
2014-11-10,4967.04
2014-11-07,4993.21
2014-11-06,4934.65
2014-11-05,5086.51
2014-11-04,5194.53
2014-11-03,5099.23
2014-10-31,5159.59
2014-10-30,5017.39
2014-10-29,4775.56
2014-10-28,4912.69
2014-10-27,4682.08
2014-10-24,4769.4
2014-10-23,4671.81
2014-10-22,4871.03
2014-10-21,4888.26
2014-10-20,5108.15
2014-10-17,5252.09
2014-10-16,5083.53
2014-10-15,5250.66
2014-10-14,5450.32
2014-10-13,5447.82
2014-10-10,5143.68
2014-10-09,5337.16
2014-10-08,5270.83
2014-10-07,5316.85
2014-10-06,5288.33
2014-10-03,5002.59
2014-10-02,4925.76
2014-10-01,4861.15
2014-09-30,4972.47
2014-09-29,5072.95
2014-09-26,5343.52
2014-09-25,5213.29
2014-09-24,5313.98
2014-09-23,5293.58
2014-09-22,5325.93
2014-09-19,5417.97
2014-09-18,5506.23
2014-09-17,5576.51
2014-09-16,5574.85
2014-09-15,5446.51
2014-09-12,5326.98
2014-09-11,5479.03
2014-09-10,5486.45
2014-09-09,5552.41
2014-09-08,5610.94
2014-09-05,5743.42
2014-09-04,5720.89
2014-09-03,5842.68
2014-09-02,5848.47
2014-09-01,5759.12
2014-08-29,5743.63
2014-08-28,5612.18
2014-08-27,5642.24
2014-08-26,5524.99
2014-08-25,5505.57
2014-08-22,5372.18
2014-08-21,5416.85
2014-08-20,5395.71
2014-08-19,5416.07
2014-08-18,5309.96
2014-08-15,5259.17
2014-08-14,5175.06
2014-08-13,5094.41
2014-08-12,5123.3
2014-08-11,5120.03
2014-08-08,5008.51
2014-08-07,5063.97
2014-08-06,5107
2014-08-05,5123.11
2014-08-04,5143.23
2014-08-01,5074.13
2014-07-31,5063.83
2014-07-30,5152.87
2014-07-29,5199.06
2014-07-28,5236.94
2014-07-25,5264.3
2014-07-24,5281.2
2014-07-23,5217.64
2014-07-22,5229.07
2014-07-21,5196.34
2014-07-18,5134.32
2014-07-17,4970.5
2014-07-16,4980.64
2014-07-15,5074.33
2014-07-14,5065.29
2014-07-11,4971.24
2014-07-10,4958.52
2014-07-08,4822.71
2014-07-07,4841.59
2014-07-04,4835.3
2014-07-03,4839.62
2014-07-02,4778.69
2014-07-01,4852.58
2014-06-30,4831.41
2014-06-27,4854.81
2014-06-26,4881.59
2014-06-25,4883.98
2014-06-24,5002.59
2014-06-23,4947.24
2014-06-20,4979.6
2014-06-18,5034.96
2014-06-17,4972.75
2014-06-16,5037.44
2014-06-13,5033.62
2014-06-11,5021.23
2014-06-10,4945.57
2014-06-09,4896.09
2014-06-06,4774
2014-06-05,4623.01
2014-06-04,4631.55
2014-06-03,4657.58
2014-06-02,4609.96
2014-05-30,4585.59
2014-05-29,4672.49
2014-05-28,4724.55
2014-05-27,4661.56
2014-05-26,4696.11
2014-05-23,4692.45
2014-05-22,4719.32
2014-05-21,4666.62
2014-05-20,4747.58
2014-05-19,4817.7
2014-05-16,4847.31
2014-05-15,4810.79
2014-05-14,4842.72
2014-05-13,4813.63
2014-05-12,4834.51
2014-05-09,4778.3
2014-05-08,4805.21
2014-05-07,4863.8
2014-05-06,4840.95
2014-05-05,4822.16
2014-05-02,4759.8
2014-04-30,4690.04
2014-04-29,4704.47
2014-04-28,4628.13
2014-04-25,4647.68
2014-04-24,4671.55
2014-04-23,4618.43
2014-04-22,4646.86
2014-04-17,4617.93
2014-04-16,4529.45
2014-04-15,4468.51
2014-04-14,4531.46
2014-04-11,4563.76
2014-04-10,4491.64
2014-04-09,4476.04
2014-04-08,4512.95
2014-04-07,4593.54
2014-04-04,4463.66
2014-04-03,4507.69
2014-04-02,4541.73
2014-04-01,4421.73
2014-03-31,4412.12
2014-03-28,4320.33
2014-03-27,4327.86
2014-03-26,4204.27
2014-03-25,4178.61
2014-03-24,4160.44
2014-03-21,4074.72
2014-03-20,4089.92
2014-03-19,4012.6
2014-03-18,3959.54
2014-03-17,3880.42
2014-03-14,3828.15
2014-03-13,3883.51
2014-03-12,3924.76
2014-03-11,3940.25
2014-03-10,3926
2014-03-07,3970.88
2014-03-06,4019.66
2014-03-05,3946.54
2014-02-28,3970.86
2014-02-27,3983.7
2014-02-26,3896.46
2014-02-25,3920.25
2014-02-24,3961.89
2014-02-21,3947.09
2014-02-20,3919.17
2014-02-19,3922.68
2014-02-18,3872.64
2014-02-17,3901.99
2014-02-14,3934.52
2014-02-13,3901.45
2014-02-12,3942.88
2014-02-11,3978.32
2014-02-10,3929.15
2014-02-07,3936.72
2014-02-06,3929.27
2014-02-05,3824.78
2014-02-04,3834.89
2014-02-03,3726.06
2014-01-31,3824.38
2014-01-30,3761.54
2014-01-29,3777.58
2014-01-28,3848.18
2014-01-27,3846.81
2014-01-24,3822.21
2014-01-23,3875.56
2014-01-22,3961.54
2014-01-21,3933.89
2014-01-20,3926.68
2014-01-17,3948.21
2014-01-16,4001.09
2014-01-15,4040.99
2014-01-14,4028.16
2014-01-13,3982.2
2014-01-10,3995.8
2014-01-09,3967.66
2014-01-08,4074.54
2014-01-07,4052.9
2014-01-06,4083.79
2014-01-03,4084.03
2014-01-02,4095.57
2013-12-30,4132.34
2013-12-27,4114.26
2013-12-26,4111.89
2013-12-23,4108.41
2013-12-20,4097.92
2013-12-19,4129.96
2013-12-18,4071.44
2013-12-17,4060.33
2013-12-16,4057.14
2013-12-13,4052.45
2013-12-12,4046.08
2013-12-11,4008.49
2013-12-10,4097.58
2013-12-09,4129.45
2013-12-06,4126.72
2013-12-05,4092.14
2013-12-04,4105.82
