dia;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;ano
1;;2210,9;;2474,63;;;2687,86;2359,98;2199,48;1642,22;;1051,13;2008
2;2215,22;;;2473,52;2766,17;3040,9;2550,85;;2123,38;1509,38;;1050,11;2008
3;2244,82;;2427,43;2528,23;;2996,81;2441,92;;2071,09;1444,63;1209,22;1045,32;2008
4;2171,25;;2389,36;2563,5;;2932,17;2412,89;2229,35;1963,9;;1284,99;1037,72;2008
5;;;2428,66;;2800,23;3066,49;;2253,81;1979,31;;1179,61;1018,4;2008
6;;2145,23;2396,43;;2846,65;3041,24;;2289,08;;1349,12;1131,57;;2008
7;2125,57;2148,32;2362,62;2583,83;2827,46;;2461,44;2260,27;;1264,33;1117,81;;2008
8;2161,35;2163,72;;2609,37;2893,71;;2469,81;2218,59;1925,17;1207,95;;1135,85;2008
9;2165,36;;;2559,59;2911,37;3015,79;;;1808,03;1173,18;;1156,12;2008
10;2200,34;;2280,46;2565,58;;2952,76;2533,97;;1877,94;1150,58;1126,81;1217,16;2008
11;2154,18;2227,18;2359,49;2536,87;;2884,46;2516,02;2118,75;1944,36;;1155,29;1193,36;2008
12;;2252,53;2379,42;;2957,83;2901,84;;2073,97;1986,82;;1074,02;1206,57;2008
13;;2265,39;2414,38;;2959,09;2869,35;;2105,08;;1298,53;1108,5;;2008
14;2189,31;2267,56;2439,12;2497,36;2937,27;;2536,27;2135,29;;1301,59;1104,98;;2008
15;2133,21;2260,61;;2534,75;3017,93;;2515,14;2081,3;1823,52;1126,5;;1190,44;2008
16;2078,07;;;2632,77;3115,97;2859,72;2539,15;;1853,63;1149,67;;1245,72;2008
17;2014,98;;2364,2;2608,05;;2951,17;2428,12;;1701,04;1153,92;1092,1;1251,58;2008
18;2043,14;2317,87;2429,03;2617,94;;2898,19;2403,23;2038,76;1795,72;;1041,21;1253,39;2008
19;;2328,57;2312,12;;3156,57;2904,35;;2043,54;1985,04;;1008,18;1241,16;2008
20;;2394,6;2293,22;;3141,58;2773,1;;2151,81;;1263,39;;;2008
21;1889,76;2433,98;;;3069,91;;2516,47;2198,48;;1243,43;934,81;;2008
22;1979,13;2436,41;;2669,85;;;2450,13;2186,95;1927,55;1123,15;;1170,22;2008
23;1908,31;;;2669,24;3060,97;2743,02;2430,56;;1826,85;1085,29;;1130,95;2008
24;2022,48;;2324,89;2632,75;;2711,15;2309,88;;1819,51;1017,88;1028,15;;2008
25;;2439,1;2380,54;2646,16;;2779,77;2268,57;2128,4;1870,61;;1060,58;;2008
26;;2436,99;2393,48;;3081,22;2706,45;;2130,12;1790,62;;1115,29;1149,24;2008
27;;2434,28;2372,85;;3052,55;2706,74;;2175,77;;952,72;1111,42;;2008
28;2062,32;2442,41;2375,69;2693,03;3125,33;;2283,86;2217,58;;1089,18;1118,84;;2008
29;2106,41;2382,81;;2608,06;3032,2;;2349,51;2215,73;1573,53;1122,76;;1156,83;2008
30;2133,02;;;2767,4;3056,53;2748,07;2485,48;;1665,47;1226,9;;1182,93;2008
31;2117,63;;2390,45;;;;2456,59;;;1201,05;;;2008
1;;;;1254,97;;1816,72;1692,45;;1873,91;2003,65;;2327,61;2009
2;1271,31;1265,47;1098,78;1322,68;;1818,82;1670,87;;1848,49;2037,58;;2346,44;2009
3;;1304,96;1115,24;1352,23;;1741,19;1667,84;1906,27;1866,17;;2172,01;2338,54;2009
4;;1346,45;1192,54;;1582,11;1776,96;;1904,4;1897,88;;2223,65;2318,5;2009
5;1342,85;1389,29;1131,55;;1610,02;1793,6;;1919,95;;2091,18;2247,85;;2009
6;1390,67;1439,43;1105,84;1335,88;1669,96;;1652,96;1905,65;;2115;2227,14;;2009
7;1351,02;;;1318,71;1605,65;;1602,66;1926,71;;2131,55;;2360,17;2009
8;1424,75;;;1326,69;1659,28;1796,61;1600,17;;1950,75;2171,24;;2322,82;2009
9;1406,84;1399,47;1080,18;1379,78;;1775,29;;;1938,32;2181,01;2284,73;2338,83;2009
10;;1352,27;1144,4;;;1780,59;1585,11;1943,36;1963,58;;2281,9;2384,01;2009
11;;1326,28;1148,06;;1654,28;;;1902,75;1958,21;;2288,24;2400,16;2009
12;1308,39;1297,55;1150,16;;1615,96;1781,23;;1953,09;;;2208,35;;2009
13;1311,86;1342,57;1125,93;1407,94;1540,54;;1558,82;1982,01;;2213,37;2228,88;;2009
14;1257,7;;;1402,23;1539,33;;1545,28;1956,9;1972,22;2311,5;;2404,28;2009
15;1297,78;;;1404,77;1531,86;1712,16;1642,87;;1988,05;2355,28;;2399,94;2009
16;1321,45;1343,04;1109,39;1433,41;;1663,85;1679,44;;2039,7;2319,06;2290,41;2370,26;2009
17;;1272,63;1110,71;1441,28;;1664,01;1689,5;1886,59;2031,67;;2307,72;2318,38;2009
18;;1267,07;1133,77;;1629,08;1658,74;;1894,87;2049,97;;2274,21;2290,38;2009
19;1309,75;1261,71;1152,61;;1650,02;1664,34;;1890,31;;2386,58;2281,68;;2009
20;1248,59;1207,78;1149,69;1387,13;1638,85;;1748,97;1927,8;;2319,24;;;2009
21;1285,25;;;;1583,84;;1763,89;1957,4;2067,36;2344,35;;2255,37;2009
22;1271,85;;;1421,71;1595,18;1585,75;1765,97;;2092,02;2366,14;;2337,48;2009
23;1261,36;;1218,69;1439,55;;1624,53;1809,25;;2052,81;2313,9;2283,93;2349,35;2009
24;;;1193,76;1461,74;;1621,08;1805,14;1972,87;2033,14;;2300,52;;2009
25;;1166,8;1215,8;;1614,58;1686,84;;1946,12;2036,25;;2327,84;;2009
26;1268,24;1154,44;1265,84;;1653,02;1690,83;;1938,26;;2303,49;2279,87;;2009
27;1272,69;1152,6;1251;1421,5;1667,52;;1811,65;1949,63;;2213,19;2293,65;;2009
28;1315,55;;;1414,23;1724,91;;1821,06;1947,08;2063,55;2081,91;;2352,46;2009
29;1294,76;;;1440,02;1751,48;1715,34;1787,51;;2045,22;2215,61;;2361,54;2009
30;1278,42;;1195,23;1466,73;;1684,59;1829,85;;2052,27;2138,97;2282,6;2370,68;2009
31;;;1222,35;;;;1859,29;1898,59;;;;;2009
1;;2315,33;2392,83;2713,77;;2159,22;2132,53;;2259,07;2307,13;2293,69;2188,31;2010
2;;2342,09;2407,23;;;2197,15;2133,1;2343,98;2250,32;;;2212,36;2010
3;;2332,76;2403,58;;2444,92;;;2359,75;2236,56;;2311,34;2215,72;2010
4;2418,06;2226,9;2422,45;;2345,82;2106,66;;2388,89;;2296,85;2360,03;;2010
5;2450,19;2191,89;2476,91;2725,2;2352,38;;2111,46;2392,31;;2305,66;2336,25;;2010
6;2473,09;;;2713,93;2305,63;;2150,96;2375,04;2236,05;2281,65;;2239,1;2010
7;2459,74;;;2693,94;2267,37;2048,54;2189,91;;;2250,04;;2249,03;2010
8;2466,88;2200,44;2486,18;2740,97;;2076,41;2204,54;;2245,76;2271;2366,39;2211,07;2010
9;;2243,66;2537,38;2735,23;;2083,39;;2365,19;2251,82;;2345,72;2218,03;2010
10;;2249,06;2545,43;;2367,65;2169,28;;2337,63;2236,34;;2356,81;2256,91;2010
11;2492,23;2309,56;2543,26;;2327,66;2204,51;;2258,8;;2280,03;2341,82;;2010
12;2461,81;2295,32;2529,5;2697,29;2352,02;;2172,24;2275,08;;;2308,28;;2010
13;2477,99;;;2716,57;2320,06;;2171,5;2266,89;2268,18;2267,51;;2310,69;2010
14;2473,24;;;2729;2256,8;2208,21;2136,96;;2256,61;2264,8;;2284,65;2010
15;2440,02;;2519,67;2705,55;;2235,78;2116,72;;2263,23;2277,15;;2248,73;2010
16;;;2568,42;2664,71;;2239,8;2076,92;2282,61;2259,12;;2247,52;2231,28;2010
17;;2356,01;2566,03;;2187,78;2215,41;;2305,91;2232,15;;2256,35;2249,97;2010
18;2448,39;2380,21;2561,52;;2106,91;2209,29;;2299,46;;2285,04;2293,9;;2010
19;2472,82;2373,09;2527,93;2617,85;2068,47;;2119,77;2276,26;;2224,85;2291,38;;2010
20;2406,35;;;2602,18;1998,6;;2206,91;2255,79;2251,74;2225,51;;2212,69;2010
21;2314,97;;;;2106,45;2239,39;2233,59;;2252,02;2214,9;;2258,87;2010
22;2283,49;2355,29;2516,51;2617,84;;2237,11;2289,06;;2262,42;2223,21;2245,41;2249,08;2010
23;;2317,81;2567,61;2632,44;;2267,35;2327,74;2226,9;2254,39;;2182,33;2245,16;2010
24;;2296,88;2552,5;;2092,04;2242,9;;2201,1;2238,59;;2240,53;;2010
25;;2343,26;2527,02;;2065,44;2269,97;;2185,46;;2225,86;2218,72;;2010
26;2266,46;2357,02;2567,36;2615,06;2068,97;;2327,99;2157,94;;2237,64;2174,1;;2010
27;2240,05;;;2501,15;2174,07;;2324,94;2217,4;2272,31;2236,2;;2215,32;2010
28;2259,95;;;2484,27;2173,58;2250,29;2327,45;;2308,06;2257,54;;2190,75;2010
29;2268,87;;2646,62;2531,88;;2151,74;2323,13;;2288,63;2273,33;2154,83;2217,47;2010
30;;;2648,56;2484,44;;2108,68;2298,09;2166,81;2290,38;;2132,04;2228,14;2010
31;;;2658,36;;2215,92;;;2179,03;;;;;2010
1;;2296,73;2168,38;2201,22;;2023,17;1975,68;1742,89;1715,25;;1695,64;1605,27;2011
2;;2260,55;2193,57;;2111,05;2041,7;;1696,59;1667,48;;;1598,43;2011
3;2260,81;2284,8;2247,55;;2063,66;2031,22;;1654,64;;1529,72;1727,31;;2011
4;2310,35;2231;2234,2;2221,26;2046,55;;2004,54;1546,09;;1514,36;1755,69;;2011
5;2343,42;;;2217,98;2031,14;;1974,35;1567,21;1618,05;1532,51;;1638,48;2011
6;2336,19;;;2191,09;2057,16;1985,17;1964,62;;1674,5;1571,31;;1664,72;2011
7;2335,2;2245,91;;2194,44;;1987,03;1965,63;;;1535,65;1764,41;1627,13;2011
8;;2255;;2187,16;;1972,33;1936,4;1431,31;1718,83;;1758,88;1581,15;2011
9;;2189,25;2209,15;;2052,08;1974,38;;1495,14;1685,13;;1709,46;1602,54;2011
10;2327,52;2207,6;2154,78;;2060,48;1948,37;;1507,57;;1603,13;1701,9;;2011
11;2348,54;2231,95;2167,53;2180,42;2027,78;;1890,32;1615,85;;1617,59;1741,23;;2011
12;2398,86;;;2132,95;2034,56;;1854,89;1647,27;1688,98;;;1574,71;2011
13;2369,48;;;2091,91;1997,96;1919,47;1874,58;;1690,27;1629,35;;1585,2;2011
14;2371,45;2252,38;2210,37;2083,3;;1931,67;1843,54;;1729,68;1649,7;1715,22;1561,41;2011
15;;2249,26;2209,35;2090,75;;1914,45;1824,32;1664,75;1735,29;;;1553,28;2011
16;;2288,83;2152,62;;1985,18;1888,38;;1625,55;1763,31;;1730,48;1547,61;2011
17;2361,83;2291,35;2157,58;;2012,16;1879,76;;1649,76;;1598,81;1686,27;;2011
18;2365,29;2304,69;2186,49;2055,52;2011,45;;1808,17;1588,62;;1626,63;1669,91;;2011
19;2321,38;;;2069,4;2001,54;;1816,1;1561,74;1787,66;1586,56;;1516,87;2011
20;2309,38;;;2180,52;1997,53;1879,87;1805,36;;1750,23;1553,43;;1567;2011
21;2308,09;2255,82;2161,49;;;1890,26;1844,04;;1736,12;1599,98;1646,46;1574,35;2011
22;;2215,96;2170,41;;;1885,69;1828,11;1573,74;1651,12;;1622,52;1599,58;2011
23;;2199,68;2181,79;;1982,19;;;1643,16;1635,56;;1582,89;1613,86;2011
24;2311,77;2190,85;2173,61;;2006,19;1880,6;;1637,69;;1666,94;1569,97;;2011
25;;2189,56;2170,03;2182,11;2011,87;;1812,89;1601,23;;1641,9;1557,38;;2011
26;2283,99;;;2194,09;2028,11;;1777,54;1612,09;1649,46;1674,05;;1610,16;2011
27;2261,53;;;2158,72;2039,28;1885,01;1765,07;;1647,6;1765,17;;1625,42;2011
28;2212,4;2209,98;2158,82;2130,66;;1917,11;1774,25;;1621,3;1774,42;1583,77;1582;2011
29;;;2180,36;2152,24;;1939,26;1757,67;1655,49;1614,4;;1536,17;1592,87;2011
30;;;2177,64;;2032,39;1941,06;;1664,94;1585,64;;1578,64;;2011
31;2237,4;;2193,91;;2068,42;;;1695,7;;1738,98;;;2011
1;;1865,87;1892,84;;;1540,11;;1588,59;;1758,45;1767,84;;2012
2;1618,42;1862,73;1928,47;1907,82;1867,58;;1601,45;1581,42;;1746,86;;;2012
3;1677,04;1900,51;;1872,07;1844,85;;1632,69;1640,91;1567,86;1728,59;;1812,49;2012
4;1676,95;;;1843,05;1775,72;1543,64;1652,84;;1542,28;1729,65;;1809,84;2012
5;1662,98;;1900,88;1844,59;;1517,55;1661,6;;1608,12;1725,45;1764,42;1817,68;2012
6;1664,26;1895,71;1824,27;;;1561,51;1619,14;1694,36;1668,37;;1816,68;1802,84;2012
7;;1911,21;1823,73;;1777,78;;;1655,85;;;1786,09;1839,18;2012
8;;1902,44;1847,57;;1735,62;1570,68;;1691,91;;1761,22;1763,74;;2012
9;1671,01;1902,01;1864,87;1829,57;1736,28;;;1674,7;;1757,1;1759,26;;2012
10;1706,38;1846,74;;1803,88;1740;;1558,79;1693,95;1691,6;1733,31;;1860,29;2012
11;1718,04;;;1795,53;1722,57;1562,89;1550,51;;1737,02;1755,03;;1877,17;2012
12;1722,05;;1862,78;1849,46;;1594,52;1548,68;;1773,98;;1763,89;1867,26;2012
13;1696,55;1880,8;1947,96;1835,92;;1609,81;1575,02;1692,82;1874,3;;1766,84;1842,72;2012
14;;1845,35;1970,34;;1674,26;1607,74;;1665,32;1892,19;;1721,67;1850,72;2012
15;;1835,11;1969,54;;1646,61;1632,91;;1658,23;;1771,58;;;2012
16;1719,61;1848,86;1975,69;1822,04;1626,39;;1536,04;1703,99;;1798,63;1690,53;;2012
17;1747,11;1862,39;;1857,22;1568,28;;1555,27;1682,63;1876,48;1808,6;;1859,7;2012
18;1771,35;;;1901,48;1573,08;1618,82;1579,34;;1860,21;1795,2;;1914,37;2012
19;1770,22;;1976,9;1880,31;;1639,95;1591;;1853,44;1749,71;1729,74;1907,37;2012
20;1797,54;;1954,9;1883,96;;1634,77;1546,06;1689,99;1859,82;;;1910,55;2012
21;;;1921,47;;1646,37;1580,68;;1672,72;1840,89;;1751,25;1900,17;2012
22;;1865,27;1885,42;;1622,26;1567,98;;1693,68;;1753,23;1756,09;;2012
23;1798,22;1861,27;1907,96;1849,68;1606,51;;1507,31;1663,18;;1733,94;1804,13;;2012
24;1800,05;1867,39;;1868,13;1576,69;;1481,27;1640,89;1851,64;1720,07;;;2012
25;;;;1865,63;1576,44;1534,66;1463,73;;1779,8;1740,91;;;2012
26;1811,26;;1931,61;1872,8;;1539,24;1504,07;;1785,59;1708,16;1781,91;1904,15;2012
27;1816,63;1844,89;1897,68;1862,02;;1537,26;1583,33;1610,77;1769,21;;1760,32;1899,75;2012
28;;1871,79;1857,12;;1594,12;1516,32;;1612,03;1747,08;;1776,33;1915,81;2012
29;;1871,53;1868,27;;1594,3;1599,03;;1559,34;;1722,3;1834,54;;2012
30;1809,96;;1860,62;1863,09;1572,36;;1603,93;1559,93;;1734,92;1798,77;;2012
31;1823,81;;;;1558,81;;1604,45;1574,41;;1723,61;;;2012
1;;1861,43;1719,01;1706,39;;;1477,22;1578,7;;1762,64;1937,39;;2013
2;1998,94;;;1664,86;1663,54;;1425,78;1561,47;1798,07;1770,9;;1921,71;2013
3;2003,2;;;1703,69;1672,32;1562,24;1441,41;;1785,5;1749,06;;1895,4;2013
4;1951,2;1830,17;1705,03;1673,97;;1566,23;1462,16;;1796,8;1778,63;1933,21;1898,27;2013
5;;1835,86;1684,22;1696,38;;1523,78;1427,13;1563,34;1790,55;;1922,88;1950,39;2013
6;;1842,45;1752,68;;1670,87;1522,99;;1538,77;1783,97;;1926,09;1948,64;2013
7;1947,89;1810,79;1762,97;;1682,4;1507,19;;1563,37;;1779,93;1917,8;;2013
8;1930,46;1809,55;1749,54;1693,06;1657,3;;1409,7;1600,83;;1783,51;1924,59;;2013
9;1931,4;;;1719,95;1639,25;;;1629,74;1817,38;1783,42;;1959,51;2013
10;1933,86;;;1707,97;1619,05;1490,05;1416,31;;1834,59;1790,23;;1954,39;2013
11;1920,95;;1758,98;1679,96;;1446,29;1460,88;;1818,78;1818;1935,85;1927,48;2013
12;;;1753,16;1667,91;;1420,45;1429,27;1644,31;1815,77;;1904,39;1913,23;2013
13;;1810,13;1720,78;;1593,25;1473,18;;1651,3;1818,86;;1904,92;1908,44;2013
14;1943,29;1796,55;1723,52;;1575,94;1451,49;;1662,46;;1866,17;1942,61;;2013
15;1924,13;1783,19;1694,98;1590,9;1556,78;;1474,69;1660,22;;1877,18;;;2013
16;1917,2;;;1631,46;1553,23;;1478,62;1733,34;1805,02;1878,87;;1908,95;2013
17;1925,84;;;1612,84;1571,82;1461,86;1502,39;;1787,38;1850,22;;1915,65;2013
18;1914,77;1761,66;1706,19;1635,53;;1489,26;1504,16;;1805,25;1842,62;1977,06;1958,06;2013
19;;1743,89;1669,61;1644,44;;1460,43;1488,82;1800,76;1783,56;;1938,45;2009,82;2013
20;;1686,42;1670,81;;1593,08;1480;;1756,79;1761,16;;;1991,69;2013
21;1910,81;1690,04;1656,89;;1606,59;1461,15;;1755,89;;1860,86;1929,09;;2013
22;1901,58;1700,19;1664,27;1657,18;1603,55;;1517,64;1790,78;;1900,15;1929,76;;2013
23;1914,11;;;1690,74;1591,03;;1540,93;1771,34;1783,22;1872,76;;2007,69;2013
24;1873,44;;;1695,5;1588,44;1406,48;1536,27;;1762,17;1861,89;;;2013
25;;1719,5;1643,15;1695,6;;1436,35;1554,5;;1770,37;1841,29;1895,68;;2013
26;;1753,04;1684,7;1644,84;;1419,05;1573,59;1765,67;1782,12;;1868,07;2002,89;2013
27;;1750,74;1702,09;;1597,57;1448,24;;1739,17;1782,4;;1894,15;1999,66;2013
28;1821,81;1758,78;1710,86;;1589,56;1443,74;;1739,75;;1856,45;1908,6;;2013
29;1845,46;;;1658,83;1567,92;;1583,88;1743,67;;1847,54;1923,07;;2013
30;1818,83;;;1693,32;;;1546,25;1756,13;1748,52;1862,79;;2007,2;2013
31;1842,41;;;;1539,59;;1552,85;;;1905,38;;;2013
1;;;;1624,04;;;1483,19;1563,25;1503,86;1448,51;;1344,64;2014
2;1966,73;;;1665,47;1567,95;1509,77;1521,08;;1537,22;1468,59;;1338,5;2014
3;1971,66;1766,84;;1662,34;;1522,33;1562,5;;1562,97;1474,42;1435,04;1355,5;2014
