dia;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;ano
1;;9.619,69;;10.245,51;;;10.332,74;9.473,96;9.084,56;7.183,33;;4.862,91;2008
2;9.778,31;;;10.268,29;11.249,68;11.868,67;9.870,52;;8.885,13;6.738,97;;4.904,80;2008
3;9.901,38;;10.408,71;10.464,07;;11.702,52;9.480,18;;8.679,48;6.491,95;5.426,97;4.917,48;2008
4;9.647,16;;10.285,90;10.602,73;;11.514,60;9.328,48;9.138,87;8.251,02;;5.691,76;4.919,93;2008
5;;;10.374,39;;11.341,99;11.936,75;;9.322,46;8.329,35;;5.358,00;4.912,94;2008
6;;9.337,51;10.203,29;;11.438,08;11.778,58;;9.463,50;;6.117,11;5.208,00;;2008
7;9.529,71;9.374,64;10.039,19;10.599,55;11.337,19;;9.498,04;9.329,74;;5.795,16;5.234,40;;2008
8;9.601,26;9.396,25;;10.682,76;11.518,26;;9.618,60;9.266,70;8.186,57;5.487,38;;5.292,33;2008
9;9.657,72;;;10.476,93;11.540,22;11.690,29;;;7.833,18;5.282,20;;5.319,89;2008
10;9.801,01;;9.726,02;10.547,70;;11.468,96;9.834,88;;8.090,66;5.102,13;5.177,43;5.505,60;2008
11;9.624,05;9.685,79;10.024,05;10.381,58;;11.296,04;9.808,81;8.983,18;8.276,92;;5.277,80;5.430,32;2008
12;;9.852,68;10.056,32;;11.725,36;11.454,69;;8.856,63;8.334,31;;4.959,88;5.525,76;2008
13;;9.894,93;10.156,11;;11.727,42;11.308,78;;8.881,77;;5.742,84;5.192,98;;2008
14;9.682,99;9.823,87;10.232,43;10.268,50;11.673,19;;9.939,48;8.981,79;;5.842,11;5.145,35;;2008
15;9.401,97;9.757,60;;10.358,34;11.908,74;;9.936,45;8.788,94;7.796,14;5.191,07;;5.406,86;2008
16;9.201,76;;;10.648,58;12.186,27;11.271,25;10.156,94;;7.831,43;5.273,47;;5.599,04;2008
17;8.890,40;;9.989,05;10.509,32;;11.472,81;9.815,80;;7.274,85;5.311,01;5.069,89;5.535,92;2008
18;8.975,38;9.950,68;10.274,72;10.556,55;;11.189,06;9.685,24;8.637,44;7.571,68;;4.881,04;5.603,80;2008
19;;9.956,47;9.860,60;;12.271,56;11.219,52;;8.604,87;8.304,00;;4.740,74;5.495,09;2008
20;;10.170,02;9.855,83;;12.201,98;10.835,69;;8.903,59;;5.737,97;;;2008
21;8.454,06;10.276,93;;;11.933,70;;9.914,53;9.014,53;;5.666,65;4.581,13;;2008
22;8.799,28;10.311,58;;10.649,24;;;9.757,35;9.011,74;8.099,26;5.086,17;;5.303,38;2008
23;8.524,47;;;10.636,25;11.879,80;10.691,61;9.747,72;;7.770,34;4.976,07;;5.157,34;2008
24;8.944,80;;10.000,28;10.576,70;;10.517,09;9.367,53;;7.744,06;4.670,76;4.823,41;;2008
25;;10.360,67;10.202,50;10.621,12;;10.732,92;9.200,81;8.813,53;7.913,30;;4.896,72;;2008
26;;10.396,09;10.140,33;;11.981,28;10.466,52;;8.801,84;7.542,67;;5.062,86;5.159,54;2008
27;;10.428,10;9.974,17;;11.916,55;10.471,42;;8.923,92;;4.445,58;5.078,63;;2008
28;9.123,88;10.453,71;9.897,84;10.813,60;12.173,48;;9.202,66;9.119,72;;4.978,08;5.077,80;;2008
29;9.268,34;10.223,39;;10.489,53;11.933,32;;9.431,84;9.100,94;6.793,99;5.125,12;;5.181,03;2008
30;9.332,71;;;11.085,73;12.008,41;10.592,79;9.841,68;;7.216,57;5.445,61;;5.306,64;2008
31;9.250,33;;9.920,11;;;;9.750,15;;;5.384,88;;;2008
1;;;;5.478,03;;7.632,74;7.229,33;;8.238,77;8.854,27;;9.677,79;2009
2;5.656,34;5.350,12;4.688,84;5.686,63;;7.611,48;7.188,41;;8.154,02;8.946,44;;9.756,33;2009
3;;5.494,61;4.727,94;5.807,61;;7.350,36;7.201,50;8.198,88;8.216,03;;9.140,06;9.740,91;2009
4;;5.571,26;4.897,18;;6.791,74;7.474,40;;8.191,03;8.316,09;;9.352,15;9.695,59;2009
5;5.805,82;5.658,69;4.747,86;;6.859,29;7.459,92;;8.233,03;;9.144,06;9.463,81;;2009
6;5.914,50;5.820,65;4.717,40;5.796,39;7.022,88;;7.233,72;8.178,82;;9.271,37;9.415,71;;2009
7;5.809,68;;;5.729,95;6.841,46;;7.105,13;8.226,55;;9.259,42;;9.896,51;2009
8;6.023,39;;;5.746,35;7.043,96;7.486,88;7.074,37;;8.509,73;9.409,67;;9.783,60;2009
9;5.962,05;5.707,65;4.633,01;5.938,13;;7.426,60;;;8.485,07;9.457,72;9.628,91;9.804,19;2009
10;;5.575,56;4.862,69;;;7.428,31;7.021,99;8.360,06;8.569,19;;9.669,26;9.871,62;2009
11;;5.533,52;4.869,72;;6.990,44;;;8.263,62;8.554,09;;9.699,15;9.984,89;2009
12;5.677,61;5.458,33;4.942,43;;6.877,45;7.437,46;;8.406,86;;;9.355,46;;2009
13;5.679,36;5.567,00;4.907,54;6.006,16;6.628,12;;6.979,87;8.452,42;;9.605,23;9.369,12;;2009
