"datas","valor_fechamento"
2015-07-31,13160.92
2015-07-30,12795.05
2015-07-29,12746.11
2015-07-28,12765.05
2015-07-27,12593.01
2015-07-24,12787.88
2015-07-23,12924.82
2015-07-22,12944.28
2015-07-21,12970.74
2015-07-20,13012.19
2015-07-17,13144.12
2015-07-16,13249.79
2015-07-15,13191.83
2015-07-14,13231.53
2015-07-13,13263.49
2015-07-10,13213.43
2015-07-08,13164.38
2015-07-07,13180.22
2015-07-06,13032.72
2015-07-03,13057.23
2015-07-02,13093.36
2015-07-01,13044.56
2015-06-30,13170.76
2015-06-29,13120.64
2015-06-26,13334.92
2015-06-25,13153.16
2015-06-24,13281.93
2015-06-23,13355.97
2015-06-22,13387.84
2015-06-19,13339.61
2015-06-18,13342.92
2015-06-17,13233.8
2015-06-16,13293.86
2015-06-15,13199.7
2015-06-12,13295.01
2015-06-11,13345.65
2015-06-10,13400.02
2015-06-09,13237.69
2015-06-08,13213.41
2015-06-05,13271.25
2015-06-03,13210.52
2015-06-02,13328.09
2015-06-01,13174.5
2015-05-29,13103.46
2015-05-28,13311.43
2015-05-27,13359.5
2015-05-26,13225.56
2015-05-25,13451.83
2015-05-22,13371.23
2015-05-21,13446.9
2015-05-20,13426.34
2015-05-19,13541.21
2015-05-18,13511.22
2015-05-15,13643.59
2015-05-14,13579.1
2015-05-13,13534.4
2015-05-12,13600.12
2015-05-11,13713.48
2015-05-08,13689.92
2015-05-07,13519.16
2015-05-06,13618.52
2015-05-05,13682.61
2015-05-04,13586.09
2015-04-30,13354.65
2015-04-29,13164.36
2015-04-28,13004.78
2015-04-27,13007.28
2015-04-24,13159.37
2015-04-23,13217.48
2015-04-22,13103.63
2015-04-20,13051.07
2015-04-17,13082.74
2015-04-16,13223.81
2015-04-15,13241.93
2015-04-14,13155.59
2015-04-13,13333.16
2015-04-10,13389.85
2015-04-09,13371.69
2015-04-08,13389.54
2015-04-07,13388.66
2015-04-06,13328.35
2015-04-02,13166.3
2015-04-01,13104.54
2015-03-31,12947.86
2015-03-30,13017.28
2015-03-27,12832.69
2015-03-26,12854.58
2015-03-25,13018.35
2015-03-24,12875.55
2015-03-23,12978.78
2015-03-20,13027.11
2015-03-19,12926.81
2015-03-18,12868.62
2015-03-17,12703
2015-03-16,12498.69
2015-03-13,12541.97
2015-03-12,12457.98
2015-03-11,12439.21
2015-03-10,12395.66
2015-03-09,12552.44
2015-03-06,12528.95
2015-03-05,12495.17
2015-03-04,12467.28
2015-03-03,12540.56
2015-03-02,12464.99
2015-02-27,12493.01
2015-02-26,12647.32
2015-02-25,12557.11
2015-02-24,12569.43
2015-02-23,12581.25
2015-02-20,12517.99
2015-02-19,12509.59
2015-02-18,12448.14
2015-02-13,12278.69
2015-02-12,12238.59
2015-02-11,12123.76
2015-02-10,12194.7
2015-02-09,12275.52
2015-02-06,12172.5
2015-02-05,12136.4
2015-02-04,12082.16
2015-02-03,12096.02
2015-02-02,11991.03
2015-01-30,11931.99
2015-01-29,11919.29
2015-01-28,11724.08
2015-01-27,11726.58
2015-01-26,11725.53
2015-01-23,11708.79
2015-01-22,11776.87
2015-01-21,11695.33
2015-01-20,11483.14
2015-01-19,11561.93
2015-01-16,11770.59
2015-01-15,11566.16
2015-01-14,11466.61
2015-01-13,11546.32
2015-01-12,11698.22
2015-01-09,11683.26
2015-01-08,11884.42
2015-01-07,11939.82
2015-01-06,11603.28
2015-01-05,11468.46
2015-01-02,11715.84
2014-12-30,11961.78
2014-12-29,12046.79
2014-12-26,11892.3
2014-12-23,12051.82
2014-12-22,11911.91
2014-12-19,11928.43
2014-12-18,11687.73
2014-12-17,11700.31
2014-12-16,11341.88
2014-12-15,11243.18
2014-12-12,11349.33
2014-12-11,11709.79
2014-12-10,11621.33
2014-12-09,11638.41
2014-12-08,11701.33
2014-12-05,11953.34
2014-12-04,11890.95
2014-12-03,12035.51
2014-12-02,11853.83
2014-12-01,12016.59
2014-11-28,12498.45
2014-11-27,12361.35
2014-11-26,12367.66
2014-11-25,12502.42
2014-11-24,12579.19
2014-11-21,12649.2
2014-11-19,12390.66
2014-11-18,12177.55
2014-11-17,12015.26
2014-11-14,12086.29
2014-11-13,12063.51
2014-11-12,12323.87
2014-11-11,12173.74
2014-11-10,12222.61
2014-11-07,12341.34
2014-11-06,12254.19
2014-11-05,12342.75
2014-11-04,12384.13
2014-11-03,12223.72
2014-10-31,12333.71
