"datas","valor_fechamento"
2015-07-31,2784.43
2015-07-30,2743.19
2015-07-29,2702.57
2015-07-28,2730.91
2015-07-27,2720.69
2015-07-24,2724.63
2015-07-23,2791.99
2015-07-22,2855.12
2015-07-21,2855.09
2015-07-20,2868.75
2015-07-17,2878.79
2015-07-16,2933.5
2015-07-15,2917.22
2015-07-14,2913.62
2015-07-13,2875.48
2015-07-10,2857.79
2015-07-08,2841.9
2015-07-07,2845.09
2015-07-06,2841.16
2015-07-03,2850.21
2015-07-02,2851.52
2015-07-01,2826.3
2015-06-30,2833.95
2015-06-29,2811.98
2015-06-26,2842.02
2015-06-25,2782.08
2015-06-24,2836.6
2015-06-23,2903.42
2015-06-22,2934.74
2015-06-19,2893.23
2015-06-18,2906.74
2015-06-17,2859.56
2015-06-16,2859.03
2015-06-15,2869.03
2015-06-12,2885.77
2015-06-11,2920.14
2015-06-10,2947.43
2015-06-09,2933.23
2015-06-08,2945.5
2015-06-05,2957.58
2015-06-03,2972.2
2015-06-02,2994.26
2015-06-01,2994.13
2015-05-29,2931.54
2015-05-28,3001.55
2015-05-27,3033.44
2015-05-26,2974.18
2015-05-25,3019.3
2015-05-22,2968.28
2015-05-21,2989.46
2015-05-20,3041.72
2015-05-19,3075.48
2015-05-18,3078.3
2015-05-15,3112.39
2015-05-14,3092.2
2015-05-13,3032.06
2015-05-12,3123.89
2015-05-11,3134.2
2015-05-08,3109.99
2015-05-07,3097.73
2015-05-06,3113.42
2015-05-05,3090.9
2015-05-04,3009.55
2015-04-30,2931.18
2015-04-29,2946.45
2015-04-28,2966.15
2015-04-27,2912.35
2015-04-24,2959.14
2015-04-23,2946.36
2015-04-22,2907.13
2015-04-20,2874.73
2015-04-17,2888.21
2015-04-16,2910.08
2015-04-15,2894.4
2015-04-14,2865.49
2015-04-13,2886.75
2015-04-10,2866.28
2015-04-09,2870.95
2015-04-08,2852.45
2015-04-07,2877.39
2015-04-06,2915.04
2015-04-02,2867.24
2015-04-01,2841.51
2015-03-31,2761.23
2015-03-30,2746.06
2015-03-27,2684.86
2015-03-26,2706.54
2015-03-25,2773.24
2015-03-24,2804.22
2015-03-23,2798.2
2015-03-20,2783.91
2015-03-19,2664.17
2015-03-18,2678.35
2015-03-17,2623.5
2015-03-16,2571.58
2015-03-13,2572.6
2015-03-12,2599.67
2015-03-11,2532.33
2015-03-10,2516.88
2015-03-09,2514.58
2015-03-06,2576.92
2015-03-05,2578.67
2015-03-04,2563.94
2015-03-03,2619.53
2015-03-02,2628.65
2015-02-27,2673.27
2015-02-26,2698.69
2015-02-25,2619.82
2015-02-24,2586.29
2015-02-23,2549.53
2015-02-20,2560.48
2015-02-19,2612.36
2015-02-18,2590.77
2015-02-13,2543.55
2015-02-12,2492.27
2015-02-11,2410.73
2015-02-10,2399.93
2015-02-09,2437.83
2015-02-06,2424.03
2015-02-05,2454.9
2015-02-04,2488.79
2015-02-03,2512.25
2015-02-02,2523.76
2015-01-30,2450.27
2015-01-29,2532.35
2015-01-28,2469.44
2015-01-27,2463.3
2015-01-26,2424.43
2015-01-23,2455.77
2015-01-22,2529.04
2015-01-21,2554.81
2015-01-20,2526.75
2015-01-19,2526.48
2015-01-16,2666.83
2015-01-15,2602.01
2015-01-14,2606.34
2015-01-13,2566.96
2015-01-12,2561.45
2015-01-09,2602.11
2015-01-08,2739.96
2015-01-07,2738.62
2015-01-06,2687.38
2015-01-05,2656.49
2015-01-02,2680.3
2014-12-30,2755.89
2014-12-29,2789.91
2014-12-26,2754.72
2014-12-23,2730.4
2014-12-22,2710.26
2014-12-19,2664.53
2014-12-18,2628.41
2014-12-17,2660.52
2014-12-16,2574.43
2014-12-15,2659.4
2014-12-12,2690.28
2014-12-11,2709.63
2014-12-10,2696.73
2014-12-09,2712.31
2014-12-08,2700.41
2014-12-05,2764.26
2014-12-04,2765.85
2014-12-03,2798.19
2014-12-02,2780.86
2014-12-01,2755.64
2014-11-28,2860.63
2014-11-27,2862.14
2014-11-26,2829.52
2014-11-25,2838.74
2014-11-24,2846.96
2014-11-21,2863.92
2014-11-19,2747.1
2014-11-18,2684.49
2014-11-17,2638.39
2014-11-14,2670.11
2014-11-13,2701.29
2014-11-12,2748.7
2014-11-11,2752.62
2014-11-10,2754.63
2014-11-07,2747.48
2014-11-06,2714.04
2014-11-05,2744.52
2014-11-04,2764.81
2014-11-03,2738.96
2014-10-31,2757.72
2014-10-30,2715.08
2014-10-29,2694.89
2014-10-28,2677.8
2014-10-27,2580.22
2014-10-24,2701.26
2014-10-23,2622.33
2014-10-22,2747.64
2014-10-21,2759.55
2014-10-20,2855.56
2014-10-17,2901.81
2014-10-16,2826.57
2014-10-15,2893.8
