"datas";"ICON";"IEE";"IFNC";"IMAT";"IMOB";"INDX";"UTIL"
"2015-07-31";2826,25;29605,9;5147,2;1317,87;489,18;13160,92;2784,43
"2015-07-30";2769,86;29121,69;5055,1;1287,59;477,33;12795,05;2743,19
"2015-07-29";2744,39;28568,04;5122,48;1301,97;478,64;12746,11;2702,57
"2015-07-28";2739,96;28770,82;5044,35;1303,36;472,84;12765,05;2730,91
"2015-07-27";2722,94;28871,16;4984,49;1244,02;471,56;12593,01;2720,69
"2015-07-24";2752,11;28758,31;4981,5;1269,72;475,57;12787,88;2724,63
"2015-07-23";2781,58;29468,97;5024,97;1279,53;483,97;12924,82;2791,99
"2015-07-22";2829,26;30199,53;5222,31;1251,94;502,24;12944,28;2855,12
"2015-07-21";2842,64;30322,56;5288,64;1246,24;505,55;12970,74;2855,09
"2015-07-20";2852,44;30430,94;5306,95;1256,26;503,62;13012,19;2868,75
"2015-07-17";2882,11;30564,79;5359,17;1268,1;510,21;13144,12;2878,79
"2015-07-16";2909,55;31009,43;5405,33;1304,63;512,68;13249,79;2933,5
"2015-07-15";2897,32;30861,82;5419,97;1294,16;512,96;13191,83;2917,22
"2015-07-14";2897,05;30868,06;5438,45;1309,23;508,85;13231,53;2913,62
"2015-07-13";2898,63;30580,02;5404,4;1337,16;507,17;13263,49;2875,48
"2015-07-10";2884,98;30360,01;5375,92;1307,19;505,14;13213,43;2857,79
"2015-07-08";2855,07;30315,74;5254,2;1309,7;500,72;13164,38;2841,9
"2015-07-07";2871,8;30521,04;5320,13;1331,98;499,11;13180,22;2845,09
"2015-07-06";2848,19;30541,15;5329,92;1332,18;498,59;13032,72;2841,16
"2015-07-03";2855,52;30695,39;5371,4;1338,4;502,23;13057,23;2850,21
"2015-07-02";2858,03;30690,95;5420,43;1353,19;506,56;13093,36;2851,52
"2015-07-01";2839,22;30426,82;5374,09;1363,22;510,89;13044,56;2826,3
"2015-06-30";2847,94;30253,31;5366,72;1380,66;506,64;13170,76;2833,95
"2015-06-29";2827,15;30106,9;5317,01;1401,46;504,19;13120,64;2811,98
"2015-06-26";2874,62;30291,98;5384,84;1432,91;511,55;13334,92;2842,02
"2015-06-25";2860,28;29708,42;5304,64;1412,43;506,84;13153,16;2782,08
"2015-06-24";2884,2;30186,85;5327,67;1429,94;509,83;13281,93;2836,6
"2015-06-23";2888,66;30535,58;5316,46;1437,43;512,27;13355,97;2903,42
"2015-06-22";2903,33;30730,55;5291,75;1425,91;509,61;13387,84;2934,74
"2015-06-19";2882,24;30445,47;5256,05;1444,38;509,83;13339,61;2893,23
"2015-06-18";2899,1;30447,39;5319,87;1442,15;513,15;13342,92;2906,74
"2015-06-17";2887,04;30018,53;5198,44;1416,15;504;13233,8;2859,56
"2015-06-16";2894,9;29959,76;5257,7;1442,06;506,05;13293,86;2859,03
"2015-06-15";2868,58;30092,94;5158,65;1469,93;504,21;13199,7;2869,03
"2015-06-12";2876,8;29992,89;5156,32;1483,77;507,24;13295,01;2885,77
"2015-06-11";2889,03;30229,78;5200,62;1494,44;516,19;13345,65;2920,14
"2015-06-10";2897;30335,84;5243,74;1487,13;525,96;13400,02;2947,43
"2015-06-09";2850,47;30326,71;5101,58;1478,48;519,9;13237,69;2933,23
"2015-06-08";2840,92;30469,38;5135,83;1471,54;527,51;13213,41;2945,5
"2015-06-05";2836,79;30520,38;5135,72;1493,83;525,31;13271,25;2957,58
"2015-06-03";2819,56;30745,99;5218,78;1505,01;528,11;13210,52;2972,2
"2015-06-02";2848,57;30903,25;5316,73;1522,77;538,15;13328,09;2994,26
"2015-06-01";2814,83;30787,59;5197,52;1488,56;530,44;13174,5;2994,13
"2015-05-29";2793,34;30202,54;5172,88;1485,15;531,57;13103,46;2931,54
"2015-05-28";2837,94;30963,53;5324,19;1513,14;539,97;13311,43;3001,55
"2015-05-27";2848,25;31242,23;5358,71;1543,89;545,09;13359,5;3033,44
"2015-05-26";2838,27;30668,65;5269,09;1521,26;537,5;13225,56;2974,18
"2015-05-25";2899,84;30994,33;5370,93;1523,12;550,86;13451,83;3019,3
"2015-05-22";2880,91;30518,72;5329,32;1512,6;555,92;13371,23;2968,28
"2015-05-21";2907,73;30595,89;5453,67;1518,41;561,02;13446,9;2989,46
"2015-05-20";2890,46;30948,28;5497,93;1519,05;560,39;13426,34;3041,72
"2015-05-19";2910,28;31124,97;5573,59;1530,38;561,63;13541,21;3075,48
"2015-05-18";2910,63;31089,73;5645,57;1558,85;561,32;13511,22;3078,3
"2015-05-15";2943,28;31260,31;5738,27;1583,56;570,5;13643,59;3112,39
"2015-05-14";2916,53;30959,91;5650,96;1592,58;563,69;13579,1;3092,2
"2015-05-13";2901,99;30517,47;5612,94;1597,67;554,28;13534,4;3032,06
"2015-05-12";2908,52;31399,24;5675,29;1625,84;553,66;13600,12;3123,89
