Código ;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON;2.784.422.661;21,211
ALPA4;ALPARGATAS;PN N1;166.360.273;0,526
AMAR3;LOJAS MARISA;ON NM;46.984.764;0,174
ANIM3;ANIMA;ON NM;34.747.535;0,189
ARZZ3;AREZZO CO;ON NM;41.735.479;0,376
BEEF3;MINERVA;ON NM;97.844.031;0,442
BRFS3;BRF SA;ON NM;818.896.975;23
BTOW3;B2W DIGITAL;ON NM;58.197.992;0,382
CRUZ3;SOUZA CRUZ;ON;378.068.610;4,201
CSAN3;COSAN;ON NM;132.898.602;1,006
CVCB3;CVC BRASIL;ON NM;36.479.835;0,263
ESTC3;ESTACIO PART;ON NM;274.067.082;1,45
FLRY3;FLEURY;ON EJ NM;62.407.506;0,456
GRND3;GRENDENE;ON NM;79.059.922;0,55
HGTX3;CIA HERING;ON NM;127.537.447;0,75
HYPE3;HYPERMARCAS;ON NM;371.533.847;2,613
JBSS3;JBS;ON NM;1.653.729.368;9,834
KROT3;KROTON;ON NM;1.349.648.918;5,192
LAME3;LOJAS AMERIC;ON;161.396.927;0,77
LAME4;LOJAS AMERIC;PN;428.103.759;2,706
LREN3;LOJAS RENNER;ON NM;126.711.043;5,146
MDIA3;M.DIASBRANCO;ON NM;28.909.897;0,791
MEAL3;IMC S/A;ON NM;50.251.789;0,11
MGLU3;MAGAZ LUIZA;ON NM;54.074.434;0,063
MPLU3;MULTIPLUS;ON NM;44.050.323;0,712
MRFG3;MARFRIG;ON NM;346.968.736;0,905
NATU3;NATURA;ON NM;168.827.352;1,644
ODPV3;ODONTOPREV;ON NM;263.586.332;1,045
PCAR4;P.ACUCAR-CBD;PN N1;155.497.607;3,994
QUAL3;QUALICORP;ON NM;218.349.295;1,62
RADL3;RAIADROGASIL;ON NM;195.153.739;3,128
RENT3;LOCALIZA;ON NM;149.142.340;1,487
SEDU3;SOMOS EDUCA;ON NM;140.219.990;0,763
SEER3;SER EDUCA;ON NM;36.694.502;0,158
SLCE3;SLC AGRICOLA;ON NM;48.039.639;0,338
SMLE3;SMILES;ON NM;56.172.745;1,134
SMTO3;SAO MARTINHO;ON NM;44.458.037;0,545
VVAR11;VIAVAREJO;UNT N2;127.959.944;0,326
Quantidade Teórica Total;;;11.359.189.277;100
Redutor;;;91.749.443,66;
