Código ;Ação;Tipo;Qtde. Teórica;Part. (%)
ALUP11;ALUPAR;UNT N2;3.700;5,925
CESP6;CESP;PNB N1;3.600;6,507
CMIG4;CEMIG;PN N1;4.800;4,34
COCE5;COELCE;PNA;1.600;6,432
CPFE3;CPFL ENERGIA;ON NM;3.400;6,149
CPLE6;COPEL;PNB N1;2.000;6,776
ELET6;ELETROBRAS;PNB N1;7.800;6,169
ELPL4;ELETROPAULO;PN N2;6.300;8,437
ENBR3;ENERGIAS BR;ON NM;5.900;7,618
EQTL3;EQUATORIAL;ON NM;2.100;8,052
GETI4;AES TIETE;PN;4.100;7,649
LIGT3;LIGHT S/A;ON NM;3.800;4,758
TAEE11;TAESA;UNT N2;3.400;7,122
TBLE3;TRACTEBEL;ON ED NM;1.900;7,079
TRPL4;TRAN PAULIST;PN N1;1.600;6,987
Quantidade Teórica Total;;;56.000;100
Redutor;;;34,44447789;
