Código ;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN N2;51.639.558;0,222
BBAS3;BRASIL;ON EDJ NM;828.582.888;7,158
BBDC3;BRADESCO;ON N1;357.487.114;4,218
BBDC4;BRADESCO;PN N1;1.309.071.698;14,424
BBSE3;BBSEGURIDADE;ON NM;675.000.000;9,415
BRSR6;BANRISUL;PNB N1;174.314.674;0,657
BVMF3;BMFBOVESPA;ON EJ NM;1.797.987.343;8,975
CIEL3;CIELO;ON NM;772.547.017;14,349
CTIP3;CETIP;ON NM;253.479.395;3,95
ITSA4;ITAUSA;PN N1;3.427.012.618;11,74
ITUB3;ITAUUNIBANCO;ON N1;135.329.654;1,619
ITUB4;ITAUUNIBANCO;PN N1;1.387.250.909;17,298
PSSA3;PORTO SEGURO;ON NM;94.322.148;1,432
SANB11;SANTANDER BR;UNT;400.076.102;2,698
SULA11;SUL AMERICA;UNT N2;239.669.988;1,845
Quantidade Teórica Total;;;11.903.771.106;100
Redutor;;;45.881.369,97;
