Código ;Ação;Tipo;Qtde. Teórica;Part. (%)
BRKM5;BRASKEM;PNA N1;264.665.622;6,745
CSNA3;SID NACIONAL;ON;702.056.615;4,113
DTEX3;DURATEX;ON NM;261.597.936;3,147
FIBR3;FIBRIA;ON NM;222.307.680;21,309
GGBR4;GERDAU;PN EJ N1;876.090.759;8,575
GOAU4;GERDAU MET;PN ED N1;268.577.413;1,435
KLBN11;KLABIN S/A;UNT N2;382.961.180;15,42
SUZB5;SUZANO PAPEL;PNA N1;461.173.399;15,286
USIM3;USIMINAS;ON N1;173.356.454;2,961
USIM5;USIMINAS;PNA N1;481.427.177;2,741
VALE3;VALE;ON N1;260.918.398;8,319
VALE5;VALE;PNA N1;388.184.870;9,949
Quantidade Teórica Total;;;4.743.317.503;100
Redutor;;;41.093.567,39;
