Código ;Ação;Tipo;Qtde. Teórica;Part. (%)
ALSC3;ALIANSCE;ON NM;76.369.574;4,601
BBRK3;BR BROKERS;ON NM;189.761.196;1,837
BRML3;BR MALLS PAR;ON NM;319.901.644;18,285
BRPR3;BR PROPERT;ON NM;298.228.434;15,894
CYRE3;CYRELA REALT;ON NM;250.463.857;10,305
DIRR3;DIRECIONAL;ON NM;78.600.893;1,344
EVEN3;EVEN;ON NM;210.307.738;3,303
EZTC3;EZTEC;ON NM;52.474.652;3,458
GFSA3;GAFISA;ON NM;365.371.997;4,177
HBOR3;HELBOR;ON NM;106.458.356;1,091
IGTA3;IGUATEMI;ON NM;84.039.084;9,053
MRVE3;MRV;ON NM;272.744.763;8,862
MULT3;MULTIPLAN;ON N2;75.442.416;16,398
RSID3;ROSSI RESID;ON NM;74.108.766;0,244
TCSA3;TECNISA;ON NM;76.400.651;1,148
Quantidade Teórica Total;;;2.530.674.021;100
Redutor;;;45.034.947,88;
