Código ;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON;2.817.510.542;21,095
ALPA4;ALPARGATAS;PN N1;166.360.273;0,517
BEEF3;MINERVA;ON NM;97.844.031;0,434
BEMA3;BEMATECH;ON ED NM;41.181.812;0,169
BRFS3;BRF SA;ON NM;828.628.100;22,874
BRKM5;BRASKEM;PNA N1;264.665.622;1,358
CRUZ3;SOUZA CRUZ;ON;378.068.610;4,129
CSAN3;COSAN;ON NM;132.898.602;0,989
CSNA3;SID NACIONAL;ON;702.056.615;0,828
CYRE3;CYRELA REALT;ON NM;250.463.857;0,834
DIRR3;DIRECIONAL;ON NM;78.600.893;0,109
DTEX3;DURATEX;ON NM;261.597.936;0,634
EMBR3;EMBRAER;ON EJ NM;734.970.461;6,673
EVEN3;EVEN;ON NM;210.307.738;0,267
EZTC3;EZTEC;ON NM;52.474.652;0,28
FIBR3;FIBRIA;ON NM;222.307.680;4,291
GFSA3;GAFISA;ON NM;365.371.997;0,338
GGBR3;GERDAU;ON EJ N1;100.345.473;0,168
GGBR4;GERDAU;PN EJ N1;876.090.759;1,727
GOAU4;GERDAU MET;PN ED N1;268.577.413;0,288
GRND3;GRENDENE;ON NM;79.059.922;0,541
HBOR3;HELBOR;ON NM;106.458.356;0,088
HGTX3;CIA HERING;ON NM;127.537.447;0,737
HYPE3;HYPERMARCAS;ON NM;371.533.847;2,568
JBSS3;JBS;ON NM;1.653.729.368;9,665
JHSF3;JHSF PART;ON NM;108.775.569;0,074
KEPL3;KEPLER WEBER;ON;16.967.772;0,12
KLBN11;KLABIN S/A;UNT N2;382.961.180;3,105
LEVE3;METAL LEVE;ON NM;38.427.003;0,313
MAGG3;MAGNESITA SA;ON NM;168.093.789;0,189
MDIA3;M.DIASBRANCO;ON NM;28.909.897;0,777
MRFG3;MARFRIG;ON NM;346.968.736;0,89
MRVE3;MRV;ON NM;272.744.763;0,717
MYPK3;IOCHP-MAXION;ON NM;70.782.474;0,408
NATU3;NATURA;ON NM;168.827.352;1,616
PMAM3;PARANAPANEMA;ON NM;318.956.134;0,283
POMO4;MARCOPOLO;PN N2;538.014.578;0,426
RAPT4;RANDON PART;PN N1;153.350.054;0,184
RSID3;ROSSI RESID;ON NM;74.108.766;0,02
SMTO3;SAO MARTINHO;ON NM;44.458.037;0,536
SUZB5;SUZANO PAPEL;PNA N1;461.173.399;3,078
TCSA3;TECNISA;ON NM;76.400.651;0,093
TECN3;TECHNOS;ON NM;65.600.494;0,105
TUPY3;TUPY;ON EJ NM;63.162.676;0,415
USIM3;USIMINAS;ON N1;173.356.454;0,596
USIM5;USIMINAS;PNA N1;481.427.177;0,552
WEGE3;WEG;ON NM;568.863.926;3,902
Quantidade Teórica Total;;;15.810.972.887;100
Redutor;;;19.884.632,73;
