Código ;Ação;Tipo;Qtde. Teórica;Part. (%)
ALUP11;ALUPAR;UNT N2;73.633.600;2,051
CESP6;CESP;PNB N1;181.791.331;5,715
CMIG4;CEMIG;PN N1;758.933.452;11,936
CPFE3;CPFL ENERGIA;ON NM;302.642.915;9,52
CPLE6;COPEL;PNB N1;100.948.359;5,949
CSMG3;COPASA;ON NM;58.136.678;0,996
ELET3;ELETROBRAS;ON N1;223.455.547;2,099
ELET6;ELETROBRAS;PNB N1;219.731.566;3,023
ELPL4;ELETROPAULO;PN N2;93.304.660;2,173
ENBR3;ENERGIAS BR;ON NM;232.602.924;5,223
EQTL3;EQUATORIAL;ON NM;152.929.206;10,199
GETI3;AES TIETE;ON;56.578.302;1,825
GETI4;AES TIETE;PN;124.345.171;4,035
LIGT3;LIGHT S/A;ON NM;97.629.475;2,126
SBSP3;SABESP;ON NM;339.985.611;9,815
TAEE11;TAESA;UNT N2;93.446.544;3,404
TBLE3;TRACTEBEL;ON ED NM;203.919.927;13,214
TRPL4;TRAN PAULIST;PN N1;88.176.032;6,697
Quantidade Teórica Total;;;3.402.191.300;100
Redutor;;;20.952.746,16;
