"datas","valor_fechamento"
2015-07-31,2826.25
2015-07-30,2769.86
2015-07-29,2744.39
2015-07-28,2739.96
2015-07-27,2722.94
2015-07-24,2752.11
2015-07-23,2781.58
2015-07-22,2829.26
2015-07-21,2842.64
2015-07-20,2852.44
2015-07-17,2882.11
2015-07-16,2909.55
2015-07-15,2897.32
2015-07-14,2897.05
2015-07-13,2898.63
2015-07-10,2884.98
2015-07-08,2855.07
2015-07-07,2871.8
2015-07-06,2848.19
2015-07-03,2855.52
2015-07-02,2858.03
2015-07-01,2839.22
2015-06-30,2847.94
2015-06-29,2827.15
2015-06-26,2874.62
2015-06-25,2860.28
2015-06-24,2884.2
2015-06-23,2888.66
2015-06-22,2903.33
2015-06-19,2882.24
2015-06-18,2899.1
2015-06-17,2887.04
2015-06-16,2894.9
2015-06-15,2868.58
2015-06-12,2876.8
2015-06-11,2889.03
2015-06-10,2897
2015-06-09,2850.47
2015-06-08,2840.92
2015-06-05,2836.79
2015-06-03,2819.56
2015-06-02,2848.57
2015-06-01,2814.83
2015-05-29,2793.34
2015-05-28,2837.94
2015-05-27,2848.25
2015-05-26,2838.27
2015-05-25,2899.84
2015-05-22,2880.91
2015-05-21,2907.73
2015-05-20,2890.46
2015-05-19,2910.28
2015-05-18,2910.63
2015-05-15,2943.28
2015-05-14,2916.53
2015-05-13,2901.99
2015-05-12,2908.52
2015-05-11,2911.94
2015-05-08,2936.62
2015-05-07,2897.57
2015-05-06,2891.84
2015-05-05,2899.08
2015-05-04,2896.14
2015-04-30,2861.68
2015-04-29,2822.36
2015-04-28,2796.57
2015-04-27,2794.08
2015-04-24,2818.14
2015-04-23,2817.51
2015-04-22,2788.5
2015-04-20,2784.58
2015-04-17,2786.89
2015-04-16,2820.98
2015-04-15,2821.19
2015-04-14,2815.17
2015-04-13,2859.81
2015-04-10,2884.15
2015-04-09,2880.96
2015-04-08,2877.81
2015-04-07,2856.09
2015-04-06,2846.58
2015-04-02,2798.93
2015-04-01,2765.78
2015-03-31,2718.59
2015-03-30,2719.29
2015-03-27,2674.2
2015-03-26,2672.83
2015-03-25,2721.43
2015-03-24,2708.85
2015-03-23,2728.07
2015-03-20,2724.75
2015-03-19,2687.17
2015-03-18,2699.22
2015-03-17,2647.12
2015-03-16,2611.61
2015-03-13,2621.23
2015-03-12,2636.88
2015-03-11,2626.09
2015-03-10,2608.64
2015-03-09,2644
2015-03-06,2657.22
2015-03-05,2660.93
2015-03-04,2643.27
2015-03-03,2683.56
2015-03-02,2679.86
2015-02-27,2691.98
2015-02-26,2725.65
2015-02-25,2737.43
2015-02-24,2734.34
2015-02-23,2711.45
2015-02-20,2670.52
2015-02-19,2686.6
2015-02-18,2646.41
2015-02-13,2598.87
2015-02-12,2588.4
2015-02-11,2530
2015-02-10,2572.76
2015-02-09,2600.92
2015-02-06,2576.61
2015-02-05,2605.42
2015-02-04,2585.52
2015-02-03,2604.33
2015-02-02,2601.16
2015-01-30,2603.85
2015-01-29,2628.15
2015-01-28,2590.64
2015-01-27,2601.91
2015-01-26,2608.46
2015-01-23,2601.1
2015-01-22,2615.17
2015-01-21,2619.46
2015-01-20,2560.03
2015-01-19,2573.48
2015-01-16,2612.09
2015-01-15,2556.46
2015-01-14,2543.68
2015-01-13,2539.26
2015-01-12,2547.28
2015-01-09,2559.38
2015-01-08,2601.44
2015-01-07,2592.46
2015-01-06,2534.98
2015-01-05,2538.59
2015-01-02,2599.83
