"datas","valor_fechamento"
2015-07-31,1317.87
2015-07-30,1287.59
2015-07-29,1301.97
2015-07-28,1303.36
2015-07-27,1244.02
2015-07-24,1269.72
2015-07-23,1279.53
2015-07-22,1251.94
2015-07-21,1246.24
2015-07-20,1256.26
2015-07-17,1268.1
2015-07-16,1304.63
2015-07-15,1294.16
2015-07-14,1309.23
2015-07-13,1337.16
2015-07-10,1307.19
2015-07-08,1309.7
2015-07-07,1331.98
2015-07-06,1332.18
2015-07-03,1338.4
2015-07-02,1353.19
2015-07-01,1363.22
2015-06-30,1380.66
2015-06-29,1401.46
2015-06-26,1432.91
2015-06-25,1412.43
2015-06-24,1429.94
2015-06-23,1437.43
2015-06-22,1425.91
2015-06-19,1444.38
2015-06-18,1442.15
2015-06-17,1416.15
2015-06-16,1442.06
2015-06-15,1469.93
2015-06-12,1483.77
2015-06-11,1494.44
2015-06-10,1487.13
2015-06-09,1478.48
2015-06-08,1471.54
2015-06-05,1493.83
2015-06-03,1505.01
2015-06-02,1522.77
2015-06-01,1488.56
2015-05-29,1485.15
2015-05-28,1513.14
2015-05-27,1543.89
2015-05-26,1521.26
2015-05-25,1523.12
2015-05-22,1512.6
2015-05-21,1518.41
2015-05-20,1519.05
2015-05-19,1530.38
2015-05-18,1558.85
2015-05-15,1583.56
2015-05-14,1592.58
2015-05-13,1597.67
2015-05-12,1625.84
2015-05-11,1642.76
2015-05-08,1611.68
2015-05-07,1609.54
2015-05-06,1651.64
2015-05-05,1685.43
2015-05-04,1643.11
2015-04-30,1569.82
2015-04-29,1535.42
2015-04-28,1553.99
2015-04-27,1551.82
2015-04-24,1578.24
2015-04-23,1553.07
2015-04-22,1505.27
2015-04-20,1461.23
2015-04-17,1463.57
2015-04-16,1487.84
2015-04-15,1501.81
2015-04-14,1464.63
2015-04-13,1457.62
2015-04-10,1453.52
2015-04-09,1452.78
2015-04-08,1451.28
2015-04-07,1473.23
2015-04-06,1464.24
2015-04-02,1460.85
2015-04-01,1465.72
2015-03-31,1482.01
2015-03-30,1505.36
2015-03-27,1483.35
2015-03-26,1517.11
2015-03-25,1537.09
2015-03-24,1494.76
2015-03-23,1503.73
2015-03-20,1515.15
2015-03-19,1496.57
2015-03-18,1492.2
2015-03-17,1506.19
2015-03-16,1450.11
2015-03-13,1450.6
2015-03-12,1401.51
2015-03-11,1397.17
2015-03-10,1410.47
2015-03-09,1424.37
2015-03-06,1405.54
2015-03-05,1394.53
2015-03-04,1406.85
2015-03-03,1387.23
2015-03-02,1373.1
2015-02-27,1383.58
2015-02-26,1391.07
2015-02-25,1386.41
2015-02-24,1374.38
2015-02-23,1380.87
2015-02-20,1412.81
2015-02-19,1390.91
2015-02-18,1410.5
2015-02-13,1394.6
2015-02-12,1377.97
2015-02-11,1377.18
2015-02-10,1348.73
2015-02-09,1380.36
2015-02-06,1338.07
2015-02-05,1320.11
2015-02-04,1328.48
2015-02-03,1316.29
2015-02-02,1292.96
2015-01-30,1241.12
2015-01-29,1220.41
2015-01-28,1211.47
2015-01-27,1215.58
2015-01-26,1223.95
2015-01-23,1228.15
2015-01-22,1261.18
2015-01-21,1276.61
2015-01-20,1263.01
2015-01-19,1269.08
2015-01-16,1306.21
2015-01-15,1280.07
2015-01-14,1272.76
2015-01-13,1326.29
2015-01-12,1352.29
2015-01-09,1361.61
2015-01-08,1395.81
2015-01-07,1408.57
2015-01-06,1360.44
2015-01-05,1298.64
2015-01-02,1335.88
2014-12-30,1372.5
2014-12-29,1388.07
2014-12-26,1372.66
2014-12-23,1402.55
2014-12-22,1354.97
2014-12-19,1359.16
2014-12-18,1310.03
2014-12-17,1306.05
2014-12-16,1261.71
2014-12-15,1222.18
2014-12-12,1227.37
2014-12-11,1272.5
2014-12-10,1280.1
2014-12-09,1298.26
2014-12-08,1329.5
2014-12-05,1363.77
2014-12-04,1339.39
2014-12-03,1355.5
2014-12-02,1338.5
2014-12-01,1344.64
2014-11-28,1404.66
2014-11-27,1379.04
2014-11-26,1369.77
2014-11-25,1424.23
2014-11-24,1428.12
