"datas","valor_fechamento"
2015-07-31,489.18
2015-07-30,477.33
2015-07-29,478.64
2015-07-28,472.84
2015-07-27,471.56
2015-07-24,475.57
2015-07-23,483.97
2015-07-22,502.24
2015-07-21,505.55
2015-07-20,503.62
2015-07-17,510.21
2015-07-16,512.68
2015-07-15,512.96
2015-07-14,508.85
2015-07-13,507.17
2015-07-10,505.14
2015-07-08,500.72
2015-07-07,499.11
2015-07-06,498.59
2015-07-03,502.23
2015-07-02,506.56
2015-07-01,510.89
2015-06-30,506.64
2015-06-29,504.19
2015-06-26,511.55
2015-06-25,506.84
2015-06-24,509.83
2015-06-23,512.27
2015-06-22,509.61
2015-06-19,509.83
2015-06-18,513.15
2015-06-17,504
2015-06-16,506.05
2015-06-15,504.21
2015-06-12,507.24
2015-06-11,516.19
2015-06-10,525.96
2015-06-09,519.9
2015-06-08,527.51
2015-06-05,525.31
2015-06-03,528.11
2015-06-02,538.15
2015-06-01,530.44
2015-05-29,531.57
2015-05-28,539.97
2015-05-27,545.09
2015-05-26,537.5
2015-05-25,550.86
2015-05-22,555.92
2015-05-21,561.02
2015-05-20,560.39
2015-05-19,561.63
2015-05-18,561.32
2015-05-15,570.5
2015-05-14,563.69
2015-05-13,554.28
2015-05-12,553.66
2015-05-11,560.7
2015-05-08,569.01
2015-05-07,563.41
2015-05-06,565.7
2015-05-05,573.97
2015-05-04,570.61
2015-04-30,564.95
2015-04-29,568.01
2015-04-28,581.62
2015-04-27,590.5
2015-04-24,608.39
2015-04-23,611.12
2015-04-22,601.49
2015-04-20,597.02
2015-04-17,597.95
2015-04-16,604.82
2015-04-15,604.64
2015-04-14,599.95
2015-04-13,603.83
2015-04-10,609.22
2015-04-09,603.11
2015-04-08,609.8
2015-04-07,613.77
2015-04-06,622.95
2015-04-02,608.67
2015-04-01,596.93
2015-03-31,583.89
2015-03-30,584.94
2015-03-27,571.55
2015-03-26,583.79
2015-03-25,588.78
2015-03-24,583.26
2015-03-23,576.93
2015-03-20,574.43
2015-03-19,557.44
2015-03-18,564.26
2015-03-17,543.66
2015-03-16,531.76
2015-03-13,527.52
2015-03-12,532.71
2015-03-11,525.41
2015-03-10,524.25
2015-03-09,520.79
2015-03-06,536.54
2015-03-05,542.26
2015-03-04,546.48
2015-03-03,551.73
2015-03-02,548.33
2015-02-27,553.34
2015-02-26,550.77
2015-02-25,541.76
2015-02-24,540.13
2015-02-23,532.48
2015-02-20,534.93
2015-02-19,535.43
2015-02-18,533.57
2015-02-13,525.82
2015-02-12,517.22
2015-02-11,504.35
2015-02-10,513.2
2015-02-09,518.85
2015-02-06,512.52
2015-02-05,523.99
2015-02-04,508
2015-02-03,511.71
2015-02-02,502.82
2015-01-30,502.53
2015-01-29,517.2
2015-01-28,522.02
2015-01-27,529.98
2015-01-26,534.6
2015-01-23,551.69
2015-01-22,555.22
2015-01-21,553.13
2015-01-20,539.6
2015-01-19,527.01
2015-01-16,547.29
2015-01-15,533.04
2015-01-14,526.69
2015-01-13,527.36
2015-01-12,527.84
2015-01-09,538.49
2015-01-08,550.25
2015-01-07,546.98
2015-01-06,532.73
2015-01-05,520.22
2015-01-02,529.71
2014-12-30,552.76
2014-12-29,554.46
2014-12-26,553.58
2014-12-23,554.84
2014-12-22,550.57
2014-12-19,537.24
2014-12-18,533.94
2014-12-17,532.91
2014-12-16,518.94
2014-12-15,522.68
2014-12-12,534.58
2014-12-11,553.36
2014-12-10,559.6
2014-12-09,567.42
2014-12-08,569.7
2014-12-05,581.21
2014-12-04,577.63
2014-12-03,585.02
2014-12-02,581.88
2014-12-01,591.87
2014-11-28,619.52
2014-11-27,622.34
2014-11-26,620.13
2014-11-25,616.98
2014-11-24,619.66
2014-11-21,620.84
2014-11-19,591.4
2014-11-18,578.1
2014-11-17,561.77
2014-11-14,566.23
