dia;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;ano
1;;1027,33;;1077,5;;;1010,61;1013,54;966,93;849,38;;693,36;2008
2;1062,92;;;1085,05;1175,77;1161,4;995,07;;970,76;805,33;;699,77;2008
3;1074,11;;1116,35;1096,27;;1143,05;971,43;;957,36;795,37;713,66;700,71;2008
4;1048,14;;1118,76;1097,34;;1125,31;959,59;1004,49;933,22;;729,99;698,74;2008
5;;;1132,14;;1175,29;1144,7;;1024,03;939,33;;708,65;714,09;2008
6;;999,02;1103,18;;1165;1114,34;;1043,18;;747,04;716,86;;2008
7;1044,37;998,42;1088,23;1078,14;1139,89;;961,56;1035,99;;720,31;738,08;;2008
8;1044,14;1002,95;;1076,36;1146,36;;975,26;1032;928,66;689,64;;745,51;2008
9;1057,86;;;1058,58;1136,76;1107,13;;;906,95;667,94;;732,89;2008
10;1082,68;;1051,84;1067,95;;1091,97;993,65;;932,3;645,71;722,96;741,25;2008
11;1067,11;1036,25;1086,1;1049,16;;1089,71;996,07;1022,44;948,42;;731,82;743,64;2008
12;;1061,86;1082,18;;1154,24;1109,97;;1013,79;947,91;;695,5;759,19;2008
13;;1062,93;1076,76;;1153,22;1105,48;;998,42;;726,79;734,06;;2008
14;1071,38;1041,2;1072,57;1038,56;1158,19;;1021,42;1002,85;;746,79;725,16;;2008
15;1031,58;1032,61;;1044,26;1173,18;;1035,38;985,67;900,96;683,88;;730,59;2008
16;1018,87;;;1068,1;1189,83;1103,05;1054,73;;890,43;685,92;;755,04;2008
17;988,42;;1046,22;1066,23;;1103,21;1038,93;;838,14;692,37;717,16;732,43;2008
18;999,52;1059,61;1082,34;1072,01;;1075,94;1025,8;972,46;853,51;;697,33;732,41;2008
19;;1047,05;1038,46;;1184,24;1073,41;;969,52;926,19;;686,83;719,65;2008
20;;1065,78;1041,75;;1177,82;1054,88;;980,62;;742,19;;;2008
21;947,73;1069,41;;;1152,45;;1024,69;976,68;;732,32;682,95;;2008
22;971,82;1092,34;;1071,7;;;1010,55;980,21;903,43;664,81;;714,66;2008
23;942,06;;;1066,62;1154,43;1052,43;1023,86;;869,84;657,92;;696,66;2008
24;987,1;;1058,5;1064,88;;1035,79;1009,35;;854,98;621,71;703,96;;2008
25;;1098,12;1076,77;1074,49;;1047,72;1011,6;965,07;879,2;;697,84;;2008
26;;1102,06;1072,07;;1154,24;1018,79;;960,7;848,54;;707,89;691,55;2008
27;;1108,32;1052,49;;1152,02;1035,29;;972,82;;602,23;711,77;;2008
28;994,26;1116,69;1037,39;1083,81;1182,79;;1001,29;989,84;;659,39;717,95;;2008
29;999,31;1098,24;;1051,37;1171,85;;1006,33;976,44;780,85;668,24;;686,69;2008
30;1011,88;;;1123,95;1181,57;1042,48;1025,38;;833,13;689,32;;697,62;2008
31;1000,39;;1046,32;;;;1025,97;;;695,89;;;2008
1;;;;740,08;;983,87;961,89;;1094,79;1185,98;;1289,58;2009
2;728,72;681,83;660,09;766,01;;979,89;964,16;;1089,93;1194,27;;1292,7;2009
3;;695,07;658,82;774,4;;958,76;970,34;1073,36;1097,64;;1211,74;1291,82;2009
4;;691,91;669,61;;903,73;977,24;;1079,48;1104,58;;1239,72;1288,77;2009
5;725,27;698,87;659,83;;897,96;962,44;;1081,34;;1224,03;1255,53;;2009
6;725,17;714,17;665,41;772,67;901,48;;985,94;1066,88;;1244,73;1258,14;;2009
7;716,29;;;771,28;888,36;;973,78;1072,49;;1237,14;;1312,11;2009
8;731,96;;;783,13;899,26;966,93;976,74;;1124,34;1253,58;;1305,01;2009
9;721,27;701,51;656,51;805,01;;971,3;;;1126,68;1257,31;1284,75;1302,51;2009
10;;692,37;690,03;;;969,99;973,91;1096,51;1137,22;;1290,9;1296,82;2009
11;;697,09;693,73;;896,96;;;1090,77;1129,61;;1289,24;1313,39;2009
12;707,01;696,4;706,92;;902,93;971,92;;1094,06;;;1248,89;;2009
13;711,65;707,32;713,72;801,44;883,48;;977,94;1087,89;;1268,42;1241,63;;2009
14;692,2;;;793,61;904,67;;970,72;1083,65;1142,79;1282,26;;1314,68;2009
15;709,44;;;799,22;901,56;949,75;1000,44;;1153,7;1286,13;;1318,56;2009
16;719,43;708,59;700,56;813,76;;939,61;1019,01;;1169,82;1280,67;1267,86;1305,19;2009
17;;684,05;723,23;810,14;;942,68;1022,39;1069,96;1164,91;;1274,88;1292,54;2009
18;;690,64;729,37;;943,67;945,6;;1075,12;1178,26;;1265,81;1292,46;2009
19;701,88;690,45;729,73;;931,33;954,75;;1085,32;;1285,33;1255,04;;2009
20;688,05;687,2;724,82;793,43;935,08;;1036,47;1095,01;;1253,6;;;2009
21;695,27;;;;922,69;;1030,47;1112,63;1186,22;1260,22;;1280,71;2009
22;689,32;;;810,25;930,83;930,97;1010,35;;1187,86;1260,07;;1311,61;2009
23;688,75;;757,61;821,06;;933,33;1026,3;;1172,84;1243,47;1264,59;1306,51;2009
24;;;738,36;846,82;;947,06;1028,91;1106,79;1171,94;;1268,75;;2009
25;;687,04;742,53;;930,75;966,08;;1100,2;1175,78;;1273,78;;2009
26;689,17;686,49;748,23;;940,79;965,74;;1109,38;;1240,43;1254,03;;2009
27;695,81;685,76;739,55;832;933,3;;1037,93;1110,98;;1226,67;1268,59;;2009
28;698,38;;;842,69;948,25;;1042,12;1119,61;1184,56;1182,81;;1320,56;2009
29;692,4;;;866,4;961,57;961,22;1044,21;;1181,03;1237,26;;1332,08;2009
30;696,13;;722,53;871,54;;955,59;1050,52;;1189,76;1207,54;1272,6;1341,01;2009
31;;;729,34;;;;1051,63;1110,48;;;;;2009
1;;1330,68;1330,3;1312,49;;1291,89;1358,88;;1471,71;1566,6;1649,06;1644,19;2010
2;;1353,62;1342,92;;;1309,64;1367,22;1461,03;1461,48;;;1658,19;2010
3;;1368,97;1346,19;;1333,36;;;1444,76;1455,71;;1647,39;1666,51;2010
4;1366,7;1318,56;1339,73;;1309,96;1300,3;;1448,64;;1571,18;1661,54;;2010
5;1364,65;1283,04;1332,18;1315,67;1302,92;;1351,63;1451,91;;1599,15;1661,09;;2010
6;1376,14;;;1322,5;1282,1;;1379,14;1430,21;1453,28;1602,07;;1652,09;2010
7;1373,48;;;1335,62;1266,01;1312,38;1377,62;;;1598,53;;1642,82;2010
8;1377,57;1287,32;1329,17;1336,73;;1316,34;1372,85;;1455,44;1613,57;1656,96;1632,25;2010
9;;1306,41;1328,08;1331,56;;1306,35;;1427,43;1463,8;;1645,97;1616,79;2010
10;;1312,74;1332,41;;1305,91;1323,31;;1424,26;1476,76;;1639,36;1633,58;2010
11;1370,56;1323,73;1330,66;;1300,1;1327,79;;1414,54;;1620,58;1632,75;;2010
12;1373,49;1305,27;1316,33;1329,77;1309,83;;1367,16;1421,19;;;1619,78;;2010
13;1382,13;;;1330,1;1322,17;;1385,72;1415,88;1487,76;1638,12;;1636,31;2010
14;1396,78;;;1338,35;1297,02;1335,22;1402,21;;1494,4;1632,04;;1636,81;2010
