dia;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;ano
1;;2386,96;;2430,33;;;2396,93;2429,32;2494,31;2392,39;;1821,9;2008
2;2633,96;;;2460,9;2918,13;2891,88;2367,52;;2504,12;2237,56;;1855,16;2008
3;2591,75;;2622,66;2469,89;;2821,91;2312,69;;2486,82;2069,9;1909,76;1845,03;2008
4;2583,73;;2572,6;2461,43;;2793,28;2324,76;2323,42;2379,26;;2037,43;1859;2008
5;;;2644,05;;2911,86;2876,67;;2404,02;2413,94;;1866,62;1902,79;2008
6;;2302,98;2567,12;;2838,8;2785,95;;2461,57;;1972,34;1766,34;;2008
7;2603,15;2275,9;2502,34;2488,35;2805,49;;2313,3;2419,29;;1919,29;1817,93;;2008
8;2638,25;2259,25;;2505,97;2823,49;;2373,79;2384,08;2405,91;1901,44;;2050,06;2008
9;2643,05;;;2451,05;2800,91;2754,51;;;2315,37;1815,95;;2049;2008
10;2703,06;;2460,94;2434,67;;2688,61;2360,26;;2343,67;1735,52;1835;2055,14;2008
11;2634,57;2320;2546,17;2391,39;;2630,37;2322,18;2315,03;2341,46;;1832,81;2003,21;2008
12;;2408,14;2485,27;;2837,19;2681,19;;2275,75;2385,1;;1699,31;2056,36;2008
13;;2477,75;2501,8;;2781,34;2694,03;;2239,5;;2098,63;1843,76;;2008
14;2648,46;2426,31;2472;2341,6;2769,13;;2309,72;2295,92;;2153,14;1816,45;;2008
15;2552,45;2443,29;;2356,65;2815,07;;2293,51;2267,2;2204,33;1929,06;;1941,39;2008
16;2517,18;;;2471,02;2832,01;2707,76;2447,02;;2219,13;1836,66;;2051,9;2008
17;2454,2;;2379,35;2537,23;;2744,6;2442,92;;2092,19;1761,06;1812,97;2088,86;2008
18;2429,07;2516,54;2453,74;2580,26;;2654,59;2495,23;2222,28;2218,34;;1692,5;2075,93;2008
19;;2482,39;2346,92;;2858,27;2628,97;;2223,81;2416,07;;1627,5;2027,86;2008
20;;2534,17;2368,63;;2827,2;2561,96;;2299,64;;1873,76;;;2008
21;2335,83;2544,68;;;2774,81;;2475,22;2487,8;;1839,97;1490,88;;2008
22;2369,49;2574,76;;2541,55;;;2477,89;2506,74;2315,15;1618,12;;1942,39;2008
23;2312,28;;;2507,49;2748,87;2542,32;2503,18;;2276,99;1497,31;;1852,23;2008
24;2492,29;;2357,92;2524,47;;2509,05;2437,58;;2271,33;1379,18;1672,5;;2008
25;;2609,31;2447,97;2577,68;;2572,82;2405,72;2436,72;2357,08;;1730,71;;2008
26;;2637,46;2418,02;;2741,24;2462,73;;2410,7;2358,97;;1845,31;1852,62;2008
27;;2675,68;2353,78;;2802,06;2454,67;;2489,8;;1325,48;1853,23;;2008
28;2488,6;2666,24;2312,92;2609,76;2907,66;;2356,39;2560,88;;1485,32;1889,25;;2008
29;2498,52;2582,65;;2550,66;2892,42;;2433,57;2512,17;2151,48;1614,29;;1866,37;2008
30;2503,09;;;2784,28;2979,87;2469;2497,47;;2369,84;1791,88;;1888,96;2008
31;2430,92;;2343,74;;;;2478,81;;;1776,21;;;2008
1;;;;2034,02;;2717,69;2664,98;;2825,4;3215,67;;3358,76;2009
2;2036,14;1753,89;1647,27;2095,09;;2716,1;2641,53;;2795,52;3227,76;;3383,99;2009
3;;1775,58;1649,05;2156,43;;2634,16;2628,56;2827,38;2806,51;;3115,43;3355,99;2009
4;;1799,5;1730,88;;2449,01;2705,2;;2827,75;2880,04;;3195;3350,46;2009
5;2062,5;1856,3;1704,51;;2539,19;2687,02;;2878,22;;3309,96;3227,93;;2009
6;2123,71;1970,54;1720,26;2165,43;2557,94;;2627,92;2840,02;;3290,09;3206,78;;2009
7;2029,64;;;2156,24;2433,49;;2579,29;2890,61;;3215,7;;3410,88;2009
8;2037,94;;;2158,63;2499,32;2715,48;2538,2;;2929,02;3274,6;;3383,41;2009
9;2030,35;1931,3;1697,24;2215,33;;2675,04;;;2943,67;3307,22;3285,63;3373,96;2009
10;;1876,55;1801,99;;;2681,88;2518,06;2917,43;2962,48;;3291,03;3406,84;2009
11;;1872,59;1801,58;;2469,13;;;2861,14;2978,53;;3306,53;3426,62;2009
12;1963,13;1846,08;1844,67;;2448,11;2691,8;;2866,55;;;3221;;2009
13;1921,62;1910,03;1848,01;2217,98;2375,79;;2539,18;2838,13;;3324,53;3287;;2009
14;1815,74;;;2155;2439,99;;2531,76;2816,58;2997,32;3392,92;;3416,39;2009
15;1852,09;;;2158,44;2425,56;2601,15;2638,56;;3026,89;3397,94;;3426,81;2009
16;1810,36;1910,95;1850,17;2230,72;;2590,17;2669,57;;3075,19;3365,92;3327,31;3392,48;2009
17;;1821,29;1892,41;2229,05;;2579,43;2648,68;2747,31;3091,8;;3342,03;3319,43;2009
18;;1799,31;1941,1;;2541,07;2591,64;;2801,19;3123,19;;3282,27;3315,43;2009
19;1820,3;1786,68;1910,2;;2520,76;2650,49;;2841,64;;3377,72;3229,61;;2009
20;1712,7;1749,19;1880,56;2166,93;2502,54;;2692,62;2874,19;;3247,92;;;2009
21;1772,65;;;;2467,45;;2682,96;2875,83;3112,55;3240,94;;3297,34;2009
22;1746,38;;;2151,59;2505,75;2557,46;2692,19;;3114,34;3302,94;;3319,52;2009
23;1763,95;;2026,29;2221,6;;2521,72;2761,98;;3068,75;3241,97;3260,34;3309,84;2009
24;;;1980,53;2271,41;;2533,9;2789,92;2864,87;3070,66;;3278,44;;2009
25;;1747,81;1998,46;;2517,16;2634,09;;2881,12;3090,82;;3315,34;;2009
26;1773,66;1743,43;2057,41;;2568,68;2646,31;;2922,53;;3219,12;3226;;2009
27;1761,98;1725,78;2055,56;2213,18;2584,36;;2783,32;2920,48;;3120,57;3264,07;;2009
28;1853,42;;;2218,03;2644,49;;2787,22;2922,93;3165,92;2971,07;;3316,31;2009
29;1815,08;;;2313,6;2657,83;2673,49;2753,93;;3211,51;3146,96;;3354,65;2009
30;1797,17;;1995,78;2315,13;;2651,65;2801,4;;3240,27;3027,38;3284,5;3387,86;2009
31;;;1997,47;;;;2794,58;2883,93;;;;;2009
1;;3313,42;3278,24;3509,62;;3172,99;3144,46;;3577,96;3839,23;3952,18;3829,75;2010
2;;3357,75;3299,55;;;3226,35;3159,61;3662,8;3528,58;;;3841,27;2010
3;;3346,25;3304,59;;3373,79;;;3590,91;3511,65;;3976,62;3786,18;2010
4;3506,5;3211,14;3303,37;;3275,62;3183,31;;3574,28;;3846,27;4044,69;;2010
5;3496,49;3103,93;3331,68;3513,19;3282,72;;3112,06;3591,97;;3934,95;4036,99;;2010
6;3502,08;;;3479,07;3244,23;;3190,74;3611,33;3502,53;3897,6;;3737,84;2010
7;3505,26;;;3443,28;3226,45;3138,57;3319,61;;;3888,36;;3736,08;2010
8;3472,96;3102,6;3305,46;3542,48;;3175,68;3375,23;;3527,8;3977,16;4039,45;3695,58;2010
9;;3221,78;3344,7;3536,09;;3149,36;;3626,46;3535,74;;3944,3;3653,02;2010
10;;3241,16;3363,87;;3358,81;3224,63;;3594,32;3538,49;;3949,13;3640,52;2010
11;3470,72;3281,36;3363,55;;3307,36;3261,21;;3525,61;;3985,9;3897,93;;2010
12;3445,69;3262,7;3320,9;3496,5;3359,04;;3383,24;3542,03;;;3905,02;;2010
13;3458,34;;;3487,37;3346,06;;3432,86;3543,46;3633,59;4060,27;;3674,31;2010
14;3422,53;;;3493,7;3281,01;3239,77;3409,06;;3655,71;4011,93;;3682,72;2010
15;3371,71;;3322,52;3474,54;;3277,62;3418,28;;3675;4019,91;;3668,75;2010
16;;;3348,33;3400,98;;3307,25;3337,29;3576,08;3651,2;;3851,03;3628,84;2010
17;;3315,65;3317,33;;3321,63;3302,09;;3593,34;3622,93;;3860,65;3646,87;2010
18;3391,75;3336,33;3344,21;;3203,05;3317,64;;3593,86;;3987,91;3908,28;;2010
19;3406;3324,62;3334,8;3381,27;3091,85;;3398,73;3559,78;;3917,04;3926,8;;2010
20;3317,49;;;3407,9;3036,58;;3411,96;3548,98;3675,99;3950,71;;3589,12;2010
21;3250,68;;;;3137,84;3324,54;3418,76;;3662,58;3891,4;;3630,86;2010
22;3282,25;3301,07;3371,15;3406,01;;3309,12;3488,19;;3689,09;3914,99;3859,01;3685,59;2010
23;;3243,8;3351,3;3397,44;;3326,09;3518,49;3528,17;3720,41;;3779,32;3690,54;2010
24;;3209,78;3312,81;;3114,85;3252,41;;3473,41;3667,87;;3841,88;;2010
25;;3190,47;3333,43;;3031,02;3298,6;;3464,78;;3931,68;3841,74;;2010
26;3267,44;3254,29;3359,46;3366,21;3132,39;;3508,61;3398,17;;3974,11;3802,2;;2010
27;3208,49;;;3280,14;3175,89;;3506,67;3489,5;3687,77;3919,82;;3646,16;2010
28;3269,68;;;3326,14;3159,43;3261,5;3594,86;;3718,83;3868;;3651,13;2010
29;3250,38;;3405,27;3393,77;;3136,66;3607,75;;3757;3888,71;3785,09;3710,92;2010
30;;;3434,94;3378,38;;3064,65;3642,94;3426,74;3800,33;;3748;3745,36;2010
31;;;3477,54;;3224,98;;;3501,78;;;;;2010
1;;3458,72;3456,95;3759;;3466,35;3558,19;3237,39;3324,58;;3357,44;3442,42;2011
2;;3410,93;3485,58;;3561,75;3498,18;;3129,71;3241,09;;;3427,29;2011
3;3773,56;3374,03;3545,1;;3476,63;3508,23;;3076,93;;3005,16;3378,32;;2011
4;3787,47;3281,38;3546,62;3732,97;3468,26;;3577,35;2957,23;;2982,19;3385,49;;2011
5;3812,58;;;3726,38;3511,49;;3551,45;2989,75;3139,72;3009,33;;3445,03;2011
6;3756,73;;;3695,54;3592,54;3453,72;3516,93;;3187,89;3071,02;;3459,81;2011
7;3680,85;3307,04;;3714,26;;3491,74;3469,91;;;3027,7;3393,55;3434,95;2011
8;;3370,82;;3654,92;;3476,08;3413,73;2757,51;3247,94;;3397,95;3412,53;2011
9;;3310,86;3504,15;;3607,45;3475,75;;2903,76;3147,67;;3348,47;3449,31;2011
10;3702,98;3327,79;3404,77;;3645,51;3444,25;;2878,1;;3141,44;3314,24;;2011
11;3708,96;3439,37;3440,03;3617,8;3605,99;;3315,4;2951,45;;3162,79;3360,47;;2011
12;3771,27;;;3581,87;3602,91;;3258,54;2978,12;3092,98;;;3417,79;2011
13;3703,92;;;3575,57;3522,65;3442,82;3307,63;;3077,11;3198,11;;3425,09;2011
14;3726,79;3468,09;3469,85;3539,74;;3473,88;3234,89;;3109,18;3214,95;3384,87;3395,83;2011
