dia;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;ano
1;;879,21;;819,98;;;776,01;767,39;691,69;540,28;;255,48;2008
2;975,37;;;831,33;996,94;935,29;740,86;;684,36;494,62;;256,52;2008
3;978,17;;974,81;849,92;;907,73;718,85;;658,09;469,77;349,11;251,6;2008
4;952,34;;961,76;851,09;;890,92;718,09;729,92;616,1;;371,04;258,41;2008
5;;;961,09;;994,22;926,76;;748,27;618,18;;345,18;264,08;2008
6;;843,19;932,68;;960,76;897,88;;765,91;;428,62;303,41;;2008
7;950,63;820,99;918,27;852,26;937,81;;709,76;759,96;;393,55;302,49;;2008
8;954,55;816,84;;844,24;939,23;;714,46;770,97;630,05;376,46;;282,89;2008
9;944,05;;;829,51;932,64;886,57;;;615,67;345,47;;282,25;2008
10;954,04;;873,56;815,38;;868,61;718,18;;628,28;325,8;285,14;290,37;2008
11;936,17;831,88;899,48;817,84;;845,98;706,86;763,06;619,78;;281,48;297,17;2008
12;;865,36;892,04;;946,76;852,4;;751,04;617,49;;262,19;296,1;2008
13;;906,75;878,14;;946,92;850,61;;728,24;;365,71;267,14;;2008
14;913,2;908,82;859,05;801,65;941,55;;713,97;725,66;;389,01;263,15;;2008
15;867,11;894,72;;802,3;958,85;;739,57;708,8;576,13;332,23;;286,89;2008
16;861,18;;;817,13;958,51;852,85;786,34;;555,97;335,81;;298,35;2008
17;840,1;;829,94;810,6;;863,21;763,66;;508,55;345,97;249,97;293,04;2008
18;833,93;920,97;861,71;810,77;;836,33;743,63;693,86;535,39;;238,56;292,06;2008
19;;924,87;829,82;;948,59;813,76;;684,55;610,48;;231,17;300,85;2008
20;;926,59;830,54;;935,43;815,77;;703,93;;378,49;;;2008
21;781,17;909,88;;;918,19;;750,34;706,13;;394,87;213,48;;2008
22;812,04;917,28;;816,81;;;754,33;692,13;591,31;335,51;;301,12;2008
23;792,94;;;807,07;910,58;817,3;783,37;;570,57;322,75;;289,29;2008
24;834,91;;843,67;806,8;;809,35;775,53;;562,92;295,4;228,33;;2008
25;;924,18;853,37;816,6;;831,75;775,39;678,06;578,47;;239,54;;2008
26;;938,41;842,9;;907,78;807,37;;666,64;567,8;;261,11;291,74;2008
27;;954,06;840,75;;899,85;805,53;;667,33;;269,26;270,72;;2008
28;835,45;957,19;814,83;840,83;935,58;;765,79;671,66;;321,64;273,8;;2008
29;873,65;946,39;;828,6;933,45;;778,56;674,84;502,27;347,86;;297,79;2008
30;878,28;;;915,83;956,62;807,31;798,58;;542,22;360,53;;307,66;2008
31;862,99;;801,86;;;;789,61;;;337,31;;;2008
1;;;;359,88;;586,83;575,75;;793,41;829,2;;954,08;2009
2;328,58;335,15;274,16;386,61;;563,16;580,75;;759,48;843,46;;971,06;2009
3;;351,72;282,85;399,87;;535,25;581,19;755,39;772,76;;812,86;960,1;2009
4;;342,48;284,3;;600,16;557,09;;761,73;816,68;;843,36;954,6;2009
5;346,31;341,97;287,55;;582,97;552,81;;767,63;;853,21;868,52;;2009
6;363,58;348,12;281,58;398,65;572,17;;584,82;747,98;;865,57;869,44;;2009
7;356,34;;;402,4;551,2;;573,31;741,92;;868,65;;967,91;2009
8;360,28;;;425,24;572,9;551,2;569,1;;834,94;884,58;;948,16;2009
9;358,69;342,72;281,63;416,73;;549,24;;;827,17;884,83;899,74;947,12;2009
10;;335,66;289,65;;;544,15;592,73;744,01;821,43;;892,26;954,31;2009
11;;335,72;285,39;;553,63;;;741,88;822,57;;895,55;946,55;2009
12;333,58;339,62;286,26;;547,77;547,58;;756,84;;;872,27;;2009
13;327,33;350,83;282,66;424,48;522,21;;594,36;769,74;;933,81;904,3;;2009
14;311,85;;;418,93;537,35;;600,52;768,57;849,7;964,88;;939,75;2009
15;330,86;;;422,21;533,22;528,61;629,38;;859,95;956,96;;926,66;2009
16;339,13;348,31;285,74;439,83;;538,08;636,97;;873,72;953,45;930,44;914,56;2009
17;;335,87;296,71;442,87;;545,22;636,6;759,08;861,22;;915,79;890,51;2009
18;;325,24;309,95;;566,54;550,11;;778,29;859,28;;904,51;894,4;2009
19;332,7;316,97;321,22;;583,59;554,86;;779,42;;953,76;904,84;;2009
20;307,15;307,98;326,55;422,32;571,51;;658,88;801,9;;904,57;;;2009
21;311,32;;;;552,48;;669,01;847,03;860,88;904;;887,74;2009
22;300,96;;;443,18;567,7;530,84;674,62;;872,4;899,95;;906,32;2009
23;304,22;;354,74;459,52;;530,41;695,1;;848,03;887,92;927,33;910,43;2009
24;;;345,62;496,44;;536,81;709,44;854,82;843,4;;926,96;;2009
25;;300,6;344,68;;566,45;552,55;;843,41;856,86;;929,39;;2009
26;300,95;300,14;352,11;;588,37;550,09;;869,32;;879,97;911,78;;2009
27;307,74;292,88;347,37;508,92;593,04;;729,18;860,68;;829,26;912,56;;2009
28;333;;;498,87;604,56;;733,81;854,7;868,39;779,83;;918,96;2009
29;330,43;;;539,95;588,11;572,5;717,69;;859,51;836,92;;918,9;2009
30;330,44;;347,35;543,5;;570,73;731,31;;855,41;817,57;939,95;938,47;2009
31;;;353,03;;;;742,75;832,12;;;;;2009
1;;865,41;910,08;850,57;;811,52;838,33;;980,14;1059,37;1086,19;1065,62;2010
2;;882,01;911,67;;;834,64;850,32;1022,09;983,63;;;1051,87;2010
3;;883,12;904,87;;868,85;;;981,95;970,7;;1100,41;1037,15;2010
4;927,45;835,64;889,84;;848,02;810,33;;981,14;;1067,86;1126,49;;2010
5;920,41;819,33;885,6;852,88;840,5;;848,07;969,09;;1093,42;1130,91;;2010
6;933,93;;;840,05;803,47;;869,25;959,58;971;1090,93;;1034,43;2010
7;923,05;;;825,93;782,69;805,25;883,41;;;1076,93;;1028,16;2010
8;911,55;833,04;878,37;845,44;;821,07;891,3;;971,9;1092,21;1111,77;995,83;2010
9;;871,04;890,12;828,72;;809,26;;958,06;992,27;;1067,23;978,88;2010
10;;885,35;909,71;;837,66;836,01;;946,57;998,28;;1047,72;984,84;2010
11;912,56;906,39;910,8;;834,73;844,77;;929,82;;1101,76;1068,66;;2010
12;921,75;892,8;898,94;825,29;852,05;;886,45;922,15;;;1045,75;;2010
13;918,34;;;835,93;827,71;;909;935,39;1021,67;1142,31;;1005,98;2010
