dia;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;ano
1;;9619,69;;10245,51;;;10332,74;9473,96;9084,56;7183,33;;4862,91;2008
2;9778,31;;;10268,29;11249,68;11868,67;9870,52;;8885,13;6738,97;;4904,8;2008
3;9901,38;;10408,71;10464,07;;11702,52;9480,18;;8679,48;6491,95;5426,97;4917,48;2008
4;9647,16;;10285,9;10602,73;;11514,6;9328,48;9138,87;8251,02;;5691,76;4919,93;2008
5;;;10374,39;;11341,99;11936,75;;9322,46;8329,35;;5358;4912,94;2008
6;;9337,51;10203,29;;11438,08;11778,58;;9463,5;;6117,11;5208;;2008
7;9529,71;9374,64;10039,19;10599,55;11337,19;;9498,04;9329,74;;5795,16;5234,4;;2008
8;9601,26;9396,25;;10682,76;11518,26;;9618,6;9266,7;8186,57;5487,38;;5292,33;2008
9;9657,72;;;10476,93;11540,22;11690,29;;;7833,18;5282,2;;5319,89;2008
10;9801,01;;9726,02;10547,7;;11468,96;9834,88;;8090,66;5102,13;5177,43;5505,6;2008
11;9624,05;9685,79;10024,05;10381,58;;11296,04;9808,81;8983,18;8276,92;;5277,8;5430,32;2008
12;;9852,68;10056,32;;11725,36;11454,69;;8856,63;8334,31;;4959,88;5525,76;2008
13;;9894,93;10156,11;;11727,42;11308,78;;8881,77;;5742,84;5192,98;;2008
14;9682,99;9823,87;10232,43;10268,5;11673,19;;9939,48;8981,79;;5842,11;5145,35;;2008
15;9401,97;9757,6;;10358,34;11908,74;;9936,45;8788,94;7796,14;5191,07;;5406,86;2008
16;9201,76;;;10648,58;12186,27;11271,25;10156,94;;7831,43;5273,47;;5599,04;2008
17;8890,4;;9989,05;10509,32;;11472,81;9815,8;;7274,85;5311,01;5069,89;5535,92;2008
18;8975,38;9950,68;10274,72;10556,55;;11189,06;9685,24;8637,44;7571,68;;4881,04;5603,8;2008
19;;9956,47;9860,6;;12271,56;11219,52;;8604,87;8304;;4740,74;5495,09;2008
20;;10170,02;9855,83;;12201,98;10835,69;;8903,59;;5737,97;;;2008
21;8454,06;10276,93;;;11933,7;;9914,53;9014,53;;5666,65;4581,13;;2008
22;8799,28;10311,58;;10649,24;;;9757,35;9011,74;8099,26;5086,17;;5303,38;2008
23;8524,47;;;10636,25;11879,8;10691,61;9747,72;;7770,34;4976,07;;5157,34;2008
24;8944,8;;10000,28;10576,7;;10517,09;9367,53;;7744,06;4670,76;4823,41;;2008
25;;10360,67;10202,5;10621,12;;10732,92;9200,81;8813,53;7913,3;;4896,72;;2008
26;;10396,09;10140,33;;11981,28;10466,52;;8801,84;7542,67;;5062,86;5159,54;2008
27;;10428,1;9974,17;;11916,55;10471,42;;8923,92;;4445,58;5078,63;;2008
28;9123,88;10453,71;9897,84;10813,6;12173,48;;9202,66;9119,72;;4978,08;5077,8;;2008
29;9268,34;10223,39;;10489,53;11933,32;;9431,84;9100,94;6793,99;5125,12;;5181,03;2008
30;9332,71;;;11085,73;12008,41;10592,79;9841,68;;7216,57;5445,61;;5306,64;2008
31;9250,33;;9920,11;;;;9750,15;;;5384,88;;;2008
1;;;;5478,03;;7632,74;7229,33;;8238,77;8854,27;;9677,79;2009
2;5656,34;5350,12;4688,84;5686,63;;7611,48;7188,41;;8154,02;8946,44;;9756,33;2009
3;;5494,61;4727,94;5807,61;;7350,36;7201,5;8198,88;8216,03;;9140,06;9740,91;2009
4;;5571,26;4897,18;;6791,74;7474,4;;8191,03;8316,09;;9352,15;9695,59;2009
5;5805,82;5658,69;4747,86;;6859,29;7459,92;;8233,03;;9144,06;9463,81;;2009
6;5914,5;5820,65;4717,4;5796,39;7022,88;;7233,72;8178,82;;9271,37;9415,71;;2009
7;5809,68;;;5729,95;6841,46;;7105,13;8226,55;;9259,42;;9896,51;2009
8;6023,39;;;5746,35;7043,96;7486,88;7074,37;;8509,73;9409,67;;9783,6;2009
9;5962,05;5707,65;4633,01;5938,13;;7426,6;;;8485,07;9457,72;9628,91;9804,19;2009
10;;5575,56;4862,69;;;7428,31;7021,99;8360,06;8569,19;;9669,26;9871,62;2009
11;;5533,52;4869,72;;6990,44;;;8263,62;8554,09;;9699,15;9984,89;2009
12;5677,61;5458,33;4942,43;;6877,45;7437,46;;8406,86;;;9355,46;;2009
13;5679,36;5567;4907,54;6006,16;6628,12;;6979,87;8452,42;;9605,23;9369,12;;2009
14;5506,86;;;5991,15;6668,91;;6939,08;8369,53;8633,63;9863,62;;9971,04;2009
15;5642,18;;;5983,62;6629,3;7196,79;7267,02;;8717,07;9969,19;;9977,38;2009
16;5716,93;5591,08;4842,07;6120,49;;7051,56;7427,33;;8904,69;9871,94;9575,96;9855,17;2009
17;;5351,15;4899,35;6145,17;;7066,04;7448,2;8179,85;8868,91;;9630,88;9728,04;2009
18;;5357,7;5011,31;;6961,27;7080,22;;8193,16;8956,4;;9535;9653,42;2009
19;5629,52;5322,12;5058,59;;7012,69;7125,61;;8215,76;;10047,27;9475,95;;2009
20;5447,4;5189,68;5073,26;5958,02;6995,27;;7614,79;8365,2;;9764,22;;;2009
