dia;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;ano
1;;1541,27;;1598,13;;;1766,23;1763,86;1632,62;1573,4;;1429,34;2008
2;1608,15;;;1629,5;1719,3;1791,69;1726,46;;1620,64;1528,26;;1466,43;2008
3;1631,29;;1692,21;1642,15;;1764,77;1691,23;;1588,02;1509,62;1384,86;1478,44;2008
4;1597,6;;1692,62;1645,72;;1788,21;1692,6;1764,31;1538,09;;1396,56;1486,3;2008
5;;;1696,62;;1758,57;1829,55;;1790,75;1538,82;;1347,87;1500,15;2008
6;;1518,53;1665,06;;1742,66;1782,58;;1789,11;;1446,76;1350,86;;2008
7;1603,98;1515,83;1631,34;1612,82;1705,34;;1686,02;1760,07;;1392,03;1366,46;;2008
8;1615,72;1506,44;;1620,5;1724;;1713,55;1740,01;1512,77;1278,36;;1519,42;2008
9;1644,3;;;1587,53;1716,32;1809,38;;;1457,13;1252,07;;1498,54;2008
10;1646,87;;1598,72;1583,58;;1793,68;1762,64;;1450,72;1201,13;1348,59;1462,03;2008
11;1607,95;1536,72;1635,03;1571,86;;1808,2;1770,95;1651,82;1467,43;;1395,69;1425,8;2008
12;;1564,67;1628,9;;1733,22;1815,02;;1639,99;1485,16;;1346,92;1475;2008
13;;1589,7;1628,31;;1719,58;1788,24;;1644,02;;1350,09;1425,26;;2008
14;1619,94;1581,82;1627,36;1553,15;1699,48;;1794,4;1671,71;;1402,54;1430,23;;2008
15;1576,19;1570,17;;1549,55;1730,37;;1833,06;1657,37;1434,19;1302,29;;1432,58;2008
16;1571,68;;;1570,69;1765,04;1783,37;1854,62;;1412,13;1335,97;;1473,36;2008
17;1533,87;;1594,66;1590,86;;1785,18;1804,04;;1331,79;1324,17;1475,45;1432,84;2008
18;1545,48;1590,31;1632,37;1602,52;;1747,26;1801,8;1654,02;1384,31;;1467,29;1460,35;2008
19;;1574,42;1591,82;;1765,76;1765,7;;1666,29;1519,17;;1488,48;1450,74;2008
20;;1611,09;1600,72;;1754,73;1723,88;;1683,74;;1381,01;;;2008
21;1450,83;1605,88;;;1722,16;;1835,97;1675,89;;1372,52;1451,31;;2008
22;1503,43;1643,42;;1602,34;;;1813,64;1679,83;1498,17;1268,15;;1409,32;2008
23;1462,36;;;1602,42;1711,4;1728,88;1800,75;;1481,04;1237,39;;1382,48;2008
24;1492,83;;1589,02;1628,46;;1719,08;1764,01;;1475,25;1193,49;1480,05;;2008
25;;1661,71;1554,3;1641,92;;1770,82;1770,38;1662,06;1533,38;;1465,57;;2008
26;;1673,83;1534,56;;1710,86;1746,54;;1651,05;1555,16;;1489,94;1390,83;2008
27;;1677,18;1550,03;;1698,43;1780,88;;1665,16;;1162,6;1479,55;;2008
28;1525,49;1665,33;1533,73;1640,95;1770,62;;1756,25;1675,05;;1290,55;1471,83;;2008
29;1528,14;1644,33;;1598,46;1753,06;;1774,63;1642,83;1454,7;1302,08;;1390,59;2008
30;1517,55;;;1667,2;1800,84;1798,91;1768,92;;1550,57;1348,74;;1405,98;2008
31;1510,34;;1560,65;;;;1775,57;;;1359,53;;;2008
1;;;;1567,5;;1672,36;1783,71;;1851,59;1880,2;;2003,1;2009
2;1460,4;1353,96;1380,45;1580,14;;1653,57;1781,12;;1836,63;1897,12;;2076,02;2009
3;;1361,47;1421,74;1617,01;;1641,71;1779,27;1837,43;1835,28;;1852,48;2087,75;2009
4;;1351,91;1445,34;;1675;1668,21;;1849,76;1840,03;;1878,88;2080,08;2009
5;1439,92;1379,17;1420,13;;1663,49;1676;;1861,73;;1926,62;1897,45;;2009
6;1416,49;1400,12;1429,14;1603,27;1672,88;;1780,78;1892,29;;1928,69;1898,23;;2009
7;1397,23;;;1580,17;1649,59;;1771,86;1881,82;;1930,78;;2108,37;2009
8;1418,62;;;1599,71;1673,06;1673,78;1769,33;;1870,64;1938,64;;2119,47;2009
9;1427,54;1404,05;1428,47;1616,19;;1657,46;;;1891,5;1949,43;1940,68;2169,56;2009
10;;1413,38;1468,3;;;1677,51;1767,1;1873,87;1904,48;;1940,31;2218,91;2009
11;;1413,54;1432,6;;1650,69;;;1849,46;1894,44;;1952,61;2214,84;2009
12;1412,22;1411,66;1432,25;;1654,8;1719,76;;1850,23;;;1910,22;;2009
13;1439,21;1420,29;1441,5;1608,06;1629,05;;1760,19;1841,07;;1962,09;1943,48;;2009
14;1416,32;;;1575,71;1654,45;;1724,52;1835,12;1896,63;1978;;2180,84;2009
15;1442,71;;;1582,64;1653,17;1686,94;1753,77;;1898,41;1989,22;;2157,87;2009
16;1439,63;1429,22;1421,83;1612,25;;1672,13;1767,62;;1920,91;1989,77;1967,44;2117,74;2009
17;;1399,94;1457,5;1610,68;;1725,42;1765,64;1802,11;1928,67;;1967,6;2102,79;2009
18;;1403,62;1490,07;;1683,79;1740,3;;1813,85;1929,9;;1954,82;2094,96;2009
19;1413,55;1412,09;1485,14;;1645,83;1771,23;;1810,21;;2004,43;1940,59;;2009
20;1377,96;1409,01;1457,74;1577,17;1634,33;;1774,4;1818,05;;1949,31;;;2009
21;1403,55;;;;1613,81;;1785,09;1826,89;1919,55;1937,4;;2093,79;2009
22;1375,35;;;1597,52;1627,68;1753,48;1776,21;;1915,8;1935,42;;2095,47;2009
23;1396,98;;1492,12;1610,06;;1738,46;1785,14;;1890,48;1909,67;1938,73;2084,86;2009
24;;;1481,56;1609,1;;1731,81;1791,79;1833,32;1879,55;;1953,3;;2009
25;;1404,07;1489,93;;1634,08;1748,28;;1824,42;1886,29;;1960,04;;2009
26;1401,54;1405,95;1528,88;;1644,37;1762,54;;1841,54;;1906,42;1942,74;;2009
27;1387,95;1429,07;1508,24;1606,1;1635,5;;1792,53;1859,89;;1883,9;1977,97;;2009
28;1392,83;;;1640,27;1652,99;;1803,94;1866,07;1887,72;1842,05;;2108,65;2009
29;1391,71;;;1674,66;1670,08;1782,34;1811,58;;1883,84;1886,02;;2125,12;2009
30;1378,95;;1497,08;1649,81;;1769,86;1827,05;;1892,59;1840,59;1950,88;2149,49;2009
31;;;1525,36;;;;1819,98;1869,32;;;;;2009
1;;2156,94;2102,87;2127,16;;1998,86;2139,65;;2239,1;2230,74;2364,15;2381,27;2010
2;;2141,74;2113,89;;;2008,99;2140,56;2213,6;2207,06;;;2388,66;2010
3;;2124,7;2107,01;;2157,47;;;2195,2;2206;;2361,77;2442,75;2010
4;2174,81;2061,21;2103,87;;2116,74;2017,21;;2198,89;;2267,01;2380,14;;2010
5;2176,3;2055,6;2124,23;2133,77;2104,45;;2150,85;2210,84;;2306,91;2358,24;;2010
6;2166,36;;;2129,84;2060,22;;2167,26;2209,41;2211,87;2313,3;;2413,02;2010
7;2169,95;;;2124,39;2065,5;2040,48;2162,11;;;2302,31;;2391,24;2010
8;2169,74;2074,69;2109,88;2127,28;;2038,69;2132,42;;2163,84;2316,61;2365,81;2384,25;2010
9;;2096,91;2138,93;2114,28;;2031,62;;2191,51;2165,75;;2374,35;2357,38;2010
10;;2103,61;2146,23;;2118,17;2049,25;;2191,76;2193,75;;2371,16;2371,34;2010
11;2173,27;2125,35;2138,63;;2100,81;2058,23;;2172,96;;2336,44;2328,9;;2010
12;2173,49;2108,85;2115,57;2096,56;2126,27;;2116,72;2170,02;;;2324,51;;2010
13;2179,21;;;2111,68;2111,64;;2138,53;2158,43;2207,42;2377,38;;2376,85;2010
14;2147,8;;;2126,67;2073,88;2065,57;2106,27;;2222,43;2376,46;;2364,73;2010
15;2112,73;;2122,38;2111,2;;2093,09;2105,04;;2251,08;2411,29;;2355,99;2010
16;;;2138,31;2109,77;;2106,93;2084,74;2175,41;2231,27;;2317,56;2380,05;2010
17;;2133,69;2154,26;;2088,81;2114,8;;2181,86;2210,32;;2343,09;2388,51;2010
