"combinacao","learnParams","porc_teste","iteracao","neuronio","minimo","media","maximo"
1,0.3,0.25,300,9,"0.02930186","0.04595156","0.06260126"
2,0.3,0.3,300,9,"0.03948173","0.07847899","0.11747625"
3,0.2,0.25,300,9,"0.03236495","0.05591866","0.07947238"
4,0.2,0.3,300,9,"0.04554265","0.06479242","0.08404219"
5,0.1,0.25,300,9,"0.05541779","0.08870099","0.12198418"
6,0.1,0.3,300,9,"0.07069689","0.10471709","0.13873729"
7,0.3,0.25,300,13,"0.03335029","0.05164217","0.06993405"
8,0.3,0.3,300,13,"0.04207974","0.06087142","0.07966311"
9,0.2,0.25,300,13,"0.02951186","0.05414754","0.07878321"
10,0.2,0.3,300,13,"0.04183838","0.05689931","0.07196025"
11,0.1,0.25,300,13,"0.04896623","0.07968689","0.11040754"
12,0.1,0.3,300,13,"0.08845188","0.13993656","0.19142123"
13,0.3,0.25,300,15,"0.02206524","0.03360227","0.04513930"
14,0.3,0.3,300,15,"0.05065282","0.07018751","0.08972221"
15,0.2,0.25,300,15,"0.03343896","0.05018006","0.06692116"
16,0.2,0.3,300,15,"0.05398435","0.07939306","0.10480178"
17,0.1,0.25,300,15,"0.07864456","0.11649396","0.15434335"
18,0.1,0.3,300,15,"0.08080036","0.11876408","0.15672780"
19,0.3,0.25,500,9,"0.02013900","0.03099442","0.04184983"
20,0.3,0.3,500,9,"0.03804086","0.05814910","0.07825735"
21,0.2,0.25,500,9,"0.02669878","0.04541106","0.06412334"
22,0.2,0.3,500,9,"0.04779885","0.06588515","0.08397144"
23,0.1,0.25,500,9,"0.04323198","0.07968187","0.11613176"
24,0.1,0.3,500,9,"0.06312157","0.08884426","0.11456696"
25,0.3,0.25,500,13,"0.01878492","0.02769080","0.03659669"
26,0.3,0.3,500,13,"0.03113130","0.04637734","0.06162338"
27,0.2,0.25,500,13,"0.03175500","0.05270048","0.07364596"
28,0.2,0.3,500,13,"0.04529338","0.06734195","0.08939052"
29,0.1,0.25,500,13,"0.03571353","0.05405063","0.07238773"
30,0.1,0.3,500,13,"0.04084901","0.08525476","0.12966052"
31,0.3,0.25,500,15,"0.01956172","0.03520575","0.05084977"
32,0.3,0.3,500,15,"0.02630608","0.03598435","0.04566262"
33,0.2,0.25,500,15,"0.02240014","0.03953079","0.05666143"
34,0.2,0.3,500,15,"0.04093588","0.05174521","0.06255453"
35,0.1,0.25,500,15,"0.05434159","0.08462854","0.11491548"
36,0.1,0.3,500,15,"0.05409243","0.08336320","0.11263397"
37,0.3,0.25,1000,9,"0.01588596","0.02568412","0.03548229"
38,0.3,0.3,1000,9,"0.03138257","0.04667019","0.06195782"
39,0.2,0.25,1000,9,"0.01822671","0.02689505","0.03556338"
40,0.2,0.3,1000,9,"0.01971834","0.03750380","0.05528926"
41,0.1,0.25,1000,9,"0.02299207","0.03678783","0.05058358"
42,0.1,0.3,1000,9,"0.05304720","0.08030917","0.10757114"
43,0.3,0.25,1000,13,"0.01760408","0.02520844","0.03281280"
44,0.3,0.3,1000,13,"0.02119820","0.03200558","0.04281295"
45,0.2,0.25,1000,13,"0.01569852","0.02996934","0.04424017"
46,0.2,0.3,1000,13,"0.03115126","0.04549157","0.05983188"
47,0.1,0.25,1000,13,"0.02922129","0.04523081","0.06124033"
48,0.1,0.3,1000,13,"0.02860614","0.04307146","0.05753677"
49,0.3,0.25,1000,15,"0.02061106","0.03132744","0.04204381"
50,0.3,0.3,1000,15,"0.01761711","0.02751261","0.03740812"
51,0.2,0.25,1000,15,"0.02207047","0.03348406","0.04489764"
52,0.2,0.3,1000,15,"0.03105137","0.04192576","0.05280015"
53,0.1,0.25,1000,15,"0.02884605","0.04192278","0.05499951"
54,0.1,0.3,1000,15,"0.03790982","0.05741969","0.07692956"
55,0.3,0.25,1500,9,"0.01309191","0.02221359","0.03133527"
56,0.3,0.3,1500,9,"0.01777832","0.02863047","0.03948262"
57,0.2,0.25,1500,9,"0.01452494","0.02663819","0.03875144"
58,0.2,0.3,1500,9,"0.01568796","0.02301023","0.03033250"
59,0.1,0.25,1500,9,"0.01914748","0.02740339","0.03565929"
60,0.1,0.3,1500,9,"0.03059742","0.04262496","0.05465250"
61,0.3,0.25,1500,13,"0.01360291","0.02073027","0.02785763"
62,0.3,0.3,1500,13,"0.02293285","0.03772436","0.05251587"
63,0.2,0.25,1500,13,"0.01478458","0.02841817","0.04205175"
64,0.2,0.3,1500,13,"0.02832279","0.04053607","0.05274935"
65,0.1,0.25,1500,13,"0.01617984","0.02545605","0.03473227"
66,0.1,0.3,1500,13,"0.03183633","0.04457849","0.05732066"
67,0.3,0.25,1500,15,"0.01306451","0.02177797","0.03049142"
68,0.3,0.3,1500,15,"0.01572965","0.02526815","0.03480665"
69,0.2,0.25,1500,15,"0.01314772","0.02282532","0.03250292"
70,0.2,0.3,1500,15,"0.02024565","0.02982639","0.03940713"
71,0.1,0.25,1500,15,"0.02102376","0.03468187","0.04833998"
72,0.1,0.3,1500,15,"0.03555086","0.04951207","0.06347329"
