"combinacao","learnParams","porc_teste","iteracao","neuronio","minimo","media","maximo"
1,0.3,0.25,300,9,"0.04728381","0.07290833","0.09853284"
2,0.3,0.3,300,9,"0.08982710","0.13795695","0.18608680"
3,0.2,0.25,300,9,"0.07838385","0.12379951","0.16921518"
4,0.2,0.3,300,9,"0.07941825","0.12432461","0.16923098"
5,0.1,0.25,300,9,"0.08025660","0.12674045","0.17322431"
6,0.1,0.3,300,9,"0.15127052","0.23911310","0.32695567"
7,0.3,0.25,300,13,"0.04158169","0.05380041","0.06601913"
8,0.3,0.3,300,13,"0.07468789","0.10673355","0.13877921"
9,0.2,0.25,300,13,"0.05100469","0.07891055","0.10681641"
10,0.2,0.3,300,13,"0.08185325","0.12533491","0.16881656"
11,0.1,0.25,300,13,"0.07849082","0.13591545","0.19334008"
12,0.1,0.3,300,13,"0.11275976","0.16554237","0.21832499"
13,0.3,0.25,300,15,"0.05026920","0.06871622","0.08716324"
14,0.3,0.3,300,15,"0.06018382","0.07906716","0.09795051"
15,0.2,0.25,300,15,"0.03680889","0.06359654","0.09038419"
16,0.2,0.3,300,15,"0.06384197","0.08707582","0.11030967"
17,0.1,0.25,300,15,"0.06771549","0.10535673","0.14299797"
18,0.1,0.3,300,15,"0.10111720","0.14671007","0.19230294"
19,0.3,0.25,500,9,"0.04319111","0.06534881","0.08750651"
20,0.3,0.3,500,9,"0.05674705","0.08814580","0.11954454"
21,0.2,0.25,500,9,"0.03875066","0.05150124","0.06425182"
22,0.2,0.3,500,9,"0.05943560","0.08855050","0.11766541"
23,0.1,0.25,500,9,"0.05751371","0.08688868","0.11626364"
24,0.1,0.3,500,9,"0.10032904","0.16161467","0.22290031"
25,0.3,0.25,500,13,"0.05335468","0.07360026","0.09384584"
26,0.3,0.3,500,13,"0.06124333","0.07815669","0.09507005"
27,0.2,0.25,500,13,"0.05943129","0.08598180","0.11253231"
28,0.2,0.3,500,13,"0.06733558","0.08817369","0.10901179"
29,0.1,0.25,500,13,"0.06576237","0.10100664","0.13625090"
30,0.1,0.3,500,13,"0.07552957","0.10900684","0.14248411"
31,0.3,0.25,500,15,"0.04796214","0.06095511","0.07394807"
32,0.3,0.3,500,15,"0.03463192","0.08800600","0.14138007"
33,0.2,0.25,500,15,"0.04719609","0.07952534","0.11185459"
34,0.2,0.3,500,15,"0.06994749","0.11138432","0.15282116"
35,0.1,0.25,500,15,"0.05139526","0.08731479","0.12323433"
36,0.1,0.3,500,15,"0.08347552","0.12597296","0.16847039"
37,0.3,0.25,1000,9,"0.03266859","0.04923037","0.06579215"
38,0.3,0.3,1000,9,"0.05165401","0.06971996","0.08778591"
39,0.2,0.25,1000,9,"0.04900405","0.07656719","0.10413033"
40,0.2,0.3,1000,9,"0.06967417","0.09532037","0.12096657"
41,0.1,0.25,1000,9,"0.04649400","0.07206919","0.09764438"
42,0.1,0.3,1000,9,"0.07438176","0.10793434","0.14148693"
43,0.3,0.25,1000,13,"0.03538019","0.04488349","0.05438680"
44,0.3,0.3,1000,13,"0.03292699","0.04291900","0.05291101"
45,0.2,0.25,1000,13,"0.04875538","0.06226819","0.07578100"
46,0.2,0.3,1000,13,"0.06117845","0.07883069","0.09648292"
47,0.1,0.25,1000,13,"0.05374678","0.07598929","0.09823181"
48,0.1,0.3,1000,13,"0.06547770","0.10266187","0.13984604"
49,0.3,0.25,1000,15,"0.04486098","0.05892340","0.07298582"
50,0.3,0.3,1000,15,"0.05085427","0.06809530","0.08533632"
51,0.2,0.25,1000,15,"0.05066463","0.06894495","0.08722527"
52,0.2,0.3,1000,15,"0.05985954","0.07929842","0.09873730"
53,0.1,0.25,1000,15,"0.04798871","0.06640790","0.08482708"
54,0.1,0.3,1000,15,"0.07288239","0.10019123","0.12750007"
55,0.3,0.25,1500,9,"0.03158135","0.04494487","0.05830838"
56,0.3,0.3,1500,9,"0.03412734","0.04765782","0.06118829"
57,0.2,0.25,1500,9,"0.03023010","0.04405632","0.05788253"
58,0.2,0.3,1500,9,"0.06026928","0.07891538","0.09756148"
59,0.1,0.25,1500,9,"0.04299749","0.06696681","0.09093613"
60,0.1,0.3,1500,9,"0.07868070","0.11814324","0.15760579"
61,0.3,0.25,1500,13,"0.02504367","0.03475770","0.04447174"
62,0.3,0.3,1500,13,"0.03547876","0.04843361","0.06138845"
63,0.2,0.25,1500,13,"0.02443569","0.03933105","0.05422640"
64,0.2,0.3,1500,13,"0.04979794","0.06897556","0.08815317"
65,0.1,0.25,1500,13,"0.04585700","0.05764195","0.06942689"
66,0.1,0.3,1500,13,"0.06244046","0.08790128","0.11336209"
67,0.3,0.25,1500,15,"0.02632040","0.03687967","0.04743895"
68,0.3,0.3,1500,15,"0.03826069","0.05234795","0.06643521"
69,0.2,0.25,1500,15,"0.03269533","0.04454414","0.05639295"
70,0.2,0.3,1500,15,"0.04644333","0.06078947","0.07513561"
71,0.1,0.25,1500,15,"0.03925151","0.05841258","0.07757366"
72,0.1,0.3,1500,15,"0.05424726","0.08619127","0.11813529"
