"","setor","metrica","melhor_caso_b","melhor_caso_volatilidade","melhor_caso_v_b"
"1","Bens.Indls...Mat.Transporte","mape_teste",3.0623,3.8649,3.1138
"2","Cons.N.Básico...Alimentos.Processados","mape_teste",2.8855,4.0806,2.9696
"3","Cons.N.Cíclico...Bebidas","mape_teste",2.343,3.0858,2.0341
"4","Cons.N.Cíclico...Fumo","mape_teste",2.8097,2.8995,2.5035
"5","Cons.N.Cíclico...Pr.Pessoal.Limp","mape_teste",3.7941,4.697,4.2994
"6","Const.e.Transp...Constr.e.Engenh","mape_teste",2.8134,2.6908,2.1343
"7","Utilidade.Públ...Água.Saneamento","mape_teste",2.8656,2.8684,2.6537
"8","Bens.Indls...Mat.Transporte","POCID_teste",50,66.6667,42.8571
"9","Cons.N.Básico...Alimentos.Processados","POCID_teste",64.2857,73.3333,78.5714
"10","Cons.N.Cíclico...Bebidas","POCID_teste",57.1429,61.5385,61.5385
"11","Cons.N.Cíclico...Fumo","POCID_teste",66.6667,64.2857,71.4286
"12","Cons.N.Cíclico...Pr.Pessoal.Limp","POCID_teste",50,46.1538,46.1538
"13","Const.e.Transp...Constr.e.Engenh","POCID_teste",80,69.2308,69.2308
"14","Utilidade.Públ...Água.Saneamento","POCID_teste",60,60,60
"15","Bens.Indls...Mat.Transporte","mse_teste",9e-04,0.0014,9e-04
"16","Cons.N.Básico...Alimentos.Processados","mse_teste",0.0011,0.0015,9e-04
"17","Cons.N.Cíclico...Bebidas","mse_teste",3e-04,4e-04,2e-04
"18","Cons.N.Cíclico...Fumo","mse_teste",7e-04,8e-04,5e-04
"19","Cons.N.Cíclico...Pr.Pessoal.Limp","mse_teste",0.0027,0.0036,0.0025
"20","Const.e.Transp...Constr.e.Engenh","mse_teste",7e-04,7e-04,4e-04
"21","Utilidade.Públ...Água.Saneamento","mse_teste",0.001,8e-04,8e-04
"22","Bens.Indls...Mat.Transporte","nmse_teste",0.0015,0.0021,0.0013
"23","Cons.N.Básico...Alimentos.Processados","nmse_teste",0.0017,0.0025,0.0013
"24","Cons.N.Cíclico...Bebidas","nmse_teste",0.0011,0.0014,7e-04
"25","Cons.N.Cíclico...Fumo","nmse_teste",0.001,0.0012,8e-04
"26","Cons.N.Cíclico...Pr.Pessoal.Limp","nmse_teste",0.0028,0.0036,0.0026
"27","Const.e.Transp...Constr.e.Engenh","nmse_teste",0.0012,0.0012,7e-04
"28","Utilidade.Públ...Água.Saneamento","nmse_teste",0.0013,0.0011,0.001
"29","Bens.Indls...Mat.Transporte","arv_teste",0.1325,0.1312,0.0841
"30","Cons.N.Básico...Alimentos.Processados","arv_teste",0.0875,0.1258,0.0677
"31","Cons.N.Cíclico...Bebidas","arv_teste",0.3158,0.5077,0.2511
"32","Cons.N.Cíclico...Fumo","arv_teste",0.1391,0.1344,0.073
"33","Cons.N.Cíclico...Pr.Pessoal.Limp","arv_teste",1.8379,2.3123,2.2237
"34","Const.e.Transp...Constr.e.Engenh","arv_teste",0.0421,0.038,0.0298
"35","Utilidade.Públ...Água.Saneamento","arv_teste",0.2596,0.2481,0.1699
